Topic,Num Features,First Acquired Checkpoint,Checkpoint Name,Avg |Pearson|,High Corr Count (>0.7)
Document Formatting and Whitespace,6,6,pythia-160m-step64,0.8383725496788337,6
Dialogue and Speech Attribution,2,6,pythia-160m-step64,0.8152934431873394,1
HTML and XML Markup,6,7,pythia-160m-step128,0.8389944537745491,6
Statistical and Scientific Notation,2,7,pythia-160m-step128,0.8711205030058216,2
Mathematical Problem Statements,4,7,pythia-160m-step128,0.8515448064910496,4
Academic Abbreviations and Examples,7,7,pythia-160m-step128,0.8868495636280678,7
Contractions and Informal Language,3,7,pythia-160m-step128,0.865015050820246,3
Academic Citations and References,3,7,pythia-160m-step128,0.8805470777059544,3
Web URLs and Internet Addresses,3,7,pythia-160m-step128,0.8958639655808539,3
Grammatical Function Words,6,7,pythia-160m-step128,0.8588363005507426,6
Quantifier Phrases,1,7,pythia-160m-step128,0.8240839642119184,1
Wikipedia and Category Markup,3,7,pythia-160m-step128,0.7609082534487462,3
Code Comments and Documentation,2,8,pythia-160m-step256,0.8574161937868672,2
Programming Syntax and Code Structure,9,8,pythia-160m-step256,0.9486436795323478,9
Mathematical Comparisons and Rankings,5,8,pythia-160m-step256,0.9521312837623315,5
Data Retrieval and Programming Actions,1,8,pythia-160m-step256,0.8558626224217297,1
Scientific Units and Measurements,2,8,pythia-160m-step256,0.9102153836006863,2
Geographic and Location References,1,8,pythia-160m-step256,0.8787422403114283,1
C Preprocessor Directives,3,9,pythia-160m-step512,0.9048337105944873,3
Exemplification and Comparison,3,9,pythia-160m-step512,0.9071616329202637,3
Mathematical Variables and Symbols,2,9,pythia-160m-step512,0.9423379237322164,2
Abbreviations and Formal Titles,1,9,pythia-160m-step512,0.9320634579421895,1
Financial and Monetary Values,1,9,pythia-160m-step512,0.9349305092261952,1
Programming Variables and Identifiers,4,9,pythia-160m-step512,0.9562481477164512,4
Labels and Reference Markers,1,9,pythia-160m-step512,0.8832948363049268,1
Attribution and Source References,1,9,pythia-160m-step512,0.9113157672824274,1
Mathematical Questions and Queries,2,9,pythia-160m-step512,0.9210107231048733,2
Government and Legal Terminology,2,9,pythia-160m-step512,0.9011602533556369,2
Organizational Names and Institutions,1,10,pythia-160m-step1000,0.9644899659823513,1
Scientific Measurements and Substances,1,10,pythia-160m-step1000,0.970808411474902,1
Programming Variables and Functions,1,10,pythia-160m-step1000,0.9537369267267204,1
Technical Components and Engineering,1,10,pythia-160m-step1000,0.977791814300244,1
Technical Systems and Electronics,1,10,pythia-160m-step1000,0.969025251055026,1
Programming Identifiers and Variables,1,10,pythia-160m-step1000,0.9491274685581068,1
Time and Duration Expressions,1,10,pythia-160m-step1000,0.9827951736771392,1
Logical Conjunctions and Comparisons,1,10,pythia-160m-step1000,0.9482277038872808,1
Quantifiers and Determiners,1,10,pythia-160m-step1000,0.9398412439304136,1
Numbers in Context,1,10,pythia-160m-step1000,0.9442065672912704,1
Thresholds and Requirements,1,10,pythia-160m-step1000,0.9518331053238949,1
Compound Terms and Hyphenation,1,10,pythia-160m-step1000,0.9587774417066837,1
Numerical Formatting and Punctuation,1,10,pythia-160m-step1000,0.9732978504283908,1
Comparative Conjunctions and Relations,1,10,pythia-160m-step1000,0.9874642075098142,1
Auxiliary and Possessive Verbs,1,11,pythia-160m-step10000,0.9891034403202085,1
Social Media and Marketing,1,11,pythia-160m-step10000,0.9743339933851408,1
Addition and Connection Phrases,1,11,pythia-160m-step10000,0.9681721951398434,1
Legal and License Text,1,11,pythia-160m-step10000,0.9869074043258157,1
Verb Forms and Actions,1,11,pythia-160m-step10000,0.98078390534276,1
Temporal Relationships and Sequencing,1,11,pythia-160m-step10000,0.9816524366056077,1
Consideration and Decision Making,1,12,pythia-160m-step70000,0.9536012525656681,1
Sentence Starters and Discourse Markers,1,13,pythia-160m-step100000,0.9773661053456555,1
