Topic,Num Features,Avg Max Prob Reached
Discourse Connectors and Transitions,2,0.09968720627000001
Mathematical Problem Statements,1,0.353580197
Relative Pronouns and Clauses,1,0.426900646
Ordinal Numbers and Sequencing,1,0.438707473
Conjunctions and Logical Connectors,1,0.311681449
Pronouns and Possessives,2,0.30528233800000004
Statistical and Scientific Notation,1,0.0984175883
Direct Address and Instructions,1,0.435585009
Verb Forms and Actions,1,0.363598401
Spatial and Relational Prepositions,1,0.33970506
