Feature ID,Topic,Acquired At,Pearson,Spearman,Description,step_num
853,Document Formatting and Whitespace,pythia-160m-step256,0.5726160644614887,0.7785714285714285,Tab characters used as formatting delimiters in structured text or data tables.,256
2177,Biochemistry and Molecular Biology,pythia-160m-step10000,0.8251072943720069,0.95,"Biochemical and molecular biology terms referring to proteins, receptors, enzymes, and other biological molecules.",10000
1915,Document Structure and Numbering,pythia-160m-step10000,0.9616216663884852,0.9857142857142854,Numbered list items or section references preceded by spaces in formatted text documents.,10000
773,Academic Abbreviations and Examples,pythia-160m-step10000,0.9862781664874748,0.95,Numbers that appear to be footnote or citation references in legal documents.,10000
1629,Mathematical Variables and Symbols,pythia-160m-step10000,0.9664712874956682,0.9535714285714283,Variables used in mathematical expressions and equations.,10000
1074,Scientific Units and Measurements,pythia-160m-step10000,0.9619896548452135,0.9571428571428571,"Words related to size, quantity, degree, and repetition/frequency",10000
559,Academic Abbreviations and Examples,pythia-160m-step10000,0.9760199867961018,0.8428571428571429,"Numbers appearing in academic citation references, typically indicating specific numbered sources in bibliographies or reference lists.",10000
173,Numbers in Context,pythia-160m-step10000,0.9798161643182063,0.9678571428571429,"Instances of the number ""3"" appearing in various contexts including lists, sequences, measurements, and references.",10000
2276,Programming Variables and Functions,pythia-160m-step10000,0.9831546395457058,0.9214285714285713,"Opening parentheses in function definitions, method calls, and conditional statements across various programming languages.",10000
411,Configuration Parameters,pythia-160m-step10000,0.9808103860935663,0.9357142857142854,"Configuration parameter names in YAML documentation format, typically following indentation and colon syntax",10000
1233,Government and Official References,pythia-160m-step10000,0.949955921560075,0.8428571428571429,"References to the United States, either as ""United States"" or abbreviated as ""U.S."" in legal, governmental, and official contexts.",10000
2125,Numbers in Context,pythia-160m-step10000,0.9812317595306635,0.9642857142857141,"Numbers and numerical references (primarily the number 5) used in citations, footnotes, legal documents, and mathematical contexts.",10000
2895,Quantifiers and Determiners,pythia-160m-step10000,0.995517188092457,0.9678571428571429,"All instances are the definite article ""the"" appearing at the beginning of phrases or clauses after punctuation or spacing.",10000
903,Auxiliary and Possessive Verbs,pythia-160m-step10000,0.9880752740377957,0.9392857142857142,"Forms of the verb ""to be"" (are/were) used as linking verbs or auxiliary verbs in various sentence structures.",10000
2090,Mathematical Comparisons and Rankings,pythia-160m-step10000,0.9759593519232567,0.9785714285714284,Words used in mathematical comparison questions asking which value is closest or nearest to a given number.,10000
2550,Categorical Nouns and Plurals,pythia-160m-step10000,0.9814307760675501,0.8892857142857141,"Plural nouns representing various categories, types, or instances of things across different domains and contexts.",10000
1853,Digital Communication and Services,pythia-160m-step10000,0.9558659838377632,0.8857142857142855,"Words related to email subscription and newsletter services, including delivery methods, content types, and subscription processes.",10000
1568,Grammatical Function Words,pythia-160m-step10000,0.9836288194738966,0.9535714285714283,"All instances show the preposition ""with"" used to introduce instrumental, associative, or descriptive phrases that specify accompanying conditions, characteristics, or methods.",10000
365,Programming Variables and Functions,pythia-160m-step10000,0.9710863369664622,0.6214285714285712,Method names for getter and setter functions in Java code documentation.,10000
442,Document Structure and Numbering,pythia-160m-step10000,0.9620190535968893,0.8749999999999999,"Numbers appearing as section identifiers, page numbers, or reference markers in formatted text documents.",10000
1320,Document Structure and Numbering,pythia-160m-step10000,0.9776426430430978,0.9678571428571429,"Numeric values (primarily the number 5) appearing in various document formatting contexts such as citations, references, timestamps, and organizational numbering.",10000
1690,Document Structure and Numbering,pythia-160m-step10000,0.9749189365635347,0.9642857142857141,"The number ""7"" appearing in various document formatting contexts, including numbered lists, citations, footnotes, and section markers.",10000
2263,Dialogue and Speech Attribution,pythia-160m-step10000,0.9841661951388854,0.9035714285714285,Formatting markers indicating the beginning of quoted speech or dialogue in text.,10000
1523,Programming Variables and Functions,pythia-160m-step10000,0.9811505213278358,0.982142857142857,"Method names and function calls in programming code, representing actions or operations that can be invoked on objects or classes.",10000
2887,Purpose and Intention Language,pythia-160m-step10000,0.9654468182380778,0.7714285714285712,"Words appearing at the end of comparative phrases expressing degree or extent (e.g., ""as much as possible"", ""as far as practicable"").",10000
217,Document Formatting and Whitespace,pythia-160m-step10000,0.9880560251822266,0.95,Code formatting tokens representing spaces that appear before closing braces and return statements in various programming languages.,10000
1928,Code Comments and Documentation,pythia-160m-step10000,0.9889494180664058,0.9714285714285713,Code comments preceded by whitespace and comment delimiters in programming contexts.,10000
1392,Numerical Formatting and Punctuation,pythia-160m-step10000,0.9721678606636028,0.9535714285714283,Words used in numerical rating expressions indicating fractions or proportions out of a total.,10000
829,Metaphorical and Idiomatic Language,pythia-160m-step10000,0.9643422319718576,0.9749999999999999,"Words used in idiomatic expressions and metaphorical contexts relating to alignment, opposition, or perspective",10000
1958,Clinical and Medical Variables,pythia-160m-step10000,0.9744347366613241,0.9714285714285713,Clinical and biological variables measured in medical research studies and technical specifications,10000
2192,Verb Forms and Actions,pythia-160m-step10000,0.989385742966584,0.9535714285714283,Past tense auxiliary and linking verbs used in various narrative and descriptive contexts.,10000
584,Time and Duration Expressions,pythia-160m-step70000,0.9610163098964414,0.95,"Words referring to temporal duration, periods, or moments in various technical and scientific contexts.",70000
