Topic,Num Features,Avg Max Prob Reached
Discourse Connectors and Transitions,2,0.03134231285
Outcomes and Results,1,0.165590417
Grammatical Function Words,3,0.29398163375
Personal Pronouns and Subject References,1,0.150330178
Relative Pronouns and Clauses,1,0.279005958
Personal Names,1,0.392881954
Infinitive Verbs,1,0.235824339
Methods and Procedural Context,1,0.388548569
Thresholds and Requirements,1,0.48009841
Compliance and Conformity,1,0.41103075
Existential and Locative Expressions,1,0.0889242548
Auxiliary Verbs and Grammar,1,0.493521683
Government and Legal Terminology,2,0.2467112305
Comparative Conjunctions and Relations,1,0.271537454
Pronouns and Possessives,3,0.18464230266666667
Statistical and Scientific Notation,1,0.0744665702
Mathematical Comparisons and Rankings,1,0.340067975
Descriptive Modifiers and Determiners,3,0.21913277100000003
Temporal and Sequential Language,1,0.282001489
Verb Forms and Actions,2,0.191164524
Modal Verbs and Auxiliaries,1,0.31883717
Technical Documentation Formatting,1,0.35253112
Technical Systems and Electronics,1,0.303553849
Numerical Values and Mathematics,1,0.368837275
Conjunctions and Logical Connectors,1,0.21714713
Purpose and Intention Language,1,0.111783244
Spatial and Portion Language,1,0.0164719163
Foreign Language Elements,1,0.116508063
Comparative and Relational Terms,1,0.160545565
Mathematical Problem Statements,1,0.459872049
Intensifiers and Connectors,1,0.0222119312
Coordinating Conjunctions and Connections,1,0.00716360794
Names and Personal References,1,0.181788104
Professional and Academic Language,1,0.251987654
Verb Usage and Utilization,1,0.141424643
General Reference Terms and Entities,1,0.261636028
Auxiliary and Possessive Verbs,1,0.240450415
Temporal Relationships and Sequencing,1,0.30375173
Whitespace and Text Formatting,1,0.484706707
Quantifiers and Determiners,1,0.446891993
