Feature ID,Topic,Acquired At,Pearson,Spearman,Description,step_num
2189,Text Formatting and Structure,pythia-6_9b-step8,0.6424383005763696,0.5178571428571428,Tab characters used for formatting and indentation in text documents or code.,8
447,Dialogue and Speech Attribution,pythia-6_9b-step64,0.4812177001065193,0.13214285714285715,All instances represent a space character token that appears between quoted dialogue segments in what appears to be a script or transcript.,64
283,Dialogue and Speech Attribution,pythia-6_9b-step64,0.4809935398369048,-0.021428571428571425,Quotation marks or similar punctuation that begin direct speech or dialogue in written text.,64
2295,Dialogue and Speech Attribution,pythia-6_9b-step64,0.47658944477110154,-0.05714285714285713,All instances represent dialogue formatting where a space appears immediately after closing quotation marks in screenplay or script text.,64
567,Statistical and Scientific Notation,pythia-6_9b-step64,0.6560710982899436,0.4792987301540374,Decimal points appearing in statistical output data with numerical values and column formatting.,64
1206,URL and Web Formatting,pythia-6_9b-step64,0.5307294907563106,0.5081287289602953,"Colons that appear in Wikipedia category markup, serving as separators in the categorization system.",64
1918,Academic Citations and References,pythia-6_9b-step64,0.6153223631933992,0.4928571428571427,"Periods appearing in legal case citations, typically separating case names from volume and page references.",64
846,HTML and XML Markup,pythia-6_9b-step64,0.5434236355938449,0.45947810597473504,HTML attribute values for reference links in academic figure citations.,64
1077,HTML and XML Markup,pythia-6_9b-step64,0.5442983638143671,0.4666856056762995,"HTML/XML attribute values in academic document markup, specifically the ""ref-type"" attribute used for cross-referencing figures, tables, and supplementary materials.",64
23,Contractions and Informal Language,pythia-6_9b-step64,0.576336849508061,0.5178571428571428,"Contracted form of ""don't"" or similar negative contractions appearing in informal text and dialogue.",64
1344,HTML and XML Markup,pythia-6_9b-step64,0.5405860366419071,0.4666856056762995,HTML/XML attribute values specifying reference types in academic document markup.,64
546,Possessive Markers and Ownership,pythia-6_9b-step128,0.746286938066664,0.5,Possessive markers appearing after proper nouns and common nouns to indicate ownership or association.,128
764,Programming Syntax and Code Structure,pythia-6_9b-step128,0.638070204484557,0.5081287289602953,Colons separating Android XML attribute names from their values in layout files.,128
1108,URL and Web Formatting,pythia-6_9b-step128,0.6174024455864193,0.5698961337724598,URL protocol indicators (://) appearing in web addresses and hyperlinks.,128
1446,Mathematical Questions and Queries,pythia-6_9b-step128,0.7032091055288431,0.4678571428571427,"The word ""is"" functioning as a copula verb in mathematical word problems asking ""What is"" followed by various mathematical operations including calculations, rounding, and function evaluations.",128
1722,HTML and XML Markup,pythia-6_9b-step128,0.7798968307410172,0.5117324788110775,Opening angle brackets used in XML/HTML markup syntax.,128
2722,Academic Abbreviations and Examples,pythia-6_9b-step128,0.6670230304636625,0.5081287289602953,"Citation reference markers in academic text, specifically the letter ""B"" appearing in bibliographic citations.",128
2316,HTML and XML Markup,pythia-6_9b-step128,0.7070412657288994,0.532142857142857,HTML table cell and paragraph closing tags,128
2702,Academic Abbreviations and Examples,pythia-6_9b-step128,0.656004129363439,0.42857142857142855,"Academic citation abbreviation ""et al."" used to indicate additional authors in scholarly references.",128
1806,URL and Web Formatting,pythia-6_9b-step128,0.6556405211080005,0.5071428571428571,"Periods that appear as part of website URLs in the format ""www.domain.com""",128
864,URL and Web Formatting,pythia-6_9b-step128,0.5997660945770033,0.6090337247821979,URL protocol separators appearing in web links and references.,128
664,Spatial and Relational Prepositions,pythia-6_9b-step128,0.6114442600050022,0.5428571428571428,"Instances of the preposition ""to"" appearing after a space in technical and formal writing contexts.",128
1184,Mathematical Comparisons and Rankings,pythia-6_9b-step128,0.6661921205615922,0.48214285714285704,Mathematical symbols and expressions in LaTeX formatting,128
535,Reference Numbers and Citations,pythia-6_9b-step256,0.7282712554542001,0.5153362286618597,Single letters (B/b) used as reference markers or labels in academic and scientific texts.,256
1752,Categorization and Classification Systems,pythia-6_9b-step256,0.7428828428637279,0.5035714285714286,"Wikipedia category labels that classify articles by topic, profession, location, or other descriptive attributes.",256
1978,Academic Abbreviations and Examples,pythia-6_9b-step256,0.6939880282251074,0.5693924764235933,"Citation reference markers in academic text, specifically indicating bibliographic references numbered in square brackets.",256
1740,Mathematical Comparisons and Rankings,pythia-6_9b-step256,0.7168908457520672,0.39999999999999997,"Mathematical exponent indicators (specifically the number ""2"") appearing in polynomial expressions and calculus problems.",256
1738,Exclusion and Absence Terms,pythia-6_9b-step256,0.6945453216567621,0.532142857142857,"All instances show the preposition ""without"" used to indicate absence, lack, or exclusion in various contexts.",256
187,Probability and Sampling Problems,pythia-6_9b-step256,0.6938407412209553,0.5785714285714285,"All instances of the word ""picked"" appear in mathematical probability problems involving drawing letters without replacement from sets or strings.",256
1489,Mathematical Comparisons and Rankings,pythia-6_9b-step256,0.7117950750619415,0.48571428571428565,"All instances show the word ""of"" appearing in mathematical contexts asking for greatest common divisors, highest common factors, or prime factors of numbers or variables.",256
1850,Mathematical Comparisons and Rankings,pythia-6_9b-step256,0.7126679144669753,0.5142857142857142,"The word ""value"" or ""values"" appearing in mathematical comparison problems that ask to rank or identify specific numerical quantities",256
445,Mathematical Variables and Symbols,pythia-6_9b-step256,0.8024814093841688,0.5464285714285714,"Mathematical problem statements that begin with ""Let"" followed by variable definitions or function declarations.",256
770,Academic Abbreviations and Examples,pythia-6_9b-step256,0.7193934552990958,0.5142857142857142,Punctuation sequences (period followed by comma) appearing in academic citations and references within scientific text.,256
88,Programming Syntax and Code Structure,pythia-6_9b-step256,0.8906657005122094,0.5142857142857142,C preprocessor #define statements in header files defining hardware register constants and macros.,256
2132,Probability and Sampling Problems,pythia-6_9b-step256,0.6941586293014699,0.457142857142857,All instances refer to probability problems involving sampling without replacement from a collection of letters.,256
2987,Probability and Sampling Problems,pythia-6_9b-step256,0.6941029733376418,0.4464285714285714,Mathematical probability problems involving sampling without replacement from sets of letters or objects.,256
1792,Mathematical Comparisons and Rankings,pythia-6_9b-step512,0.8107871842781272,0.48571428571428565,"Mathematical expressions containing function evaluations with negative integer arguments, appearing as fragments from algebraic problem solving contexts.",512
458,Mathematical Variables and Symbols,pythia-6_9b-step512,0.8166705608572911,0.4964285714285714,Variables in algebraic expressions and equations.,512
116,Contractions and Informal Language,pythia-6_9b-step512,0.7708953330281552,0.5142857142857142,"Contracted forms of ""is"" and ""are"" in informal English text.",512
821,Code Comments and Documentation,pythia-6_9b-step512,0.8194462196294446,0.5178571428571428,"Asterisks appearing in code comment formatting, specifically as part of multi-line comment syntax in various programming languages.",512
