Topic,Num Features,First Acquired Checkpoint,Checkpoint Name,Avg |Pearson|,High Corr Count (>0.7)
Text Formatting and Structure,2,3,pythia-6_9b-step8,0.7999006591015588,1
Dialogue and Speech Attribution,4,6,pythia-6_9b-step64,0.5902224727442175,1
URL and Web Formatting,4,6,pythia-6_9b-step64,0.6008846380069335,0
Statistical and Scientific Notation,1,6,pythia-6_9b-step64,0.6560710982899436,0
Contractions and Informal Language,3,6,pythia-6_9b-step64,0.7454241100499205,2
Academic Citations and References,3,6,pythia-6_9b-step64,0.8575792009536333,2
HTML and XML Markup,7,6,pythia-6_9b-step64,0.7058753864621814,4
Mathematical Comparisons and Rankings,10,7,pythia-6_9b-step128,0.8159554505874128,9
Programming Syntax and Code Structure,16,7,pythia-6_9b-step128,0.9075688998100719,15
Academic Abbreviations and Examples,8,7,pythia-6_9b-step128,0.7835551459945811,5
Mathematical Questions and Queries,4,7,pythia-6_9b-step128,0.818898818784327,4
Spatial and Relational Prepositions,1,7,pythia-6_9b-step128,0.6114442600050022,0
Possessive Markers and Ownership,1,7,pythia-6_9b-step128,0.746286938066664,1
Reference Numbers and Citations,1,8,pythia-6_9b-step256,0.7282712554542001,1
Probability and Sampling Problems,3,8,pythia-6_9b-step256,0.6940341146200223,0
Exclusion and Absence Terms,1,8,pythia-6_9b-step256,0.6945453216567621,0
Mathematical Variables and Symbols,2,8,pythia-6_9b-step256,0.8095759851207299,2
Categorization and Classification Systems,1,8,pythia-6_9b-step256,0.7428828428637279,1
Comparative Conjunctions and Relations,1,9,pythia-6_9b-step512,0.8220774745519233,1
Technical Documentation Formatting,3,9,pythia-6_9b-step512,0.9172142763466248,3
Code Comments and Documentation,2,9,pythia-6_9b-step512,0.8292679309881604,2
Geographic and Location References,1,9,pythia-6_9b-step512,0.8116696822375301,1
Data Structure Formatting,4,9,pythia-6_9b-step512,0.8896939419149755,4
Mathematical Problem Statements,3,9,pythia-6_9b-step512,0.9156432670408851,3
Comparative and Quantitative Terms,1,9,pythia-6_9b-step512,0.7668546131223408,1
Markup and Configuration Syntax,1,9,pythia-6_9b-step512,0.911827182733603,1
Legal and Judicial Terms,1,9,pythia-6_9b-step512,0.8257174684106791,1
Web URLs and Domain Names,1,9,pythia-6_9b-step512,0.9329996518117032,1
Compound Terms and Hyphenation,1,10,pythia-6_9b-step1000,0.9317173592188324,1
General Reference Terms and Entities,2,10,pythia-6_9b-step1000,0.9532013299789488,2
Technical Specifications and Data Types,1,10,pythia-6_9b-step1000,0.9460355654237143,1
File Extensions and Technical References,1,10,pythia-6_9b-step1000,0.9244807268656243,1
Software and Technology Terms,1,10,pythia-6_9b-step1000,0.930319930103578,1
Measurement and Position Terms,1,10,pythia-6_9b-step1000,0.9854199823836173,1
Thresholds and Requirements,1,10,pythia-6_9b-step1000,0.9261595552241851,1
Programming Variables and Identifiers,2,10,pythia-6_9b-step1000,0.9605153257851269,2
Sentence Structure and Punctuation,2,10,pythia-6_9b-step1000,0.9282444437229027,2
Numerical Values and Mathematics,3,10,pythia-6_9b-step1000,0.9382571592868935,3
Brackets and Delimiters,1,10,pythia-6_9b-step1000,0.9381343668327122,1
Single Characters and Symbols,1,10,pythia-6_9b-step1000,0.9420726789027429,1
Prepositions and Spatial Relations,3,10,pythia-6_9b-step1000,0.9729437393188508,3
Comparative and Relational Terms,1,10,pythia-6_9b-step1000,0.9316859853879992,1
Clarification and Exemplification Markers,1,10,pythia-6_9b-step1000,0.907930109926918,1
Biological and Scientific Terms,1,10,pythia-6_9b-step1000,0.9180935568470143,1
Numerical Formatting and Punctuation,1,11,pythia-6_9b-step10000,0.9596526985869608,1
Programming Variables and Functions,1,11,pythia-6_9b-step10000,0.9898386396668711,1
Boolean and Logical Values,1,11,pythia-6_9b-step10000,0.9157777803855035,1
