Topic,Num Features,First Acquired Checkpoint,Checkpoint Name,Avg |Pearson|,High Corr Count (>0.7)
Mathematical Comparisons and Rankings,2,7,pythia-6_9b-step128,0.8744742577917299,2
Programming Variables and Identifiers,2,10,pythia-6_9b-step1000,0.9554402958350168,2
Numerical Formatting and Punctuation,1,11,pythia-6_9b-step10000,0.985811939955939,1
Academic Citations and References,1,11,pythia-6_9b-step10000,0.9933773574893245,1
HTML and XML Markup,2,11,pythia-6_9b-step10000,0.9816840249829761,2
Descriptive Modifiers and Determiners,2,11,pythia-6_9b-step10000,0.9774479136592202,2
Conjunctions and Logical Connectors,1,11,pythia-6_9b-step10000,0.9947155294811201,1
Title and Heading References,2,11,pythia-6_9b-step10000,0.9963186500390888,2
Mathematical Variables and Symbols,1,11,pythia-6_9b-step10000,0.9881266624506575,1
Necessity and Obligation Expressions,4,11,pythia-6_9b-step10000,0.9583383634212135,4
General Object References,1,11,pythia-6_9b-step10000,0.9951574129097392,1
Numerical Values and Mathematics,4,11,pythia-6_9b-step10000,0.9174171669658677,3
Technical Documentation Formatting,2,11,pythia-6_9b-step10000,0.981156793136704,2
General Reference Terms and Entities,3,11,pythia-6_9b-step10000,0.987135386229259,3
Academic Abbreviations and Examples,1,11,pythia-6_9b-step10000,0.9953449352596518,1
Comparative Conjunctions and Relations,1,11,pythia-6_9b-step10000,0.9905621137242799,1
Programming Data Types,3,11,pythia-6_9b-step10000,0.9796049666691079,3
Web URLs and Domain Names,1,11,pythia-6_9b-step10000,0.9945545913821185,1
Software Versioning and Dependencies,2,11,pythia-6_9b-step10000,0.9952523310865835,2
Common Nouns and Objects,2,11,pythia-6_9b-step10000,0.9883903622108761,2
Text Formatting and Structure,1,11,pythia-6_9b-step10000,0.9906405227608701,1
Prepositions and Spatial Relations,3,11,pythia-6_9b-step10000,0.9916687393253424,3
Technical Components and Engineering,1,11,pythia-6_9b-step10000,0.9895799739777432,1
Names and Personal References,2,11,pythia-6_9b-step10000,0.944382559408372,2
Demonstrative and Reference Terms,1,11,pythia-6_9b-step10000,0.9873942348007685,1
Technical Notation and Abbreviations,1,11,pythia-6_9b-step10000,0.9696071391273252,1
Capability and Possibility Terms,1,11,pythia-6_9b-step10000,0.9864597437834646,1
Health and Medical Conditions,1,11,pythia-6_9b-step10000,0.9967229141355413,1
Usage and Application Terms,1,11,pythia-6_9b-step10000,0.9919641260184783,1
Reference Numbers and Citations,1,11,pythia-6_9b-step10000,0.9959501615914079,1
Legal Terminology and Procedures,1,11,pythia-6_9b-step10000,0.9856468023443041,1
Properties and Characteristics,1,11,pythia-6_9b-step10000,0.9935185286378134,1
Dialogue and Speech Attribution,1,11,pythia-6_9b-step10000,0.8723186043553345,1
Information and Knowledge Terms,1,11,pythia-6_9b-step10000,0.990888886773984,1
Numerical Identifiers,1,11,pythia-6_9b-step10000,0.9969952725907856,1
Modal Verbs and Auxiliaries,2,11,pythia-6_9b-step10000,0.9892759354686871,2
Coordinating Conjunctions and Connections,1,12,pythia-6_9b-step70000,0.9677360045428564,1
Personal Pronouns and Subject References,1,12,pythia-6_9b-step70000,0.9654503460314405,1
Programming Syntax and Code Structure,2,12,pythia-6_9b-step70000,0.9104912201985852,2
Employment and Professional Context,1,12,pythia-6_9b-step70000,0.9867997250357736,1
Exclusion and Absence Terms,1,12,pythia-6_9b-step70000,0.9848995592160213,1
Verb Forms and Actions,1,12,pythia-6_9b-step70000,0.9903228836819774,1
Code Comments and Documentation,1,13,pythia-6_9b-step100000,0.8665773169658495,1
Research Presentation and Findings,1,13,pythia-6_9b-step100000,0.8689826182290362,1
Medical and Anatomical Terms,1,14,pythia-6_9b,0.9605905254314738,1
Modal Verbs and Uncertainty,1,14,pythia-6_9b,0.9926178258384732,1
