Topic,Num Features,Avg Max Prob Reached
Data Retrieval and Programming Actions,1,0.428586656
Programming Variables and Functions,1,0.290315236
Action Verbs and Engagement,1,0.429916852
Problem-Solving and Analysis Verbs,1,0.033535264
Coordinating Conjunctions and Connections,1,0.474316306
Attribution and Source References,1,0.271782356
Examples and Illustration Markers,1,0.336575406
Date and Time Components,1,0.0948909085
Programming and Web Development Terms,1,0.463738883
Comparative and Quantitative Terms,1,0.285020193
Contractions and Negations,1,0.0612080768
Causation and Consequence,1,0.0644362818
Purpose and Intention Language,1,0.313236544
Verb Forms and Actions,2,0.4332400395
Discourse Connectors and Transitions,1,0.0159678551
Descriptive Adjectives and Attributes,1,0.45492925
Quantity and Degree Expressions,1,0.39512884
Necessity and Obligation Expressions,1,0.427524349
Direct Address and Instructions,1,0.455957446
Sequential and Ordinal Terms,1,0.295458085
Roles and Relationships,1,0.470430523
General Object References,1,0.461149025
General Reference Terms and Entities,1,0.22751554
Sentence Starters and Discourse Markers,1,0.150683858
Personal Pronouns and Subject References,3,0.30431956926666665
Inquiry and Request Terms,1,0.0465961683
Numerical Formatting and Punctuation,1,0.108958207
Cognitive and Mental State Verbs,1,0.256052824
Mathematical Comparisons and Rankings,2,0.23379330128
Possessive Markers and Ownership,1,0.227793711
Modal Verbs and Auxiliaries,1,0.34953564
