fid,frac,n_total,mean_act,modal,bucket,label
3,0.30000000000000004,50,4.35,resistance,q3,
5,0.30000000000000004,50,9.157,of,q4_highest,
6,0.4,24,1.05,object,q1_lowest,
9,0.4,50,5.293,sensor,q3,sensor/probe technical-equipment vocabulary
13,0.30000000000000004,50,8.407,h,q4_highest,
22,0.2,14,0.9490000000000001,parameters,q1_lowest,
23,0.2,50,1.7770000000000001,section,q3,
25,0.4,17,1.001,-,q1_lowest,
26,0.4,50,10.226,is,q4_highest,
27,0.2,50,1.333,/>,q2,
31,0.30000000000000004,50,1.264,relies,q2,
46,0.1,50,1.231,inequality,q2,
53,0.2,18,1.003,out,q1_lowest,
57,0.4,50,5.369,",",q3,pronoun 'she/they' + adverb 'always' — mostly comma/punctuation-driven
58,0.2,50,5.606,finally,q4_highest,
66,0.2,50,1.212,hope,q2,
68,0.2,19,0.969,available,q1_lowest,
80,0.1,50,1.061,norm,q1_lowest,
84,0.30000000000000004,50,8.205,you,q4_highest,
87,0.1,50,1.139,roll,q2,
91,0.2,10,0.971,didn,q1_lowest,
92,0.4,50,1.508,matter,q3,
102,0.1,40,0.981,usb,q1_lowest,
104,0.30000000000000004,50,3.7960000000000003,world,q3,
110,0.2,50,1.599,core,q3,
118,0.4,50,10.739,the,q4_highest,
123,0.4,12,1.199,right,q2,
124,0.1,50,1.417,jury,q3,
125,0.4,50,0.984,.,q1_lowest,
133,0.30000000000000004,50,1.2690000000000001,within,q2,
135,0.2,50,1.182,and,q2,
139,0.2,27,1.061,called,q1_lowest,
144,0.0,50,5.355,,q3,"narrative-prose line-continuation whitespace (mid-sentence tab, gothic/literary register)"
145,0.30000000000000004,50,8.263,of,q4_highest,
147,0.30000000000000004,50,9.821,),q4_highest,
149,0.30000000000000004,50,1.18,complies,q2,
154,0.30000000000000004,50,1.5670000000000002,asked,q3,
155,0.30000000000000004,50,6.35,comments,q4_highest,
165,0.2,50,1.068,spine,q1_lowest,
166,0.0,50,12.895,,q4_highest,code-indentation whitespace immediately before an opening brace '{'
175,0.30000000000000004,29,1.012,&,q1_lowest,
177,0.4,50,1.549,which,q3,
178,0.1,50,1.061,fields,q1_lowest,
183,0.2,50,7.189,!,q4_highest,
195,0.4,50,4.749,welcome,q3,
196,0.2,12,0.912,xml,q1_lowest,
208,0.4,50,1.131,:,q2,
209,0.30000000000000004,35,1.033,so,q1_lowest,
210,0.4,50,2.034,9,q3,
216,0.2,50,1.182,'s,q2,
219,0.30000000000000004,50,10.121,image,q4_highest,
220,0.2,10,0.905,any,q1_lowest,
221,0.2,11,0.9400000000000001,3,q1_lowest,
222,0.2,50,5.589,content,q4_highest,
227,0.2,50,1.1400000000000001,matter,q2,
229,0.2,50,7.72,the,q4_highest,
236,0.4,50,5.878,minister,q4_highest,
249,0.2,50,1.38,",",q2,
271,0.4,50,6.549,need,q4_highest,
274,0.30000000000000004,50,1.474,another,q3,
280,0.30000000000000004,50,1.2530000000000001,â±,q2,
294,0.4,50,8.166,the,q4_highest,
306,0.4,50,1.533,a,q3,
307,0.1,50,1.267,after,q2,
310,0.4,50,4.484,ratings,q3,
316,0.1,11,0.915,board,q1_lowest,
318,0.2,17,0.9530000000000001,for,q1_lowest,
319,0.4,50,1.245,worth,q2,
326,0.30000000000000004,50,9.66,game,q4_highest,
331,0.30000000000000004,50,1.691,also,q3,
334,0.4,50,1.262,https,q2,
337,0.1,50,1.49,be,q3,
