fid,frac,n_total,mean_act,modal,top_words,bucket,cluster,dist_to_centroid,label
6,0.4,24,1.05,object,"['object', 'specific', 'object', 'specific', ',', 'or', 'are', 'object', 'object', 'assigns']",q1_lowest,2,0.4139981684201867,"noisy grab-bag, no consistent theme"
22,0.2,14,0.949,parameters,"['parameters', 'basics', 'australia', 'algorithms', 'errors', 'parameters', '38', 'a', 'curiosity', 'cloves']",q1_lowest,6,0.35855298618569875,'in addition to'/'takes into account' business-prose connective phrases
25,0.4,17,1.001,-,"['-', '-', 'chair', 'chair', 'we', 'events', 'co', '-', '-', 'how']",q1_lowest,0,0.3602344565441101,"noisy grab-bag, no consistent theme"
53,0.2,18,1.003,out,"['out', 'n', 'side', 'out', 'of', 'uk', 'self', 'u', 'wish', 'u']",q1_lowest,7,0.34771238986333886,noisy grab-bag: quiz/civic-institution vocabulary + tech jargon
68,0.2,19,0.969,available,"['retrieved', 'shared', 'asked', 'available', 'without', 'exotic', 'with', 'express', 'joined', 'available']",q1_lowest,10,0.3354696701383988,'New Year's resolution' + 'part of' idiom — noisy
80,0.1,50,1.061,norm,"['norm', 'ability', 'report', 'cost', 'admin', 'constraint', 'backend', 'stream', '::', 'domain']",q1_lowest,12,0.3179877822552583,noisy grab-bag: job-listing/product-spec vocabulary
91,0.2,10,0.971,didn,"['there', 'didn', 'agreement', '\'.""', 'didn', 'without', 'taught', 'their', 'figured', 'couldn']",q1_lowest,1,0.3136483913898002,"noisy grab-bag, no consistent theme"
102,0.1,40,0.981,usb,"['usb', 'further', '.', 'surprising', 'direct', 'be', 'ethics', 'retrieved', 'advertisement']",q1_lowest,9,0.2992449506189088,"noisy grab-bag, no consistent theme"
125,0.4,50,0.984,.,"['votes', 'been', '.', 'consider', '.', 'affect', 'we', '.', '.', 'struggling']",q1_lowest,0,0.3993264809737779,"noisy grab-bag, no consistent theme"
139,0.2,27,1.061,called,"['arguments', 'called', 'boolean', 'called', 'taste', 'boolean', 'call', 'proportion', 'placebo', 'overall']",q1_lowest,11,0.35857945295102894,noisy grab-bag: academic/civic-program vocabulary
165,0.2,50,1.068,spine,"['specializes', 'degrees', 'term', 'spine', 'spine', 'skills', 'recently', 'reputation', 'knowing', 'skills']",q1_lowest,2,0.3520238785092506,"noisy grab-bag, no consistent theme"
175,0.3,29,1.012,&,"['&', 'and', 'to', 'word', '&', '&', 'and', 'short', '1', '.']",q1_lowest,10,0.39704478171689683,'New Year's resolution' + 'part of' idiom — noisy
178,0.1,50,1.061,fields,"['fields', 'governor', 'input', 'strings', 'realms', '=', 'hearts', 'were', 'proved', 'find']",q1_lowest,5,0.30260907241043705,noisy grab-bag: weather/sports stats + biology-protocol recipe
196,0.2,12,0.912,xml,"['xml', 'options', 'were', 'edges', 'selects', 'experiences', ',', 'as', 'areas', 'xml']",q1_lowest,3,0.329367472895576,'associated with' statistical-correlation phrase + noisy grab-bag
209,0.3,35,1.033,so,"['so', 'so', 'debut', 'capacity', 'about', 'squares', 'existence', 'so', 'circumference', 'accessed']",q1_lowest,5,0.38014127472782006,noisy grab-bag: weather/sports stats + biology-protocol recipe
220,0.2,10,0.905,any,"['know', 'other', 'any', 'much', 'can', '9', 'there', 'any', '9', 'and']",q1_lowest,8,0.3855255560188562,"noisy grab-bag, no consistent theme"
221,0.2,11,0.94,3,"['samples', '3', '(', 'little', 'need', 'sorrow', 'less', 'bottom', '3', '(']",q1_lowest,10,0.37377680847507616,'New Year's resolution' + 'part of' idiom — noisy
316,0.1,11,0.915,board,"['board', 'reliance', 'positions', 'interference', 'broker', 'lighting', 'color', 'adjoining', 'patient', 'respective']",q1_lowest,7,0.3093524304278382,noisy grab-bag: quiz/civic-institution vocabulary + tech jargon
318,0.2,17,0.953,for,"['along', 'hal', 'sides', 'for', 'geometry', ""',"", 'further', 'forth', 'for', 'to']",q1_lowest,6,0.4136149978209385,'in addition to'/'takes into account' business-prose connective phrases
357,0.3,19,0.915,and,"['first', 'over', 'and', 'and', 'inside', 'and', 'tap', 'side', 'languages', 'inside']",q1_lowest,3,0.35470653908412864,'associated with' statistical-correlation phrase + noisy grab-bag
368,0.2,17,0.951,have,"['have', 'who', 'fourth', 'shy', 'be', 'the', 'compared', 'have']",q1_lowest,0,0.30393129265086366,"noisy grab-bag, no consistent theme"
415,0.2,10,0.883,emirates,"['attachment', 'emirates', 'uses', 'expression', 'installed', 'addition', 'used', 'opposition', 'at', 'emirates']",q1_lowest,9,0.37610592295610507,"noisy grab-bag, no consistent theme"
419,0.2,23,0.999,to,"['recently', 'to', 'whole', 'had', 'foods', 'size', '19', 'to', 'away', 'on']",q1_lowest,3,0.27181068655739726,'associated with' statistical-correlation phrase + noisy grab-bag
420,0.3,28,1.055,")"",","[')"",', 'and', 'new', ')"",', ')"",', '"",', '"".', 'and', 'and', 'dortmund']",q1_lowest,0,0.47065086075132934,"noisy grab-bag, no consistent theme"
435,0.2,50,1.091,-,"['});', 'that', 'one', 'kinds', '-', 'ï¿½', 'î¼g', '-', '""\\', 'those']",q1_lowest,11,0.3540349143295352,noisy grab-bag: academic/civic-program vocabulary
458,0.4,50,1.053,season,"['season', 'into', 'season', 'season', 'vis', 'rect', 'sensory', ',', 'sport', 'season']",q1_lowest,12,0.3976492168764589,noisy grab-bag: job-listing/product-spec vocabulary
