fid,frac,n_total,mean_act,modal,bucket,label
3,0.4,50,5.884,the,q4_highest,
5,0.30000000000000004,50,4.54,positioned,q3,
7,0.2,50,3.907,l,q3,
9,0.2,50,4.469,depth,q3,
15,0.2,15,0.926,beyond,q1_lowest,
16,0.4,50,5.203,growth,q3,
18,0.4,50,15.741,first,q4_highest,sentence-initial position — whatever word opens the sentence (first/He/she/same)
23,0.2,50,1.724,communities,q3,
26,0.30000000000000004,50,12.072,kind,q4_highest,
27,0.4,50,1.397,not,q2,
31,0.2,50,1.146,&,q2,
36,0.4,50,9.824,ma,q4_highest,
40,0.30000000000000004,50,1.264,conference,q2,
41,0.4,50,1.207,jews,q2,
42,0.2,50,1.2,he,q2,
45,0.2,25,0.9500000000000001,higher,q1_lowest,
46,0.1,50,1.267,lockdown,q2,
49,0.2,50,7.204,spending,q4_highest,
51,0.2,11,0.897,>,q1_lowest,
56,0.30000000000000004,50,5.351,clicking,q3,
58,0.30000000000000004,50,4.976,easily,q3,
63,0.30000000000000004,50,4.727,point,q3,
66,0.1,50,1.302,chances,q2,
68,0.2,20,0.964,had,q1_lowest,
69,0.2,50,1.115,-,q1_lowest,"list/bullet-formatting punctuation (dash, brackets) + numeric price tokens"
71,0.30000000000000004,50,1.24,been,q2,
72,0.4,50,6.698,photo,q4_highest,
73,0.1,50,1.56,pulses,q3,
82,0.2,50,1.417,",",q2,
83,0.2,50,6.8100000000000005,section,q4_highest,
85,0.1,50,1.3639999999999999,varieties,q2,
87,0.2,50,1.104,regiment,q1_lowest,
91,0.4,25,1.161,heard,q2,
95,0.1,22,1.027,there,q1_lowest,
102,0.1,12,0.901,appear,q1_lowest,
104,0.2,50,1.381,involve,q2,
106,0.30000000000000004,31,0.923,its,q1_lowest,
118,0.1,50,5.065,threading,q3,
122,0.4,50,8.219,el,q4_highest,
133,0.30000000000000004,50,1.24,another,q2,
135,0.2,50,1.246,per,q2,
136,0.4,50,1.334,',q2,
143,0.2,50,6.148,conversation,q4_highest,
144,0.2,50,1.034,given,q1_lowest,
152,0.1,50,1.185,their,q2,
157,0.1,50,1.198,most,q2,
158,0.30000000000000004,50,2.14,and,q3,
160,0.2,50,5.543,calibration,q3,
162,0.2,21,1.005,carrying,q1_lowest,
165,0.1,50,1.194,spinal,q2,
166,0.0,50,14.122,,q4_highest,code-indentation whitespace tokens (blank space/tabs inside comments and code blocks)
167,0.4,50,9.205,give,q4_highest,
169,0.30000000000000004,50,5.759,birthday,q4_highest,
173,0.30000000000000004,50,4.129,thousands,q3,
177,0.2,50,1.437,which,q3,
178,0.2,50,1.139,kind,q2,
182,0.2,11,1.042,the,q1_lowest,
183,0.2,27,1.5470000000000002,17,q3,
187,0.30000000000000004,50,4.715,release,q3,
191,0.4,50,8.156,weeks,q4_highest,
197,0.4,50,7.5,a,q4_highest,
198,0.2,50,1.268,difference,q2,
201,0.4,50,6.167,his,q4_highest,
216,0.2,50,1.167,only,q2,
218,0.2,50,1.337,html,q2,
226,0.4,50,7.429,"',",q4_highest,
231,0.4,50,7.867,the,q4_highest,
232,0.4,50,4.131,limited,q3,
234,0.2,50,1.12,informed,q1_lowest,"formal reporting/obligation register (informed X of Y, opportunities must, we have to)"
236,0.4,50,1.381,sustainable,q2,
242,0.4,17,1.107,counterparts,q1_lowest,
253,0.1,50,1.074,fall,q1_lowest,
256,0.2,50,1.418,ml,q2,
258,0.30000000000000004,50,1.536,frame,q3,
263,0.2,14,0.9590000000000001,surrounding,q1_lowest,
267,0.4,50,7.617,morning,q4_highest,
269,0.4,50,6.494,fails,q4_highest,
270,0.4,50,7.76,his,q4_highest,
271,0.30000000000000004,50,4.883,stage,q3,
275,0.2,17,1.113,who,q1_lowest,"news-report passive voice: injury/accident reporting ('taken to hospital', 'struck by') + relative 'who'"
278,0.2,11,0.9380000000000001,hers,q1_lowest,
279,0.2,20,0.933,right,q1_lowest,
281,0.2,50,4.957,process,q3,
283,0.4,50,4.623,before,q3,
290,0.1,14,0.973,can,q1_lowest,
292,0.2,15,0.906,were,q1_lowest,
294,0.2,50,7.772,cars,q4_highest,
296,0.30000000000000004,50,2.141,bear,q3,
299,0.2,50,1.549,><,q3,
300,0.2,15,0.932,feet,q1_lowest,
302,0.30000000000000004,50,7.256,determine,q4_highest,
308,0.4,50,15.778,between,q4_highest,"relational/comparative connective ('as', 'between') linking two measured quantities"
310,0.30000000000000004,50,6.17,first,q4_highest,
312,0.2,13,0.886,victim,q1_lowest,
318,0.2,25,0.995,so,q1_lowest,
320,0.30000000000000004,40,1.095,and,q1_lowest,
324,0.1,11,0.96,cause,q1_lowest,
325,0.2,13,0.923,online,q1_lowest,
328,0.30000000000000004,50,1.299,latter,q2,
329,0.30000000000000004,47,1.042,billion,q1_lowest,
331,0.4,50,1.629,&,q3,
334,0.2,50,1.208,@,q2,
336,0.2,50,7.175,technological,q4_highest,
337,0.1,50,1.436,requisite,q2,formal necessity adjectives (requisite/ultimate/needed) — resolution/obligation prose
341,0.2,26,1.11,exception,q1_lowest,
346,0.4,50,1.679,as,q3,
347,0.1,50,1.384,groups,q2,
348,0.30000000000000004,50,1.332,of,q2,
