fid,frac,n_total,mean_act,modal,bucket,label
0,0.30000000000000004,50,1.226,others,q2,
6,0.2,28,0.927,specific,q1_lowest,
13,0.4,50,7.159,q,q4_highest,
15,0.2,13,0.869,false,q1_lowest,
22,0.1,12,0.92,strokes,q1_lowest,
23,0.2,50,1.733,section,q3,
24,0.30000000000000004,28,1.029,",",q1_lowest,
26,0.30000000000000004,50,8.966,think,q4_highest,
28,0.4,50,9.831,c,q4_highest,
30,0.4,50,2.961,it,q3,
31,0.30000000000000004,50,1.234,rely,q2,
40,0.1,37,1.095,kingdom,q2,
41,0.1,50,1.223,protection,q2,
46,0.1,50,1.309,arabia,q2,
49,0.2,50,5.596,there,q3,
51,0.2,20,0.89,/>,q1_lowest,
52,0.4,29,1.064,intended,q1_lowest,
54,0.30000000000000004,50,1.482,carolina,q3,
57,0.4,50,5.219,always,q3,
62,0.2,50,3.9779999999999998,brand,q3,
63,0.4,50,7.298,x,q4_highest,
65,0.2,20,0.933,particularly,q1_lowest,
66,0.30000000000000004,50,1.263,thank,q2,
68,0.2,22,0.994,added,q1_lowest,
73,0.2,50,1.522,avatar,q3,
74,0.4,46,1.227,http,q2,
80,0.2,50,1.141,::,q2,
82,0.30000000000000004,50,1.537,to,q3,
83,0.4,50,6.413,t,q4_highest,
84,0.4,50,6.732,organization,q4_highest,
86,0.1,50,1.005,i,q1_lowest,
92,0.30000000000000004,50,1.516,matter,q3,
93,0.4,50,9.725999999999999,me,q4_highest,
95,0.1,35,0.991,object,q1_lowest,
98,0.4,28,1.583,hurricane,q3,
118,0.2,50,5.019,antigens,q3,
126,0.0,50,8.881,,q4_highest,
133,0.2,50,1.176,different,q2,
135,0.2,50,1.178,no,q2,
139,0.1,10,0.879,numeric,q1_lowest,
140,0.30000000000000004,50,6.96,will,q4_highest,
143,0.30000000000000004,50,5.913,room,q4_highest,
144,0.2,50,1.092,",",q2,
145,0.30000000000000004,50,8.132,care,q4_highest,
149,0.2,36,0.973,here,q1_lowest,
152,0.30000000000000004,50,1.429,m,q3,
155,0.30000000000000004,50,5.787,comments,q3,feedback/opinion lemma family (comment(s)/opinion(s)/feedback) — blog/forum solicitation
162,0.2,15,0.929,quality,q1_lowest,
163,0.2,50,1.312,huh,q2,
165,0.1,40,1.124,77,q2,
166,0.0,50,11.255,,q4_highest,
183,0.30000000000000004,50,6.464,century,q4_highest,
184,0.2,44,1.451,workspace,q3,
187,0.30000000000000004,50,8.351,from,q4_highest,
195,0.1,50,4.382,substantial,q3,
198,0.0,50,8.554,,q4_highest,
202,0.2,50,1.1440000000000001,74,q2,
208,0.30000000000000004,28,1.081,the,q2,
