fid,frac,n_total,mean_act,modal,top_words,bucket,cluster,dist_to_centroid,label
6,0.2,28,0.927,specific,"['specific', 'are', 'object', 'body', 'natural', 'semi', 'objects', 'destructive', 'specific', 'body']",q1_lowest,3,0.3541093881607808,'once-in-a-lifetime' idiom + 'need'/archaic register mix
15,0.2,13,0.869,false,"['beyond', 'battlefield', 'outside', 'were', 'false', 'false', 'within', 'filled', 'elsewhere', 'rejected']",q1_lowest,13,0.28334744223973474,noisy grab-bag: technical/legal/scientific mix
22,0.1,12,0.92,strokes,"['strokes', 'following', 'extensions', 'wondering', 'weighs', '28', 'fractions', '41', 'previous', 'uncertainty']",q1_lowest,7,0.34840427868580937,"noisy grab-bag, no consistent theme"
24,0.3,28,1.029,",","['-', '-', 'month', 'have', ',', 'at', ',', ',', 'her', 'your']",q1_lowest,6,0.3407780525377037,"noisy grab-bag, no consistent theme"
51,0.2,20,0.89,/>,"['/>', '>', 'significantly', 'his', 'which', 'ready', 'chances', 'several', '>', '/>']",q1_lowest,13,0.39320811049778687,noisy grab-bag: technical/legal/scientific mix
52,0.4,29,1.064,intended,"['intended', 'intended', 'occurs', 'equals', 'intended', 'and', 'along', 'intended', 'along', 'along']",q1_lowest,4,0.41436346655156386,"noisy grab-bag, no consistent theme"
65,0.2,20,0.933,particularly,"['therefore', 'matter', 'particularly', 'its', 'particularly', 'others', 'he', 'often', 'hua', 'commonly']",q1_lowest,4,0.34359768236860766,"noisy grab-bag, no consistent theme"
68,0.2,22,0.994,added,"['added', 'came', 'joined', 'added', 'coverage', 'with', 'sabbath', 'used', 'remote', 'had']",q1_lowest,11,0.32312289019039275,'home to' idiom (place description) + noisy grab-bag
86,0.1,50,1.005,i,"['i', 'saga', 'and', 'let', 'a', 'count', 'chain', 'in', 'these']",q1_lowest,0,0.312759575476968,pure determiner/slash-fraction feature (a/the/'s + X/10 ratings) — no topical theme
95,0.1,35,0.991,object,"['object', 'they', 'it', '""]', 'lego', 'error', 'adapting', 'technique', 'routine', 'mission']",q1_lowest,7,0.2954889607818823,"noisy grab-bag, no consistent theme"
139,0.1,10,0.879,numeric,"['numeric', 'decentralized', '163', 'carbohydrates', '-->', 'cannabinoid', 'fraction', 'other', 'magnification', '332']",q1_lowest,8,0.4020500072058353,noisy grab-bag: business/legal boilerplate + travel/hospitality listings
149,0.2,36,0.973,here,"['here', 'on', 'comes', 'friends', 'here', 'comes', 'that', 'this', 'complies']",q1_lowest,0,0.3141534251448622,pure determiner/slash-fraction feature (a/the/'s + X/10 ratings) — no topical theme
162,0.2,15,0.929,quality,"['checking', 'showing', 'away', 'plays', 'consumption', 'consistently', 'quality', 'doing', 'abundance', 'quality']",q1_lowest,6,0.31280678921515265,"noisy grab-bag, no consistent theme"
216,0.1,50,1.076,only,"['only', 'jury', 'agent', 'property', 'youngest', 'ha', 'score', 'deal', 'marker', 'node']",q1_lowest,4,0.28651877526260927,"noisy grab-bag, no consistent theme"
224,0.3,12,0.892,thought,"['thought', 'figured', 'thought', ');', 'such', 'and', 'sure', ');', 'thought', 'far']",q1_lowest,6,0.39514205273243425,"noisy grab-bag, no consistent theme"
240,0.1,23,0.946,reflection,"['reflection', 'reflected', 'fringe', 'secrets', 'plane', 'reflective', 'reality', 'reflect', 'initiative', 'crypto']",q1_lowest,4,0.32364204831408205,"noisy grab-bag, no consistent theme"
267,0.2,16,0.926,and,"['pay', '15', 'friendly', '43', 'agree', 'and', 'hope', 'subscription', '3', 'and']",q1_lowest,2,0.3816225253009696,"citation/reference-list numeric formatting (Volume N, timestamps, number sequences)"
282,0.2,16,0.923,broke,"['bonus', 'broke', 'free', 'broke', '==', 'privilege', 'dream', 'smashed', 'delivered', 'aid']",q1_lowest,7,0.31619691682950235,"noisy grab-bag, no consistent theme"
284,0.2,10,0.947,9,"['41', '/', '""""""', '9', 'attended', '37', '19', '9', '):', ',""']",q1_lowest,2,0.42951859145925286,"citation/reference-list numeric formatting (Volume N, timestamps, number sequences)"
291,0.3,12,0.886,our,"['taken', 'horizontal', 'our', 'upon', 'i', 'horizontal', 'done', 'our', 'our']",q1_lowest,13,0.3101936907792919,noisy grab-bag: technical/legal/scientific mix
313,0.1,18,0.94,76,"['76', 'that', 'looked', 'wr', 'didn', 'look', 'came', 'stands', 'french', 'stays']",q1_lowest,12,0.3096514657763903,"noisy grab-bag, no consistent theme"
318,0.1,12,0.86,662,"['662', 'there', '76', 'newspaper', 'to', 'so', 'heavens', 'lesser', 'within', 'pes']",q1_lowest,7,0.3545095770329051,"noisy grab-bag, no consistent theme"
325,0.1,13,0.872,sorts,"['sorts', 'equivalent', 'it', 'âłâłâłâłâłâłâł', 'origins', 'relatively', 'compares', 'transforms', 'easily']",q1_lowest,0,0.38302099693329794,pure determiner/slash-fraction feature (a/the/'s + X/10 ratings) — no topical theme
352,0.2,31,0.93,via,"['via', 'including', 'including', '%,', 'and', '&', ""'."", 'also', 'via', 'and']",q1_lowest,0,0.42455828403520035,pure determiner/slash-fraction feature (a/the/'s + X/10 ratings) — no topical theme
357,0.1,18,0.88,)),"['))', 'around', 'side', 'although', '`', 'entire', 'full', 'surrounded', 'over', 'indicate']",q1_lowest,4,0.33899259758467293,"noisy grab-bag, no consistent theme"
368,0.1,11,0.892,have,"['have', 'loved', 'most', '=', 'each', 'stands', 'he', 'who', 'great']",q1_lowest,10,0.3377536258786241,"noisy grab-bag, business/tech/media reporting"
402,0.2,13,0.95,plate,"['when', 'plate', '""\\', '13', 'clayton', 'even', '1996', '.)', 'plate', 'alike']",q1_lowest,8,0.35671896254987534,noisy grab-bag: business/legal boilerplate + travel/hospitality listings
413,0.3,12,0.846,string,"['the', ""'t"", 'lowest', 'string', 'his', 'which', 'the', 'string', 'string', 'most']",q1_lowest,10,0.34821657772030284,"noisy grab-bag, business/tech/media reporting"
475,0.4,39,0.984,armed,"['armed', '<', 'armed', 'infrared', 'armed', 'armed', 'civil', 'always', '\\', 'best']",q1_lowest,7,0.3629786802434621,"noisy grab-bag, no consistent theme"
477,0.1,15,0.906,which,"['which', 'only', 'about', 'one', 'users', 'choose', 'where', 'anywhere', 'driving', 'sorts']",q1_lowest,4,0.33317439254720216,"noisy grab-bag, no consistent theme"
513,0.1,18,0.951,dealing,"['dealing', 'projects', 'oneself', 'bachelor', 'honour', 'ceremony', 'brethren', 'chapter', 'depends', '20']",q1_lowest,9,0.27877705665158137,noisy grab-bag: finance/business reporting
535,0.1,50,1.076,automobile,"['automobile', 'accounting', 'envisioned', 'right', '\\', 'armed', 'ordered', 'responsibility', 'behalf', '""']",q1_lowest,6,0.3625857455459237,"noisy grab-bag, no consistent theme"
562,0.2,18,0.846,m,"['ans', 'that', 'home', 'thing', 'm', 'attend', 'don', 'm', 'advantage', 'result']",q1_lowest,11,0.28922597315704224,'home to' idiom (place description) + noisy grab-bag
581,0.2,19,0.973,risk,"['junior', 'risk', 'o', 'o', 'do', 'new', 'have', 'risk', 'regulatory', 'other']",q1_lowest,9,0.3021287111297505,noisy grab-bag: finance/business reporting
582,0.4,50,1.022,**,"['**', 'inches', '**', '**', 'usual', ""'s"", '**', 'system', 'addition', 'other']",q1_lowest,6,0.37278128322435616,"noisy grab-bag, no consistent theme"
583,0.3,12,1.064,anniversary,"['percentile', 'anniversary', 'anniversary', 'percentile', 'anniversary', 'parallel', '])', 'note', 'consequence', 'it']",q1_lowest,7,0.3629962017284221,"noisy grab-bag, no consistent theme"
609,0.1,15,0.935,duration,"['duration', 'now', 'name', 'radius', ',', 'bids', 'so', 'b', '5', '2']",q1_lowest,12,0.3408098223827543,"noisy grab-bag, no consistent theme"
679,0.1,50,0.99,proceedings,"['proceedings', '103', '58', '101', 'snap', 'because', 'month', 'restart', 'staple', 'it']",q1_lowest,2,0.3357261932563134,"citation/reference-list numeric formatting (Volume N, timestamps, number sequences)"
698,0.3,17,0.912,neuron,"['yi', 'fellow', 'others', 'neuron', 'neuron', 'tracking', 'fellow', 'neuron', 'yi', 'millennials']",q1_lowest,4,0.3754487176956737,"noisy grab-bag, no consistent theme"
700,0.3,50,1.023,/,"['/', 'question', 'the', 'challenged', '/', 'invite', 'conquer', 'almost', 'dear', '/']",q1_lowest,0,0.31004853050596415,pure determiner/slash-fraction feature (a/the/'s + X/10 ratings) — no topical theme
709,0.2,50,0.972,&,"['&', 'where', '/', 'him', '&', 'minute', '3', 'import', 'his', 'd']",q1_lowest,10,0.3666355176126948,"noisy grab-bag, business/tech/media reporting"
710,0.3,12,1.075,r,"['r', '19', 'r', '3', '17', '16', '33', 'raspberry', 'r', '12']",q1_lowest,7,0.4999514658075554,"noisy grab-bag, no consistent theme"
724,0.4,26,0.994,lifting,"['on', 'had', 'lifting', 'compromising', 'standards', 'lifting', 'lifting', 'knocked', 'did', 'lifting']",q1_lowest,4,0.40069107731048476,"noisy grab-bag, no consistent theme"
728,0.3,50,1.059,3,"['3', 'production', 'images', 'between', 'suite', '3', '13', 'evidence', 'experience', '3']",q1_lowest,8,0.37485451157398614,noisy grab-bag: business/legal boilerplate + travel/hospitality listings
738,0.2,50,1.05,_.,"['concentrate', 'get', 's', 'had', 'been', 'up', 'taken', '_.', '_.', 'd']",q1_lowest,7,0.3411839355297019,"noisy grab-bag, no consistent theme"
744,0.4,25,1.039,ceo,"['officer', 'ceo', 'director', 'mr', 'mrs', 'ceo', 'premises', 'ceo', 'ceo', 'the']",q1_lowest,10,0.44578347735904317,"noisy grab-bag, business/tech/media reporting"
748,0.2,50,1.037,gpa,"['causes', 'gpa', 'yard', 'md', 'former', 'reader', 'memory', 'feel', 'gpa', 'grades']",q1_lowest,6,0.33029338586653906,"noisy grab-bag, no consistent theme"
767,0.2,48,1.061,',"['rest', ""'"", 'complexity', ""'"", 'partners', 'latter', 'complexity', 'sorts', 'dynamics', 'former']",q1_lowest,4,0.32447257106014415,"noisy grab-bag, no consistent theme"
772,0.2,11,0.88,those,"['communities', 'these', 'those', 'descending', 'those', 'great', 'millions', 'purchased', 'return']",q1_lowest,13,0.2850127562075594,noisy grab-bag: technical/legal/scientific mix
778,0.1,21,0.911,husband,"['husband', ""''"", 'sheriff', 'magistrate', '$', 'others', 'reasonable', 'rabbits', 'defendant', 'playboy']",q1_lowest,7,0.3675042445565983,"noisy grab-bag, no consistent theme"
779,0.3,10,0.931,ratio,"['ratio', 'fundamental', 'officer', 'and', 'resolution', 'to', 'ratio', 'ratio', '2', 'cent']",q1_lowest,4,0.4034785350320953,"noisy grab-bag, no consistent theme"
780,0.1,10,0.831,"]),","[']),', 'oral', 'all', 'min', 'carried', ""',"", 'none', 'invoked', 'conscious', 'cover']",q1_lowest,13,0.3512221931477239,noisy grab-bag: technical/legal/scientific mix
785,0.1,11,0.916,out,"['out', 'entire', 'infinite', 'nowhere', 'east', 'endless', 'max', 'all', ""',"", 'ensuring']",q1_lowest,10,0.41285597562522613,"noisy grab-bag, business/tech/media reporting"
840,0.1,50,1.068,many,"['many', 'www', 'teams', 'may', 'heels', 'seniors', 'league', 'head', 'conjunction']",q1_lowest,7,0.27658765021769915,"noisy grab-bag, no consistent theme"
851,0.1,35,1.0,brought,"['brought', 'that', 'fields', 'affects', 'requirements', 'sets', ',', 'disciplines', 'holds', '>']",q1_lowest,10,0.33915620067212987,"noisy grab-bag, business/tech/media reporting"
858,0.2,16,0.899,the,"['annually', 'year', 'std', 'the', 'the', 'from', 'brace', 'const', 'something', 'posterior']",q1_lowest,9,0.27257302569951025,noisy grab-bag: finance/business reporting
879,0.2,44,1.027,"),","['his', 'when', 'blend', 'configure', '),', '),', 'behind', ']),', 'into', 'handle']",q1_lowest,10,0.39277601044759963,"noisy grab-bag, business/tech/media reporting"
890,0.2,50,1.071,there,"['appears', 'there', 'there', '171', 'himself', 'those', 'though', 'twice', 'seems', 'wasn']",q1_lowest,1,0.34739213948629877,'never before existed' + narrative-intensifier grab-bag
895,0.2,50,1.061,adaptation,"['adaptation', 'replace', 'example', 'know', 'adaptation', 'exception', 'in', 'replacing', 'was', 'someone']",q1_lowest,4,0.3159623544225893,"noisy grab-bag, no consistent theme"
902,0.2,50,0.949,9,"['9', '119', 'commands', 'thanks', 'goes', '9', '-', 'due', '}}', '-']",q1_lowest,8,0.3816603824921689,noisy grab-bag: business/legal boilerplate + travel/hospitality listings
904,0.2,41,0.985,respectively,"['d', '43', 'respectively', 'and', 'november', '0000', 'old', 'episode', 'respectively', '15']",q1_lowest,8,0.3791312986448661,noisy grab-bag: business/legal boilerplate + travel/hospitality listings
923,0.3,19,0.899,watched,"['cue', 'regained', 'bay', 'watched', 'hailed', 'watch', 'about', 'watched', 'watched']",q1_lowest,11,0.36576715038515567,'home to' idiom (place description) + noisy grab-bag
924,0.2,29,0.941,send,"['occasion', 'case', 'hold', 'send', 'honour', 'mail', 'decent', 'send', 'attain', 'lead']",q1_lowest,9,0.2991404725420722,noisy grab-bag: finance/business reporting
926,0.2,22,0.919,/**,"['13', '/**', '/**', '11', '146', 'used', 'sixth', '6', 'surged', 'pour']",q1_lowest,2,0.3691385116867454,"citation/reference-list numeric formatting (Volume N, timestamps, number sequences)"
938,0.1,39,1.074,"),","['),', 'aren', '14', 'others', '2004', 'what', '2007', 'don', 'and', ')?']",q1_lowest,2,0.38630410945847277,"citation/reference-list numeric formatting (Volume N, timestamps, number sequences)"
946,0.2,50,1.043,so,"['so', 'also', 'i', 'so', 'here', 'respectively', 'other', 'this', 'week', 'and']",q1_lowest,10,0.40518989814105394,"noisy grab-bag, business/tech/media reporting"
983,0.2,20,0.957,40,"['fahrenheit', 'a', 'technical', 'for', 'facial', 'profit', 'spiritual', 'fatty', '40', '40']",q1_lowest,8,0.3715456417260258,noisy grab-bag: business/legal boilerplate + travel/hospitality listings
985,0.2,17,0.947,audiences,"['most', 'audiences', 'audiences', 'accessibility', 'chain', 'playing', 'thousands', 'occasion', 'she', 'ranging']",q1_lowest,1,0.2751184195248701,'never before existed' + narrative-intensifier grab-bag
987,0.2,12,0.883,once,"['once', 'instant', 'once', 'the', 'whatever', 'to', 'craft', 'every', 'achieved', 'been']",q1_lowest,3,0.31368673589036317,'once-in-a-lifetime' idiom + 'need'/archaic register mix
989,0.1,50,1.066,z,"['z', 'dialogue', 'nyc', 'gaining', 'problem', 'arise', 'winter', 'gmo', 'grasp']",q1_lowest,4,0.2865657126016517,"noisy grab-bag, no consistent theme"
994,0.2,11,0.88,said,"['said', 'yeah', 'holy', 'sometimes', 'going', 'feb', ',', 'hz', 'fairfax', 'said']",q1_lowest,4,0.452366071020962,"noisy grab-bag, no consistent theme"
1000,0.4,30,1.046,in,"['should', 'in', 'in', 'in', 'late', 'in', 'do', 'late', 'thursday', 'ĉ']",q1_lowest,11,0.33704744190185304,'home to' idiom (place description) + noisy grab-bag
1010,0.2,13,0.906,cumulative,"['mining', 'even', 'cumulative', 'anxious', 'lesser', 'menstrual', 'cumulative', 'ninth', 'tablespoon', 'shuttle']",q1_lowest,9,0.4280258259044915,noisy grab-bag: finance/business reporting
1028,0.2,10,0.838,wake,"['instruction', 'wake', 'wake', 'health', 'judge', 'create', 'real', 'regional', 'health', 'make']",q1_lowest,7,0.35426704664531544,"noisy grab-bag, no consistent theme"
1030,0.2,10,0.857,ponytail,"['a', 'eh', 'and', 'medicare', 'asked', 'ponytail', 'ponytail', 'plugs', 'participated', 'variable']",q1_lowest,11,0.3158267409002595,'home to' idiom (place description) + noisy grab-bag
