fid,frac,n_total,mean_act,modal,bucket,label
5,0.2,50,6.254,century,q4_highest,
6,0.4,50,4.089,watched,q3,
8,0.4,50,3.688,thing,q3,
9,0.30000000000000004,50,4.545,a,q3,
11,0.2,50,1.542,so,q3,
13,0.30000000000000004,50,5.466,proteoliposomes,q3,
24,0.2,50,1.5710000000000002,out,q3,
26,0.4,50,11.448,think,q4_highest,
37,0.30000000000000004,15,0.897,-,q1_lowest,
39,0.30000000000000004,50,8.186,a,q4_highest,
40,0.2,50,1.506,paragraph,q3,
48,0.2,15,0.87,understand,q1_lowest,
49,0.0,50,7.629,,q4_highest,
53,0.0,50,3.17,,q3,
54,0.2,50,1.244,===,q2,
61,0.30000000000000004,50,1.1360000000000001,an,q2,
74,0.2,50,1.432,latter,q2,'latter' comparison word + stray 'http' URL tokens
76,0.30000000000000004,50,3.2560000000000002,eur,q3,
90,0.2,50,7.891,candidate,q4_highest,
93,0.2,50,4.208,we,q3,
105,0.1,14,0.848,.,q1_lowest,
130,0.2,47,1.077,zone,q2,
132,0.2,50,6.836,setting,q4_highest,
139,0.1,50,1.439,my,q3,
142,0.2,50,1.647,"',",q3,
143,0.30000000000000004,50,6.429,000,q4_highest,
146,0.4,50,5.592,the,q3,'Prize'/'winning'/award-announcement vocabulary
152,0.30000000000000004,50,1.473,that,q3,
157,0.1,12,0.861,let,q1_lowest,
162,0.1,24,0.9470000000000001,rather,q1_lowest,
166,0.0,50,11.44,,q4_highest,
175,0.1,19,0.937,corresponding,q1_lowest,
177,0.1,40,0.97,brood,q1_lowest,
178,0.2,50,1.1280000000000001,aspects,q2,
182,0.2,50,1.326,around,q2,
191,0.30000000000000004,50,6.51,died,q4_highest,
195,0.30000000000000004,50,5.177,a,q3,
197,0.4,50,4.285,//,q3,
204,0.4,31,1.039,behind,q1_lowest,idiomatic-slot 'behind' ('the idea/reason behind X')
208,0.2,50,1.375,out,q2,
210,0.2,16,0.926,premises,q1_lowest,
211,0.2,12,0.9550000000000001,away,q1_lowest,
219,0.4,50,8.234,image,q4_highest,
222,0.30000000000000004,50,5.161,chances,q3,
223,0.30000000000000004,50,5.072,risk,q3,
224,0.30000000000000004,24,0.986,ãĺ,q1_lowest,
226,0.4,50,5.715,$.,q4_highest,
227,0.2,12,0.891,++),q1_lowest,
228,0.4,50,9.306,choose,q4_highest,
229,0.0,50,8.356,,q4_highest,
231,0.2,50,8.189,the,q4_highest,
232,0.0,50,5.877,,q4_highest,
233,0.4,50,1.23,a,q2,
234,0.2,16,0.976,whole,q1_lowest,
240,0.2,50,1.366,whole,q2,
243,0.4,50,1.079,"?""",q2,
254,0.4,50,4.96,finally,q3,
256,0.30000000000000004,50,1.203,",",q2,
265,0.2,50,3.625,anterior,q3,
274,0.2,50,1.031,",",q1_lowest,
277,0.1,14,0.906,radius,q1_lowest,
289,0.30000000000000004,50,1.673,happened,q3,
293,0.2,50,7.72,posts,q4_highest,
302,0.2,50,6.545,assess,q4_highest,
304,0.30000000000000004,50,1.418,time,q2,generic grab-bag around 'time'/'money'/'elections'
307,0.4,50,1.244,he,q2,
321,0.2,50,1.484,eye,q3,
328,0.30000000000000004,25,0.937,asked,q1_lowest,
331,0.2,10,0.934,us,q1_lowest,
336,0.4,50,6.808,legal,q4_highest,
338,0.4,50,9.222,went,q4_highest,
341,0.4,50,7.353,friday,q4_highest,
352,0.1,50,1.093,birth,q2,
354,0.2,50,6.283,seeking,q4_highest,
359,0.4,50,11.536,the,q4_highest,
360,0.2,50,1.057,int,q2,
362,0.2,50,1.29,(,q2,
367,0.2,50,1.11,who,q2,
369,0.30000000000000004,50,8.196,university,q4_highest,
373,0.4,50,1.254,whole,q2,
379,0.30000000000000004,50,1.7650000000000001,\),q3,
380,0.1,50,1.501,homework,q3,
384,0.1,50,1.44,aim,q3,
389,0.1,45,0.963,email,q1_lowest,
392,0.1,50,1.041,&&,q1_lowest,"code boolean-operator symbols (&&, ||) — mostly noise"
393,0.2,50,1.048,whatever,q1_lowest,'whatever' concessive-relative + miscellaneous nouns (Factor/Senator/anterior) — noisy
397,0.2,50,1.796,scenes,q3,
398,0.2,50,1.2690000000000001,100,q2,
400,0.1,50,6.554,8,q4_highest,
406,0.2,50,1.4140000000000001,complexity,q2,'space complexity' (CS) + biology 'charged dye'/'tribe' — mixed technical/social
415,0.30000000000000004,50,1.393,addition,q2,
420,0.4,50,1.615,published,q3,
421,0.30000000000000004,24,0.962,got,q1_lowest,
422,0.30000000000000004,50,5.797,leader,q4_highest,
425,0.30000000000000004,50,5.511,into,q3,
426,0.4,50,2.208,ny,q3,
427,0.0,50,1.518,,q3,
434,0.2,50,1.37,other,q2,
435,0.4,50,2.39,popular,q3,
436,0.0,50,7.817,,q4_highest,
