model_size,checkpoint,topic,split,value,overall_accuracy,metric,total_pairs,file,ckpt_pos
pythia-160m,step16,abstract_algebra,dev,40.0,23.14289317694539,seq_logprob,15858,/home/nsrikant/BehaviorBoxNew/results/mmlu/pythia-160m-step16/mmlu_summary_seq_logprob.json,5
pythia-160m,step16,abstract_algebra,test,22.0,23.14289317694539,seq_logprob,15858,/home/nsrikant/BehaviorBoxNew/results/mmlu/pythia-160m-step16/mmlu_summary_seq_logprob.json,5
pythia-160m,step16,abstract_algebra,validation,18.181818181818183,23.14289317694539,seq_logprob,15858,/home/nsrikant/BehaviorBoxNew/results/mmlu/pythia-160m-step16/mmlu_summary_seq_logprob.json,5
pythia-160m,step16,abstract_algebra,avg,26.72727272727273,23.14289317694539,seq_logprob,15858,/home/nsrikant/BehaviorBoxNew/results/mmlu/pythia-160m-step16/mmlu_summary_seq_logprob.json,5
pythia-160m,step16,abstract_algebra,max,40.0,23.14289317694539,seq_logprob,15858,/home/nsrikant/BehaviorBoxNew/results/mmlu/pythia-160m-step16/mmlu_summary_seq_logprob.json,5
pythia-160m,step16,anatomy,dev,0.0,23.14289317694539,seq_logprob,15858,/home/nsrikant/BehaviorBoxNew/results/mmlu/pythia-160m-step16/mmlu_summary_seq_logprob.json,5
pythia-160m,step16,anatomy,test,18.51851851851852,23.14289317694539,seq_logprob,15858,/home/nsrikant/BehaviorBoxNew/results/mmlu/pythia-160m-step16/mmlu_summary_seq_logprob.json,5
pythia-160m,step16,anatomy,validation,7.142857142857143,23.14289317694539,seq_logprob,15858,/home/nsrikant/BehaviorBoxNew/results/mmlu/pythia-160m-step16/mmlu_summary_seq_logprob.json,5
pythia-160m,step16,anatomy,avg,8.55379188712522,23.14289317694539,seq_logprob,15858,/home/nsrikant/BehaviorBoxNew/results/mmlu/pythia-160m-step16/mmlu_summary_seq_logprob.json,5
pythia-160m,step16,anatomy,max,18.51851851851852,23.14289317694539,seq_logprob,15858,/home/nsrikant/BehaviorBoxNew/results/mmlu/pythia-160m-step16/mmlu_summary_seq_logprob.json,5
pythia-160m,step16,astronomy,dev,60.0,23.14289317694539,seq_logprob,15858,/home/nsrikant/BehaviorBoxNew/results/mmlu/pythia-160m-step16/mmlu_summary_seq_logprob.json,5
pythia-160m,step16,astronomy,test,17.763157894736842,23.14289317694539,seq_logprob,15858,/home/nsrikant/BehaviorBoxNew/results/mmlu/pythia-160m-step16/mmlu_summary_seq_logprob.json,5
pythia-160m,step16,astronomy,validation,31.25,23.14289317694539,seq_logprob,15858,/home/nsrikant/BehaviorBoxNew/results/mmlu/pythia-160m-step16/mmlu_summary_seq_logprob.json,5
pythia-160m,step16,astronomy,avg,36.33771929824562,23.14289317694539,seq_logprob,15858,/home/nsrikant/BehaviorBoxNew/results/mmlu/pythia-160m-step16/mmlu_summary_seq_logprob.json,5
pythia-160m,step16,astronomy,max,60.0,23.14289317694539,seq_logprob,15858,/home/nsrikant/BehaviorBoxNew/results/mmlu/pythia-160m-step16/mmlu_summary_seq_logprob.json,5
pythia-160m,step16,business_ethics,dev,20.0,23.14289317694539,seq_logprob,15858,/home/nsrikant/BehaviorBoxNew/results/mmlu/pythia-160m-step16/mmlu_summary_seq_logprob.json,5
pythia-160m,step16,business_ethics,test,30.0,23.14289317694539,seq_logprob,15858,/home/nsrikant/BehaviorBoxNew/results/mmlu/pythia-160m-step16/mmlu_summary_seq_logprob.json,5
pythia-160m,step16,business_ethics,validation,54.54545454545455,23.14289317694539,seq_logprob,15858,/home/nsrikant/BehaviorBoxNew/results/mmlu/pythia-160m-step16/mmlu_summary_seq_logprob.json,5
pythia-160m,step16,business_ethics,avg,34.84848484848485,23.14289317694539,seq_logprob,15858,/home/nsrikant/BehaviorBoxNew/results/mmlu/pythia-160m-step16/mmlu_summary_seq_logprob.json,5
pythia-160m,step16,business_ethics,max,54.54545454545455,23.14289317694539,seq_logprob,15858,/home/nsrikant/BehaviorBoxNew/results/mmlu/pythia-160m-step16/mmlu_summary_seq_logprob.json,5
pythia-160m,step16,clinical_knowledge,dev,20.0,23.14289317694539,seq_logprob,15858,/home/nsrikant/BehaviorBoxNew/results/mmlu/pythia-160m-step16/mmlu_summary_seq_logprob.json,5
pythia-160m,step16,clinical_knowledge,test,21.50943396226415,23.14289317694539,seq_logprob,15858,/home/nsrikant/BehaviorBoxNew/results/mmlu/pythia-160m-step16/mmlu_summary_seq_logprob.json,5
pythia-160m,step16,clinical_knowledge,validation,6.896551724137931,23.14289317694539,seq_logprob,15858,/home/nsrikant/BehaviorBoxNew/results/mmlu/pythia-160m-step16/mmlu_summary_seq_logprob.json,5
pythia-160m,step16,clinical_knowledge,avg,16.135328562134028,23.14289317694539,seq_logprob,15858,/home/nsrikant/BehaviorBoxNew/results/mmlu/pythia-160m-step16/mmlu_summary_seq_logprob.json,5
pythia-160m,step16,clinical_knowledge,max,21.50943396226415,23.14289317694539,seq_logprob,15858,/home/nsrikant/BehaviorBoxNew/results/mmlu/pythia-160m-step16/mmlu_summary_seq_logprob.json,5
pythia-160m,step16,college_biology,dev,0.0,23.14289317694539,seq_logprob,15858,/home/nsrikant/BehaviorBoxNew/results/mmlu/pythia-160m-step16/mmlu_summary_seq_logprob.json,5
pythia-160m,step16,college_biology,test,25.694444444444443,23.14289317694539,seq_logprob,15858,/home/nsrikant/BehaviorBoxNew/results/mmlu/pythia-160m-step16/mmlu_summary_seq_logprob.json,5
pythia-160m,step16,college_biology,validation,12.5,23.14289317694539,seq_logprob,15858,/home/nsrikant/BehaviorBoxNew/results/mmlu/pythia-160m-step16/mmlu_summary_seq_logprob.json,5
pythia-160m,step16,college_biology,avg,12.731481481481481,23.14289317694539,seq_logprob,15858,/home/nsrikant/BehaviorBoxNew/results/mmlu/pythia-160m-step16/mmlu_summary_seq_logprob.json,5
pythia-160m,step16,college_biology,max,25.694444444444443,23.14289317694539,seq_logprob,15858,/home/nsrikant/BehaviorBoxNew/results/mmlu/pythia-160m-step16/mmlu_summary_seq_logprob.json,5
