feature_id,description,acquisition_checkpoint,acquisition_checkpoint_name,final_probability,max_probability,good_count,bad_count,subset_counts
172,Tab characters used for code indentation and formatting in programming contexts.,6,pythia-160m-step64,0.952534751,0.971999222,0,0,{'': 50}
1761,Tab characters used for code indentation in programming contexts.,6,pythia-160m-step64,0.968902533,0.979683988,0,0,{'': 50}
1620,Dialogue formatting markers indicating the start of speech or quotations in conversational text.,6,pythia-160m-step64,0.972798665,0.982922516,0,0,{'': 50}
254,Tab characters serving as delimiters or separators between mathematical questions about prime and composite numbers.,7,pythia-160m-step128,0.99931585,0.999938967,0,0,{'': 50}
703,Decimal points in statistical p-values from scientific research papers.,7,pythia-160m-step128,0.998433723,0.998709579,0,0,{'': 50}
2259,HTML/XML opening angle brackets appearing in code documentation or web markup contexts.,7,pythia-160m-step128,0.784783683,0.875246354,0,0,{'': 50}
923,Periods appearing within academic citation references in scholarly text.,7,pythia-160m-step128,0.999917931,0.999938967,0,0,{'': 50}
1909,HTML attribute values for reference type specifications in academic document markup.,7,pythia-160m-step128,0.999932592,0.999938967,0,0,{'': 50}
1212,"Colons that appear after ""Category"" in what appears to be Wikipedia category markup syntax.",7,pythia-160m-step128,0.999938014,0.999938967,0,0,{'': 50}
2764,"Periods appearing within legal citations, specifically in United States Code references where they separate parts of the citation format.",7,pythia-160m-step128,0.998584846,0.999891531,0,0,{'': 50}
2536,"Contracted forms of ""not"" in negative auxiliary verb constructions (didn't, don't, wouldn't, isn't, aren't, couldn't, shouldn't, wasn't).",7,pythia-160m-step128,0.998291618,0.99927115,0,0,{'': 50}
2316,HTML attribute values appearing in class attributes and reference type attributes within web page markup.,7,pythia-160m-step128,0.999900768,0.999938967,0,0,{'': 50}
2702,"The word ""is"" functioning as a copula verb in mathematical word problems asking ""What is"" followed by arithmetic expressions.",7,pythia-160m-step128,0.997062301,0.999769443,0,0,{'': 50}
2103,"Mathematical question words asking ""What is"" or ""Which is"" in problem-solving contexts.",7,pythia-160m-step128,0.999059371,0.999700993,0,0,{'': 50}
1450,URL protocol indicators appearing in web addresses and hyperlinks.,7,pythia-160m-step128,0.999938967,0.999938967,0,0,{'': 50}
2094,"The preposition ""of"" appearing after quantifier phrases (variety of, number of, lots of, etc.) to introduce what is being quantified.",7,pythia-160m-step128,0.976172373,0.986758873,0,0,{'': 50}
664,"Prepositions ""to"" appearing after a space in formal or technical writing contexts.",7,pythia-160m-step128,0.992226801,0.995343543,0,0,{'': 50}
764,"Infinitive marker ""to"" appearing after a space in various sentence contexts",7,pythia-160m-step128,0.977092727,0.979202332,0,0,{'': 50}
451,Function words (prepositions and articles) that are preceded by a space in text formatting.,7,pythia-160m-step128,0.993304973,0.995220429,0,0,{'': 50}
1079,"Words that appear as part of Wikipedia category labels, typically following ""Category:"" in article metadata.",7,pythia-160m-step128,0.999778677,0.999938967,0,0,{'': 50}
1281,"The letter ""x"" appearing in hexadecimal notation contexts within what appears to be code or data structures.",8,pythia-160m-step256,0.918044859,0.920500577,0,0,{'': 50}
1773,Tab characters used for text formatting and layout spacing in various documents or web content.,8,pythia-160m-step256,0.997580478,0.999407643,0,0,{'': 50}
1978,Opening angle brackets used in XML/HTML tag syntax and generic type declarations in programming code.,8,pythia-160m-step256,0.998835848,0.999526546,0,0,{'': 50}
770,Legal citation abbreviations referring to U.S. Circuit Courts of Appeals in various judicial circuits.,8,pythia-160m-step256,0.998773115,0.99930716,0,0,{'': 50}
1412,Tab characters used as formatting separators between text segments in what appears to be parsed or structured document content.,8,pythia-160m-step256,0.999324778,0.999909052,0,0,{'': 50}
1720,"All instances are references to figures in academic or scientific documents, appearing within citation markup syntax.",8,pythia-160m-step256,0.99984392,0.999938967,0,0,{'': 50}
2987,"Asterisks used in multi-line comment formatting in source code, primarily for visual alignment and structure in license headers and documentation blocks.",8,pythia-160m-step256,0.999833969,0.999938967,0,0,{'': 50}
394,"Markdown or XML-style reference syntax elements used in academic documents to link to figures, tables, or supplementary materials.",8,pythia-160m-step256,0.999938967,0.999938967,0,0,{'': 50}
1567,"Geographic location names and abbreviations, primarily referring to cities, states, and counties in the United States.",8,pythia-160m-step256,0.957155748,0.99166059,0,0,{'': 50}
1850,Space characters appearing before @ symbols in citation lists and code comments.,8,pythia-160m-step256,0.999348945,0.999631246,0,0,{'': 50}
312,"Words referring to numerical quantities, data assignments, or measurable amounts in programming and mathematical contexts.",8,pythia-160m-step256,0.993842134,0.999400034,0,0,{'': 50}
1430,"Wikipedia category labels that classify and organize articles by topic, profession, location, or other descriptive attributes.",8,pythia-160m-step256,0.997560274,0.997560274,0,0,{'': 50}
2968,"Mathematical expressions containing polynomial terms with variables raised to powers, appearing in calculus differentiation problems and algebraic manipulation exercises.",8,pythia-160m-step256,0.940963271,0.940963271,0,0,{'': 50}
546,"Numerical components (thousands, millions, dollar signs, commas) that are part of monetary amounts in legal and financial contexts.",9,pythia-160m-step512,0.825283141,0.884950043,0,0,{'': 50}
1519,"All instances show ""as"" functioning as a preposition introducing examples, consistently appearing in the phrase ""such as"" to indicate exemplification.",9,pythia-160m-step512,0.987058041,0.994932097,0,0,{'': 50}
535,Opening curly braces in LaTeX mathematical expressions used for grouping and delimiting mathematical content,9,pythia-160m-step512,0.985962521,0.991352003,0,0,{'': 50}
2288,"Mathematical problem statements that begin with variable definitions using ""Let"" followed by mathematical expressions or equations.",9,pythia-160m-step512,0.895640918,0.934452472,0,0,{'': 50}
322,"Contracted forms of ""is"" used in informal speech and writing.",9,pythia-160m-step512,0.992520902,0.993210023,0,0,{'': 50}
1729,"Academic reference citations using ""B"" or ""b"" identifiers in scholarly publications.",9,pythia-160m-step512,0.999851547,0.999938967,0,0,{'': 50}
1894,C preprocessor #define statements used for creating macro definitions in source code.,9,pythia-160m-step512,0.996167031,0.999690033,0,0,{'': 50}
2161,HTML closing div tags appearing in web markup and code contexts.,9,pythia-160m-step512,0.99957532,0.999843801,0,0,{'': 50}
1262,"Instances of the abbreviation ""e.g."" (exempli gratia, meaning ""for example"") used to introduce examples or illustrations in academic and technical writing.",9,pythia-160m-step512,0.994127022,0.997906964,0,0,{'': 50}
