feature_id,description,acquisition_checkpoint,acquisition_checkpoint_name,final_probability,max_probability,good_count,bad_count,subset_counts
2189,Tab characters used for formatting and indentation in text documents or code.,3,pythia-6_9b-step8,0.999788925,0.999829262,0,0,{'': 50}
2295,All instances represent dialogue formatting where a space appears immediately after closing quotation marks in screenplay or script text.,6,pythia-6_9b-step64,0.963010886,0.997613714,0,0,{'': 50}
447,All instances represent a space character token that appears between quoted dialogue segments in what appears to be a script or transcript.,6,pythia-6_9b-step64,0.911924466,0.993817648,0,0,{'': 50}
283,Quotation marks or similar punctuation that begin direct speech or dialogue in written text.,6,pythia-6_9b-step64,0.969394393,0.99740152,0,0,{'': 50}
846,HTML attribute values for reference links in academic figure citations.,6,pythia-6_9b-step64,0.999938967,1.0,0,0,{'': 50}
1206,"Colons that appear in Wikipedia category markup, serving as separators in the categorization system.",6,pythia-6_9b-step64,0.999938967,0.999938967,0,0,{'': 50}
567,Decimal points appearing in statistical output data with numerical values and column formatting.,6,pythia-6_9b-step64,0.999938967,0.999938967,0,0,{'': 50}
1344,HTML/XML attribute values specifying reference types in academic document markup.,6,pythia-6_9b-step64,0.999938967,1.0,0,0,{'': 50}
1918,"Periods appearing in legal case citations, typically separating case names from volume and page references.",6,pythia-6_9b-step64,0.9999019,0.999932949,0,0,{'': 50}
23,"Contracted form of ""don't"" or similar negative contractions appearing in informal text and dialogue.",6,pythia-6_9b-step64,0.998724422,0.999116606,0,0,{'': 50}
1077,"HTML/XML attribute values in academic document markup, specifically the ""ref-type"" attribute used for cross-referencing figures, tables, and supplementary materials.",6,pythia-6_9b-step64,0.999938967,1.0,0,0,{'': 50}
664,"Instances of the preposition ""to"" appearing after a space in technical and formal writing contexts.",7,pythia-6_9b-step128,0.99555445,0.996033058,0,0,{'': 50}
1446,"The word ""is"" functioning as a copula verb in mathematical word problems asking ""What is"" followed by various mathematical operations including calculations, rounding, and function evaluations.",7,pythia-6_9b-step128,0.999426873,0.999651673,0,0,{'': 50}
2722,"Citation reference markers in academic text, specifically the letter ""B"" appearing in bibliographic citations.",7,pythia-6_9b-step128,0.999938967,0.999938967,0,0,{'': 50}
764,Colons separating Android XML attribute names from their values in layout files.,7,pythia-6_9b-step128,0.999938967,0.999938967,0,0,{'': 50}
864,URL protocol separators appearing in web links and references.,7,pythia-6_9b-step128,0.999938967,0.999938967,0,0,{'': 50}
1108,URL protocol indicators (://) appearing in web addresses and hyperlinks.,7,pythia-6_9b-step128,0.999938967,0.999938967,0,0,{'': 50}
546,Possessive markers appearing after proper nouns and common nouns to indicate ownership or association.,7,pythia-6_9b-step128,0.99968634,0.99978827,0,0,{'': 50}
1722,Opening angle brackets used in XML/HTML markup syntax.,7,pythia-6_9b-step128,0.999938967,0.999938967,0,0,{'': 50}
2702,"Academic citation abbreviation ""et al."" used to indicate additional authors in scholarly references.",7,pythia-6_9b-step128,0.995509084,0.997944485,0,0,{'': 50}
1806,"Periods that appear as part of website URLs in the format ""www.domain.com""",7,pythia-6_9b-step128,0.998594741,0.998630796,0,0,{'': 50}
2316,HTML table cell and paragraph closing tags,7,pythia-6_9b-step128,0.999710942,0.999748532,0,0,{'': 50}
1184,Mathematical symbols and expressions in LaTeX formatting,7,pythia-6_9b-step128,0.998001416,0.998416019,0,0,{'': 50}
414,Whitespace or asterisks appearing between mathematical terms in algebraic expressions and calculus problems,7,pythia-6_9b-step128,0.998208094,0.99864544,0,0,{'': 50}
2132,All instances refer to probability problems involving sampling without replacement from a collection of letters.,8,pythia-6_9b-step256,0.998556911,0.998979539,0,0,{'': 50}
2987,Mathematical probability problems involving sampling without replacement from sets of letters or objects.,8,pythia-6_9b-step256,0.99849992,0.99897127,0,0,{'': 50}
187,"All instances of the word ""picked"" appear in mathematical probability problems involving drawing letters without replacement from sets or strings.",8,pythia-6_9b-step256,0.998565707,0.999420859,0,0,{'': 50}
1489,"All instances show the word ""of"" appearing in mathematical contexts asking for greatest common divisors, highest common factors, or prime factors of numbers or variables.",8,pythia-6_9b-step256,0.999609385,0.999844575,0,0,{'': 50}
1738,"All instances show the preposition ""without"" used to indicate absence, lack, or exclusion in various contexts.",8,pythia-6_9b-step256,0.998831744,0.999513565,0,0,{'': 50}
1740,"Mathematical exponent indicators (specifically the number ""2"") appearing in polynomial expressions and calculus problems.",8,pythia-6_9b-step256,0.627183615,0.679113296,0,0,{'': 50}
