feature_id,description,acquisition_checkpoint,acquisition_checkpoint_name,final_probability,max_probability,good_count,bad_count,subset_counts
2990,"Programming variables and identifiers used in software development, including network communication, data processing, and application state management.",10,pythia-6_9b-step1000,0.876663948,0.876663948,0,0,{'': 50}
678,"Instances of the word ""as"" preceded by a space, functioning as a conjunction, preposition, or part of comparative constructions in various contexts.",11,pythia-6_9b-step10000,0.785750842,0.803451224,0,0,{'': 50}
144,Whitespace sequences (combinations of tabs and spaces) used for code indentation and formatting in programming contexts.,11,pythia-6_9b-step10000,0.781007268,0.781007268,0,0,{'': 50}
752,"Words describing capability, feasibility, or potential that are preceded by a space in the text formatting.",11,pythia-6_9b-step10000,0.712342513,0.713205074,0,0,{'': 50}
2208,"Technical notation, abbreviations, and references used in formal documents including legal sections, scientific formulas, time measurements, and document citations",11,pythia-6_9b-step10000,0.800269881,0.808026348,0,0,{'': 50}
2789,Words related to employment and automotive contexts,12,pythia-6_9b-step70000,0.618379942,0.670530583,0,0,{'': 50}
1765,"Adjectives describing novelty, freshness, or recent creation/acquisition",12,pythia-6_9b-step70000,0.527820803,0.637785634,0,0,{'': 50}
1727,"All instances of the coordinating conjunction ""but"" used to contrast or introduce opposing information in sentences.",12,pythia-6_9b-step70000,0.476230179,0.532415444,0,0,{'': 50}
2684,Words that appear after a space in technical programming and documentation contexts.,12,pythia-6_9b-step70000,0.760026911,0.797754156,0,0,{'': 50}
276,Words that are surnames or last names of people mentioned in various contexts.,12,pythia-6_9b-step70000,0.986291183,0.986291183,0,0,{'': 50}
2713,"Third-person plural pronouns (""they"" and ""their"") that all appear with a space before them in the text.",12,pythia-6_9b-step70000,0.894620749,0.894620749,0,0,{'': 50}
1258,Two-digit numbers functioning as minutes in time expressions and calculations,12,pythia-6_9b-step70000,0.999885632,0.999897252,0,0,{'': 50}
2821,"Common nouns that function as prepositional objects following ""the"" in formal or technical writing contexts.",12,pythia-6_9b-step70000,0.670633044,0.678350541,0,0,{'': 50}
2558,"Programming language literals and data types including boolean values, numeric constants, type keywords, and special values like NULL.",12,pythia-6_9b-step70000,0.762595841,0.762595841,0,0,{'': 50}
899,"Integer data type declarations in programming code, typically appearing at the beginning of variable declarations with specific spacing formatting.",12,pythia-6_9b-step70000,0.751185874,0.751185874,0,0,{'': 50}
2924,Words related to time duration or temporal expressions.,12,pythia-6_9b-step70000,0.553770688,0.587915754,0,0,{'': 50}
2719,Code comment markers indicating the start of single-line comments in programming languages.,12,pythia-6_9b-step70000,0.686934512,0.686934512,0,0,{'': 50}
203,"Past participles and other terms used to introduce or reference visual elements, data, and findings in technical and scientific writing.",13,pythia-6_9b-step100000,0.610743321,0.668807097,0,0,{'': 50}
2297,Single-digit numbers appearing within base64-encoded strings and cryptographic data,13,pythia-6_9b-step100000,0.974572025,0.974572025,0,0,{'': 50}
347,"Programming syntax elements including CSS properties, HTML attributes, XML tags, and code variables",13,pythia-6_9b-step100000,0.903814795,0.903814795,0,0,{'': 50}
1407,Medical terminology and anatomical structures used in clinical and research contexts.,14,pythia-6_9b,0.522802283,0.522802283,0,0,{'': 50}
