feature_id,description,trend,max_jump_value,max_jump_checkpoint,max_jump_checkpoint_name,max_probability,final_probability,good_count,bad_count,subset_counts
1574,"Single-digit numbers (0-9) appearing in statistical or numerical data contexts, typically representing percentages, measurements, or other quantitative values.",increase-stagnate,0.043591773900000005,8,pythia-160m-step256,0.0984175883,0.0933817022,0,0,{'': 50}
2789,"Second-person pronouns (""you"" and ""your"") used to directly address the reader or user in instructional and promotional contexts.",increase-stagnate,0.12063522469999999,8,pythia-160m-step256,0.435585009,0.374062172,0,0,{'': 50}
1727,"First-person plural pronouns (""we"" and ""us"") used as sentence subjects.",increase-decrease,0.0760679205,9,pythia-160m-step512,0.223129659,0.153963635,0,0,{'': 50}
1910,"Forms of the verb ""to be"" in present tense (are, am, 're, re, m) used in conditional and declarative statements.",increase-stagnate,0.111031067,9,pythia-160m-step512,0.363598401,0.363598401,0,0,{'': 50}
564,"All instances show the preposition ""between"" used to express spatial, temporal, or abstract relationships connecting two entities or groups.",increase-stagnate,0.1411682784,9,pythia-160m-step512,0.33970506,0.333498018,0,0,{'': 50}
1358,Words that appear immediately after a space in technical and scientific writing contexts.,increase-stagnate,0.16055483400000004,9,pythia-160m-step512,0.484706707,0.482892469,0,0,{'': 50}
316,"Instances of the relative pronoun ""which"" (and its capitalized form ""Which"") used to introduce relative clauses or questions.",increasing,0.24102490740000002,9,pythia-160m-step512,0.426900646,0.332921638,0,0,{'': 50}
2490,"Instances of the contrastive conjunction ""however"" appearing at the beginning of sentences or clauses to introduce contrasting information.",increase-decrease,0.0281670005,10,pythia-160m-step1000,0.0453372123,0.0298217165,0,0,{'': 50}
583,"All instances are the word ""also"" preceded by a space, functioning as an additive adverb to introduce additional information or examples.",increase-decrease,0.1444767167,10,pythia-160m-step1000,0.19097858,0.142862831,0,0,{'': 50}
510,"Words related to user interface interactions, specifically clicking or selecting elements on web pages or applications.",increase-decrease,0.19838407909999997,10,pythia-160m-step1000,0.261568133,0.163625468,0,0,{'': 50}
1086,Transitional adverbs and conjunctive adverbs used to connect ideas and add information in formal or academic writing.,increase-decrease,0.0028681471599999995,10,pythia-160m-step1000,0.00839583254,0.00569889661,0,0,{'': 50}
930,"All instances show the preposition ""on"" preceded by a space, indicating its consistent grammatical function as a preposition in various contexts.",increase-decrease,0.2678817247,10,pythia-160m-step1000,0.389506678,0.251911316,0,0,{'': 50}
2494,Prepositions and adverbs indicating accompaniment or conjunction,increase-decrease,0.005202162168,10,pythia-160m-step1000,0.00918035725,0.0058925762,0,0,{'': 50}
1598,"Articles and adjectives that precede nouns in contexts describing developments, innovations, or additions",increase-decrease,0.0844841828,10,pythia-160m-step1000,0.161416302,0.120122002,0,0,{'': 50}
2366,"The word ""end"" used as a noun to indicate the conclusion or final point of time periods, events, or durations.",increase-decrease,0.24195295509999998,10,pythia-160m-step1000,0.282001489,0.208002322,0,0,{'': 50}
2719,Present participle verbs functioning as main verbs in progressive/continuous tenses,increase-decrease,0.11322319809999999,10,pythia-160m-step1000,0.189083519,0.137940061,0,0,{'': 50}
841,"Words describing variation, diversity, or differentiation across multiple contexts, entities, or spatial locations",increase-decrease,0.24489539410000002,10,pythia-160m-step1000,0.273529571,0.156627446,0,0,{'': 50}
1798,"All instances show ""order"" used in the prepositional phrase ""in order to"" expressing purpose or intention.",increase-decrease,0.0722585476,10,pythia-160m-step1000,0.111783244,0.0829037898,0,0,{'': 50}
1651,"Words functioning as indefinite determiners or quantifiers, with one instance of ""part"" that refers to a role or involvement rather than quantity",increase-decrease,0.00890920463,10,pythia-160m-step1000,0.021653855,0.0146923929,0,0,{'': 50}
1513,Mathematical addition operators (+) appearing in algebraic expressions and equations.,increase-decrease,0.218259986,10,pythia-160m-step1000,0.459872049,0.332818754,0,0,{'': 50}
2364,"The word ""so"" functioning as an intensifier, conjunction, or adverb in various grammatical contexts.",increase-decrease,0.01218401904,10,pythia-160m-step1000,0.0222119312,0.0144982213,0,0,{'': 50}
1265,"All instances are the noun ""result"" used to describe outcomes, consequences, or products of various processes or actions.",increase-stagnate,0.1314352302,10,pythia-160m-step1000,0.165590417,0.127546739,0,0,{'': 50}
2291,"All instances are the word ""that"" used as a conjunction, pronoun, or determiner in various grammatical contexts.",increase-stagnate,0.31113264640000005,10,pythia-160m-step1000,0.483257866,0.388917025,0,0,{'': 50}
2059,"The pronoun ""it"" appearing at the beginning of clauses or sentences, typically following a comma or period.",increase-stagnate,0.050526847699999995,10,pythia-160m-step1000,0.150330178,0.150330178,0,0,{'': 50}
