feature_id,description,trend,max_probability,max_prob_checkpoint,max_prob_checkpoint_name,max_jump_value,final_probability,good_count,bad_count,subset_counts
600,"Auxiliary verbs ""have"" and ""has"" used in various grammatical constructions including perfect tenses, modal auxiliaries, and conditional statements.",increase-stagnate,0.493521683,12,pythia-160m-step70000,0.321446503,0.463407278,0,0,{'': 50}
1358,Words that appear immediately after a space in technical and scientific writing contexts.,increase-stagnate,0.484706707,13,pythia-160m-step100000,0.16055483400000004,0.482892469,0,0,{'': 50}
2291,"All instances are the word ""that"" used as a conjunction, pronoun, or determiner in various grammatical contexts.",increase-stagnate,0.483257866,12,pythia-160m-step70000,0.31113264640000005,0.388917025,0,0,{'': 50}
1276,"All instances are the word ""need"" (or its plural ""needs"") used as a noun referring to a requirement or necessity in various contexts.",increasing,0.48009841,12,pythia-160m-step70000,0.21696076279999998,0.451339614,0,0,{'': 50}
1892,"All instances of ""one"" used as a determiner or number word, typically in phrases like ""at least one"" or ""nearest one [unit]"".",increasing,0.474328156,14,pythia-160m,0.217909378,0.474328156,0,0,{'': 50}
1513,Mathematical addition operators (+) appearing in algebraic expressions and equations.,increase-decrease,0.459872049,12,pythia-160m-step70000,0.218259986,0.332818754,0,0,{'': 50}
1741,"All instances are the indefinite article ""a"" preceded by a space in various sentence contexts.",increase-stagnate,0.446891993,13,pythia-160m-step100000,0.20460548899999997,0.426659695,0,0,{'': 50}
445,"Ordinal numbers and position indicators (first, 1) used to denote sequence, order, or enumeration in technical and academic contexts.",increase-stagnate,0.438707473,12,pythia-160m-step70000,0.21976010999999998,0.370714249,0,0,{'': 50}
2789,"Second-person pronouns (""you"" and ""your"") used to directly address the reader or user in instructional and promotional contexts.",increase-stagnate,0.435585009,12,pythia-160m-step70000,0.12063522469999999,0.374062172,0,0,{'': 50}
316,"Instances of the relative pronoun ""which"" (and its capitalized form ""Which"") used to introduce relative clauses or questions.",increasing,0.426900646,12,pythia-160m-step70000,0.24102490740000002,0.332921638,0,0,{'': 50}
97,"Prepositions that introduce phrases indicating conformity, compliance, or relational positioning in formal or technical writing.",increasing,0.41103075,12,pythia-160m-step70000,0.2631642621,0.316978956,0,0,{'': 50}
1407,Last names or surnames of people mentioned in various contexts.,increasing,0.392881954,12,pythia-160m-step70000,0.275501382321,0.342440198,0,0,{'': 50}
930,"All instances show the preposition ""on"" preceded by a space, indicating its consistent grammatical function as a preposition in various contexts.",increase-decrease,0.389506678,12,pythia-160m-step70000,0.2678817247,0.251911316,0,0,{'': 50}
1221,"Nouns referring to methods, approaches, spatial locations, or procedural contexts in technical and formal discourse",increase-stagnate,0.388548569,12,pythia-160m-step70000,0.3177670615,0.364047057,0,0,{'': 50}
2755,The digit zero appearing in negative decimal numbers within mathematical contexts,increase-stagnate,0.368837275,14,pythia-160m,0.131651711,0.368837275,0,0,{'': 50}
