feature_id,description,max_probability,max_prob_checkpoint,max_prob_checkpoint_name,max_jump_value,final_probability,good_count,bad_count,subset_counts
1276,"All instances are the word ""need"" (or its plural ""needs"") used as a noun referring to a requirement or necessity in various contexts.",0.48009841,12,pythia-160m-step70000,0.21696076279999998,0.451339614,0,0,{'': 50}
1892,"All instances of ""one"" used as a determiner or number word, typically in phrases like ""at least one"" or ""nearest one [unit]"".",0.474328156,14,pythia-160m,0.217909378,0.474328156,0,0,{'': 50}
316,"Instances of the relative pronoun ""which"" (and its capitalized form ""Which"") used to introduce relative clauses or questions.",0.426900646,12,pythia-160m-step70000,0.24102490740000002,0.332921638,0,0,{'': 50}
97,"Prepositions that introduce phrases indicating conformity, compliance, or relational positioning in formal or technical writing.",0.41103075,12,pythia-160m-step70000,0.2631642621,0.316978956,0,0,{'': 50}
1407,Last names or surnames of people mentioned in various contexts.,0.392881954,12,pythia-160m-step70000,0.275501382321,0.342440198,0,0,{'': 50}
65,"Legal terminology referring to parties in court proceedings, with some non-legal terms included",0.325404551,14,pythia-160m,0.15514566519999998,0.325404551,0,0,{'': 50}
208,"Instances of the modal verb ""can"" expressing ability, possibility, or permission in various contexts.",0.31883717,14,pythia-160m,0.113533226,0.31883717,0,0,{'': 50}
686,"Technical terms describing problems, malfunctions, or issues in systems and software.",0.303553849,14,pythia-160m,0.14497368953,0.303553849,0,0,{'': 50}
2412,Research and legal terminology with broader professional contexts,0.251987654,14,pythia-160m,0.150002973,0.251987654,0,0,{'': 50}
1905,"Forms of the verb ""have"" (including ""have,"" ""has,"" ""had,"" and ""having"") used as auxiliary or main verbs to express possession, experience, or obligation.",0.240450415,14,pythia-160m,0.082357615,0.240450415,0,0,{'': 50}
2377,"All instances are the noun ""people"" (and one ""person"") used as a general term referring to groups of individuals in various contexts.",0.181788104,14,pythia-160m,0.0720797823,0.181788104,0,0,{'': 50}
419,"Verb forms of ""use"" and ""used"" indicating utilization or employment of something.",0.141424643,13,pythia-160m-step100000,0.05705983640000001,0.130580229,0,0,{'': 50}
433,"French function words (articles, pronouns, conjunctions) preceded by a space token",0.116508063,13,pythia-160m-step100000,0.0447648681,0.109530165,0,0,{'': 50}
2461,"All instances use ""portion"" as a noun referring to a part or section of something larger.",0.0164719163,12,pythia-160m-step70000,0.010144080040000001,0.0136950841,0,0,{'': 50}
