feature_id,description,max_probability,max_prob_checkpoint,max_prob_checkpoint_name,max_jump_value,final_probability,good_count,bad_count,subset_counts
365,Third-person singular feminine pronouns (she/her) used as subjects and objects in sentences.,0.49063428,12,pythia-6_9b-step70000,0.169211711,0.377697131,0,0,{'': 50}
1721,"Nouns referring to specific roles or parties in legal, business, and formal contractual relationships",0.470430523,14,pythia-6_9b,0.2325211943,0.470430523,0,0,{'': 50}
1901,"Programming and web development terminology including technical concepts like classes, events, declarations, and code elements.",0.463738883,13,pythia-6_9b-step100000,0.26005779164,0.387643069,0,0,{'': 50}
2700,"Common verbs that frequently appear in instructional, advisory, or explanatory contexts.",0.455957446,14,pythia-6_9b,0.19897374810000001,0.455957446,0,0,{'': 50}
873,"Mixed descriptive words including positive adjectives, neutral descriptors, and unrelated terms",0.45492925,14,pythia-6_9b,0.15898371985999998,0.45492925,0,0,{'': 50}
1074,"Past participles in various grammatical constructions including present perfect, passive voice, and participial phrases.",0.44287191,14,pythia-6_9b,0.26870722059999996,0.44287191,0,0,{'': 50}
197,"Programming-related verbs meaning ""to retrieve"" or ""to obtain"" data, values, or objects in software development contexts.",0.428586656,12,pythia-6_9b-step70000,0.1806674714,0.408182973,0,0,{'': 50}
2784,"Instances of modal constructions with ""have to"" and ""having to"" expressing necessity or obligation, including both positive requirements and negative lack of obligation.",0.427524349,13,pythia-6_9b-step100000,0.20317678169999998,0.386099576,0,0,{'': 50}
2555,Present participle verbs functioning as main verbs in various grammatical constructions,0.423608169,14,pythia-6_9b,0.262630894,0.423608169,0,0,{'': 50}
2853,"Words indicating small quantities, degrees, or amounts.",0.39512884,14,pythia-6_9b,0.2048705959,0.39512884,0,0,{'': 50}
2377,Pronouns and nouns referring to people or groups of people.,0.371130896,13,pythia-6_9b-step100000,0.1759064484,0.364765086,0,0,{'': 50}
22,"Modal verbs and nouns expressing necessity, opportunity, or requirement in instructional and procedural contexts.",0.34953564,14,pythia-6_9b,0.2100910143,0.34953564,0,0,{'': 50}
34,Words that introduce examples or specific instances to illustrate or clarify a general statement.,0.336575406,13,pythia-6_9b-step100000,0.19726650610000002,0.31169868,0,0,{'': 50}
1297,Ordinal adjectives indicating temporal sequence or position in a series.,0.295458085,14,pythia-6_9b,0.1159413536,0.295458085,0,0,{'': 50}
309,"Words that are conditional conjunctions (both ""if"" and ""If"") used to introduce hypothetical or conditional clauses in sentences.",0.290315236,12,pythia-6_9b-step70000,0.14212684509999998,0.266953635,0,0,{'': 50}
602,Comparative adjectives used in quantitative comparisons or degree expressions.,0.285020193,13,pythia-6_9b-step100000,0.14855195000000002,0.237635241,0,0,{'': 50}
75,"Prepositional phrases using ""according to"" to indicate attribution, reference, or compliance with inventions, technologies, methods, or sources",0.271782356,13,pythia-6_9b-step100000,0.164280647,0.253216995,0,0,{'': 50}
623,"First-person cognitive verbs expressing thinking, knowing, or uncertainty in conversational contexts.",0.256052824,12,pythia-6_9b-step70000,0.114753888,0.252694498,0,0,{'': 50}
2228,Possessive pronouns and determiners indicating ownership or relationship.,0.227793711,14,pythia-6_9b,0.07451266350000002,0.227793711,0,0,{'': 50}
794,"Words referring to alternative or additional entities, people, or things beyond those already mentioned.",0.22751554,14,pythia-6_9b,0.1119296068,0.22751554,0,0,{'': 50}
781,"Numbers (7 or 8) that appear after spaces in mathematical expressions, statistical data, and technical text.",0.108958207,12,pythia-6_9b-step70000,0.0477233158,0.108129372,0,0,{'': 50}
1965,Pronouns appearing after spaces that serve as anaphoric references to previously mentioned entities or concepts,0.0939815488,14,pythia-6_9b,0.0530016119,0.0939815488,0,0,{'': 50}
2057,"Verbs indicating causation or consequence, describing how one action or condition produces or brings about another outcome.",0.0644362818,12,pythia-6_9b-step70000,0.05725012298,0.0526410921,0,0,{'': 50}
170,"Incomplete contractions where ""don't"", ""doesn't"", and ""didn't"" are split across formatting boundaries",0.0612080768,14,pythia-6_9b,0.031720240299999994,0.0612080768,0,0,{'': 50}
2829,"Words related to requesting, inquiring, or seeking information from someone.",0.0465961683,13,pythia-6_9b-step100000,0.019942874739999998,0.0392357495,0,0,{'': 50}
1086,Discourse markers or transitional words used to connect ideas and indicate logical relationships between sentences or clauses.,0.0159678551,13,pythia-6_9b-step100000,0.006108989929999999,0.0154437092,0,0,{'': 50}
1800,Numeric coefficients or values appearing in mathematical expressions and formulas.,0.00771232856,14,pythia-6_9b,0.002371616,0.00771232856,0,0,{'': 50}
