feature_group_id,representative_feature_id,description,n_members,acq_checkpoint,final_prob,trend,all_feature_ids
1,172,Tab characters used for code indentation and formatting in programming contexts.,1,6,0.952534751,increase-stagnate,172
2,1761,Tab characters used for code indentation in programming contexts.,1,6,0.968902533,increase-stagnate,1761
3,1620,Dialogue formatting markers indicating the start of speech or quotations in conversational text.,1,6,0.972798665,increase-stagnate,1620
4,254,Tab characters serving as delimiters or separators between mathematical questions about prime and composite numbers.,1,7,0.99931585,increase-stagnate,254
5,703,Decimal points in statistical p-values from scientific research papers.,1,7,0.998433723,increase-stagnate,703
6,2259,HTML/XML opening angle brackets appearing in code documentation or web markup contexts.,1,7,0.784783683,increase-stagnate,2259
7,923,Periods appearing within academic citation references in scholarly text.,1,7,0.999917931,increase-stagnate,923
8,1909,HTML attribute values for reference type specifications in academic document markup.,1,7,0.999932592,increase-stagnate,1909
9,1212,"Colons that appear after ""Category"" in what appears to be Wikipedia category markup syntax.",1,7,0.999938014,increase-stagnate,1212
10,2764,"Periods appearing within legal citations, specifically in United States Code references where they separate parts of the citation format.",1,7,0.998584846,increase-stagnate,2764
11,2536,"Contracted forms of ""not"" in negative auxiliary verb constructions (didn't, don't, wouldn't, isn't, aren't, couldn't, shouldn't, wasn't).",1,7,0.998291618,increase-stagnate,2536
12,2316,HTML attribute values appearing in class attributes and reference type attributes within web page markup.,1,7,0.999900768,increase-stagnate,2316
13,2702,"The word ""is"" functioning as a copula verb in mathematical word problems asking ""What is"" followed by arithmetic expressions.",1,7,0.997062301,increase-stagnate,2702
14,2103,"Mathematical question words asking ""What is"" or ""Which is"" in problem-solving contexts.",1,7,0.999059371,increase-stagnate,2103
15,1450,URL protocol indicators appearing in web addresses and hyperlinks.,1,7,0.999938967,increase-stagnate,1450
16,2094,"The preposition ""of"" appearing after quantifier phrases (variety of, number of, lots of, etc.) to introduce what is being quantified.",1,7,0.976172373,increase-stagnate,2094
17,664,"Prepositions ""to"" appearing after a space in formal or technical writing contexts.",1,7,0.992226801,increase-stagnate,664
18,764,"Infinitive marker ""to"" appearing after a space in various sentence contexts",1,7,0.977092727,increase-stagnate,764
19,451,Function words (prepositions and articles) that are preceded by a space in text formatting.,1,7,0.993304973,increase-stagnate,451
20,1079,"Words that appear as part of Wikipedia category labels, typically following ""Category:"" in article metadata.",1,7,0.999778677,increase-stagnate,1079
21,1281,"The letter ""x"" appearing in hexadecimal notation contexts within what appears to be code or data structures.",1,8,0.918044859,increase-stagnate,1281
22,1773,Tab characters used for text formatting and layout spacing in various documents or web content.,1,8,0.997580478,increase-stagnate,1773
23,1978,Opening angle brackets used in XML/HTML tag syntax and generic type declarations in programming code.,1,8,0.998835848,increase-stagnate,1978
24,770,Legal citation abbreviations referring to U.S. Circuit Courts of Appeals in various judicial circuits.,1,8,0.998773115,increase-stagnate,770
25,1412,Tab characters used as formatting separators between text segments in what appears to be parsed or structured document content.,1,8,0.999324778,increase-stagnate,1412
26,1720,"All instances are references to figures in academic or scientific documents, appearing within citation markup syntax.",1,8,0.99984392,increase-stagnate,1720
27,2987,"Asterisks used in multi-line comment formatting in source code, primarily for visual alignment and structure in license headers and documentation blocks.",1,8,0.999833969,increase-stagnate,2987
28,394,"Markdown or XML-style reference syntax elements used in academic documents to link to figures, tables, or supplementary materials.",1,8,0.999938967,increase-stagnate,394
29,1567,"Geographic location names and abbreviations, primarily referring to cities, states, and counties in the United States.",1,8,0.957155748,increase-stagnate,1567
30,1850,Space characters appearing before @ symbols in citation lists and code comments.,1,8,0.999348945,increase-stagnate,1850
31,312,"Words referring to numerical quantities, data assignments, or measurable amounts in programming and mathematical contexts.",1,8,0.993842134,increase-stagnate,312
32,1430,"Wikipedia category labels that classify and organize articles by topic, profession, location, or other descriptive attributes.",1,8,0.997560274,increase-stagnate,1430
33,2968,"Mathematical expressions containing polynomial terms with variables raised to powers, appearing in calculus differentiation problems and algebraic manipulation exercises.",1,8,0.940963271,increase-stagnate,2968
34,546,"Numerical components (thousands, millions, dollar signs, commas) that are part of monetary amounts in legal and financial contexts.",1,9,0.825283141,increase-stagnate,546
35,1519,"All instances show ""as"" functioning as a preposition introducing examples, consistently appearing in the phrase ""such as"" to indicate exemplification.",1,9,0.987058041,increase-stagnate,1519
36,535,Opening curly braces in LaTeX mathematical expressions used for grouping and delimiting mathematical content,1,9,0.985962521,increase-stagnate,535
37,2288,"Mathematical problem statements that begin with variable definitions using ""Let"" followed by mathematical expressions or equations.",1,9,0.895640918,increase-stagnate,2288
38,322,"Contracted forms of ""is"" used in informal speech and writing.",1,9,0.992520902,increase-stagnate,322
39,1729,"Academic reference citations using ""B"" or ""b"" identifiers in scholarly publications.",1,9,0.999851547,increase-stagnate,1729
40,1894,C preprocessor #define statements used for creating macro definitions in source code.,1,9,0.996167031,increase-stagnate,1894
41,2161,HTML closing div tags appearing in web markup and code contexts.,1,9,0.99957532,increase-stagnate,2161
42,1262,"Instances of the abbreviation ""e.g."" (exempli gratia, meaning ""for example"") used to introduce examples or illustrations in academic and technical writing.",1,9,0.994127022,increase-stagnate,1262
43,1833,"Abbreviations for time periods (a.m., p.m.) and Latin phrases (i.e.)",1,9,0.99771661,increase-stagnate,1833
44,2853,"The letter ""B"" or ""b"" used as labels, identifiers, or reference markers in academic and technical contexts.",1,9,0.999788627,increase-stagnate,2853
45,293,C preprocessor directive symbols (#define and #include statements) used in source code.,1,9,0.763816016,increase-stagnate,293
46,2245,Javadoc comment beginnings that start method or class documentation sections in code.,1,9,0.996446512,increase-stagnate,2245
47,2705,"Underscores appearing in programming code contexts, likely representing placeholders, separators, or parts of variable/function names in various programming languages.",1,9,0.998469434,increase-stagnate,2705
48,101,"Variables (q and h) in polynomial mathematical expressions, typically appearing as coefficients or in exponential terms.",1,9,0.999621177,increase-stagnate,101
49,1660,"Periods used as abbreviation markers in formal names, titles, and geographic designations.",1,9,0.964876793,increase-stagnate,1660
50,2682,"Abbreviations for ""United States"" appearing in formal legal, governmental, and official contexts.",1,9,0.995381022,increase-stagnate,2682
51,2209,Opening curly braces that begin code blocks in various programming languages.,1,9,0.986701878,increase-stagnate,2209
52,712,Mathematical contexts involving greatest common factors and least common multiples in algebra problems.,1,9,0.996326081,increase-stagnate,712
53,2563,"All instances refer to ""court"" as a legal institution or judicial body in legal proceedings.",1,9,0.979072767,increase-stagnate,2563
54,2400,Question marks appearing at the end of mathematical comparison questions or problems.,1,9,0.999690271,increase-stagnate,2400
55,2732,"All instances show the word ""said"" used as a speech attribution verb following quoted dialogue in journalistic or narrative text.",1,9,0.900185646,increase-stagnate,2732
56,292,Numbers appearing as arguments or parameters in mathematical function calls or variable assignments.,1,9,0.995919878,increase-stagnate,292
57,2800,File extensions for C/C++ header files in #include statements.,1,9,0.994546517,increase-stagnate,2800
58,2619,Code indentation patterns using tabs followed by multiple spaces to align nested programming constructs.,1,9,0.988763581,increase-stagnate,2619
59,592,"The word ""Is"" functioning as the opening verb in mathematical questions about whether numbers are prime or composite.",1,9,0.999435565,increase-stagnate,592
60,1489,"Equals signs used as assignment and comparison operators in programming contexts, including URL parameters, configuration settings, and data binding expressions.",1,10,0.983522157,increase-stagnate,1489
61,2403,Variable names and abbreviations in programming and academic contexts,1,10,0.894820811,increase-stagnate,2403
62,2304,"Technical terms referring to specific components, locations, or entities in electronic, computing, and engineering contexts.",1,10,0.853142914,increase-stagnate,2304
63,1818,Spaces that appear before single quote marks in code or configuration contexts.,1,10,0.737948428,increase-stagnate,1818
64,1275,"Academic citation markers indicating references to figures, tables, or bibliography items in scholarly publications.",1,10,0.88105581,increase-stagnate,1275
65,278,"The number 17 appearing in various contexts including academic citations, percentages, ages, and publication identifiers",1,10,0.998970438,increase-stagnate,278
66,2200,"All instances are the definite article ""the"" preceded by a space, functioning as a determiner before noun phrases.",1,10,0.732116664,increase-stagnate,2200
67,2990,Bibliography reference codes in academic citation format.,1,10,0.999938967,increase-stagnate,2990
68,917,Electrical measurements and chemical substances in technical and scientific contexts,1,10,0.864027728,increase-stagnate,917
69,1703,"All instances are the word ""years"" used as a unit of time measurement in various contexts describing duration, age, or time periods.",1,10,0.876909415,increase-stagnate,1703
70,2713,"Words that are part of formal organizational names, web domains, and institutional references.",1,10,0.984329167,increase-stagnate,2713
71,796,"The word ""or"" functioning as a conjunction in mathematical comparison questions asking which value is greater, smaller, or bigger.",1,10,0.998623065,increase-stagnate,796
72,2450,"Units of measurement (milligrams and milliliters) used in scientific and medical contexts to express concentrations, dosages, and quantities.",1,10,0.961106636,increase-stagnate,2450
73,745,"Hyphens used as parts of compound adjectives or technical terms, typically connecting numerical or descriptive elements to dimensional, technical, or qualitative descriptors.",1,10,0.808565296,increase-stagnate,745
74,1467,Words used in phrases indicating minimum thresholds or requirements <SEP> Words used in comparative mathematical expressions,1,10,0.98982466,increase-stagnate,1467
75,2458,LaTeX equation labels and HTML attributes for document structure and referencing,1,10,0.886717516,increase-stagnate,2458
76,1570,"The preposition ""of"" used to indicate possession, relationship, or association between nouns in various contexts.",1,10,0.97771114,increase-stagnate,1570
77,2268,All instances refer to the hash symbol (#) used in Ruby test descriptions for the String encode and encode! methods.,1,10,0.996458896,increase-stagnate,2268
