feature_group_id,representative_feature_id,description,n_members,acq_checkpoint,final_prob,trend,all_feature_ids
1,2189,Tab characters used for formatting and indentation in text documents or code.,1,3,0.999788925,increase-stagnate,2189
2,2295,All instances represent dialogue formatting where a space appears immediately after closing quotation marks in screenplay or script text.,1,6,0.963010886,increase-stagnate,2295
3,447,All instances represent a space character token that appears between quoted dialogue segments in what appears to be a script or transcript.,1,6,0.911924466,increase-stagnate,447
4,283,Quotation marks or similar punctuation that begin direct speech or dialogue in written text.,1,6,0.969394393,increase-stagnate,283
5,846,HTML attribute values for reference links in academic figure citations.,1,6,0.999938967,increase-stagnate,846
6,1206,"Colons that appear in Wikipedia category markup, serving as separators in the categorization system.",1,6,0.999938967,increase-stagnate,1206
7,567,Decimal points appearing in statistical output data with numerical values and column formatting.,1,6,0.999938967,increase-stagnate,567
8,1344,HTML/XML attribute values specifying reference types in academic document markup.,1,6,0.999938967,increase-stagnate,1344
9,1918,"Periods appearing in legal case citations, typically separating case names from volume and page references.",1,6,0.9999019,increase-stagnate,1918
10,23,"Contracted form of ""don't"" or similar negative contractions appearing in informal text and dialogue.",1,6,0.998724422,increase-stagnate,23
11,1077,"HTML/XML attribute values in academic document markup, specifically the ""ref-type"" attribute used for cross-referencing figures, tables, and supplementary materials.",1,6,0.999938967,increase-stagnate,1077
12,664,"Instances of the preposition ""to"" appearing after a space in technical and formal writing contexts.",1,7,0.99555445,increase-stagnate,664
13,1446,"The word ""is"" functioning as a copula verb in mathematical word problems asking ""What is"" followed by various mathematical operations including calculations, rounding, and function evaluations.",1,7,0.999426873,increase-stagnate,1446
14,2722,"Citation reference markers in academic text, specifically the letter ""B"" appearing in bibliographic citations.",1,7,0.999938967,increase-stagnate,2722
15,764,Colons separating Android XML attribute names from their values in layout files.,1,7,0.999938967,increase-stagnate,764
16,864,URL protocol separators appearing in web links and references.,1,7,0.999938967,increase-stagnate,864
17,1108,URL protocol indicators (://) appearing in web addresses and hyperlinks.,1,7,0.999938967,increase-stagnate,1108
18,546,Possessive markers appearing after proper nouns and common nouns to indicate ownership or association.,1,7,0.99968634,increase-stagnate,546
19,1722,Opening angle brackets used in XML/HTML markup syntax.,1,7,0.999938967,increase-stagnate,1722
20,2702,"Academic citation abbreviation ""et al."" used to indicate additional authors in scholarly references.",1,7,0.995509084,increase-stagnate,2702
21,1806,"Periods that appear as part of website URLs in the format ""www.domain.com""",1,7,0.998594741,increase-stagnate,1806
22,2316,HTML table cell and paragraph closing tags,1,7,0.999710942,increase-stagnate,2316
23,1184,Mathematical symbols and expressions in LaTeX formatting,1,7,0.998001416,increase-stagnate,1184
24,2132,All instances refer to probability problems involving sampling without replacement from a collection of letters.,2,8,0.998556911,increase-stagnate,"2132,2987"
25,187,"All instances of the word ""picked"" appear in mathematical probability problems involving drawing letters without replacement from sets or strings.",1,8,0.998565707,increase-stagnate,187
26,1489,"All instances show the word ""of"" appearing in mathematical contexts asking for greatest common divisors, highest common factors, or prime factors of numbers or variables.",1,8,0.999609385,increase-stagnate,1489
27,1738,"All instances show the preposition ""without"" used to indicate absence, lack, or exclusion in various contexts.",1,8,0.998831744,increase-stagnate,1738
28,1740,"Mathematical exponent indicators (specifically the number ""2"") appearing in polynomial expressions and calculus problems.",1,8,0.627183615,increase-stagnate,1740
29,1978,"Citation reference markers in academic text, specifically indicating bibliographic references numbered in square brackets.",1,8,0.999938967,increase-stagnate,1978
30,535,Single letters (B/b) used as reference markers or labels in academic and scientific texts.,1,8,0.999938967,increase-stagnate,535
31,770,Punctuation sequences (period followed by comma) appearing in academic citations and references within scientific text.,1,8,0.999522081,increase-stagnate,770
32,1752,"Wikipedia category labels that classify articles by topic, profession, location, or other descriptive attributes.",1,8,0.999004343,increase-stagnate,1752
33,445,"Mathematical problem statements that begin with ""Let"" followed by variable definitions or function declarations.",1,8,0.935331972,increase-stagnate,445
34,1850,"The word ""value"" or ""values"" appearing in mathematical comparison problems that ask to rank or identify specific numerical quantities",1,8,0.999112024,increase-stagnate,1850
35,88,C preprocessor #define statements in header files defining hardware register constants and macros.,1,8,0.968713676,increase-stagnate,88
36,1262,"Abbreviations used to introduce examples or clarifications in academic and technical writing (e.g. for ""exempli gratia"" meaning ""for example"" and i.e. for ""id est"" meaning ""that is"").",1,9,0.997529845,increase-stagnate,1262
37,2286,"All instances show the word ""as"" functioning as a conjunction in comparative or additive constructions, typically in phrases like ""as well as"" or ""such as"" that introduce additional examples or elements.",1,9,0.991863835,increase-stagnate,2286
38,1653,"The word ""Is"" appearing at the beginning of mathematical questions asking about numerical properties, comparisons, or classifications.",1,9,0.678874794,increase-stagnate,1653
39,583,Colons used as separators in time expressions (hours and minutes).,1,9,0.999938967,increase-stagnate,583
40,1153,"Abbreviations for ""United States"" appearing in formal or official contexts.",1,9,0.998566067,increase-stagnate,1153
41,2523,"Reference markers for figures and sections in academic documents, typically used in citation and cross-referencing systems.",1,9,0.999938967,increase-stagnate,2523
42,923,Spaces that appear before the @ symbol in academic citation lists and code documentation comments.,1,9,0.999938967,increase-stagnate,923
43,1792,"Mathematical expressions containing function evaluations with negative integer arguments, appearing as fragments from algebraic problem solving contexts.",1,9,0.999657629,increase-stagnate,1792
44,116,"Contracted forms of ""is"" and ""are"" in informal English text.",1,9,0.993939113,increase-stagnate,116
45,821,"Asterisks appearing in code comment formatting, specifically as part of multi-line comment syntax in various programming languages.",1,9,0.998927079,increase-stagnate,821
46,458,Variables in algebraic expressions and equations.,1,9,0.999838915,increase-stagnate,458
47,224,JSON property names or keys in structured data formats.,1,9,0.999217944,increase-stagnate,224
48,356,Mathematical multiplication operators appearing in algebraic expressions and equations.,1,9,0.999585923,increase-stagnate,356
49,454,Adjectives used in mathematical comparison questions to find the value most similar to a given target number.,1,9,0.497517015,increase-stagnate,454
50,2125,XML self-closing tag syntax markers appearing in configuration or project files.,1,9,0.999938967,increase-stagnate,2125
51,1519,"Top-level domain suffix "".com"" appearing in website URLs and domain names.",1,9,0.987344204,increase-stagnate,1519
52,2511,"JSON/data structure field names or properties appearing in configuration files, APIs, or structured data formats.",1,9,0.999938967,increase-stagnate,2511
53,2800,"Colons appearing in code documentation and comment blocks, typically marking the end of labels or separating documentation sections.",1,9,0.9992874,increase-stagnate,2800
54,1235,HTML closing tags and bracket symbols appearing at the end of XML/HTML elements or code blocks.,1,9,0.999076922,increase-stagnate,1235
55,2491,Legal references to trial courts and appellate courts in judicial proceedings and case law.,1,9,0.985099576,increase-stagnate,2491
56,592,LaTeX fraction commands (\frac) used in mathematical expressions and equations.,1,9,0.775928173,increase-stagnate,592
57,1855,"Words appearing as question starters in mathematical problem contexts, specifically the word ""What"" beginning mathematical questions.",1,10,0.405188805,increase-stagnate,1855
58,942,"Spaces that appear before ""p"" in time notations, specifically in sports schedule listings where ""p"" indicates ""p.m.""",1,10,0.854656124,increase-stagnate,942
59,2788,HTML shape attributes and table cell tags used in web markup and image maps.,1,10,0.99993861,increase-stagnate,2788
60,2876,HTML closing div tags appearing in code or markup contexts.,1,10,0.999916322,increase-stagnate,2876
61,2726,File extensions for HTML documents appearing in documentation links and file references.,1,10,0.999938967,increase-stagnate,2726
62,2648,"LaTeX commands, markup syntax elements, and HTML/XML tags used in mathematical, document, and web formatting.",1,10,0.989080236,increase-stagnate,2648
63,1693,Words used in mathematical comparison questions asking which value is closest or nearest to a target number.,1,10,0.503190355,increase-stagnate,1693
64,411,"Words appearing after ""No"" in formal document references, citations, and numbering systems.",1,10,0.963458494,increase-stagnate,411
65,1773,"Technical documentation references to data type specifications in code, configuration files, and API documentation.",1,10,0.967916806,increase-stagnate,1773
66,2794,"Function calls and constructor invocations with string literals as arguments, followed by closing parentheses and semicolons",1,10,0.973198834,increase-stagnate,2794
67,2101,"Numbers appearing in legal citations, footnote references, and academic text formatting within formal documents.",1,10,0.99962898,increase-stagnate,2101
68,1660,Periods marking the end of sentences in journalistic or news article contexts.,1,10,0.753678729,increase-stagnate,1660
69,1944,"Commas followed by closing parentheses and asterisks, typically appearing in lists or technical documentation with abbreviated terms.",1,10,0.730264872,increase-stagnate,1944
70,542,Mathematical expressions and calculations involving the decimal number zero or values with leading zeros,1,10,0.9511681,increase-stagnate,542
71,780,Hyphens used as part of compound adjectives or technical terms that modify nouns.,1,10,0.931602065,increase-stagnate,780
72,829,Contextual reference terms used to indicate specific instances or subjects being discussed,1,10,0.677199552,increase-stagnate,829
73,2906,"Contractions of common English verbs (are, is, am, have) with pronouns or other words.",1,10,0.517669171,increase-stagnate,2906
74,1448,References to the United States Code (U.S.C.) in legal citations.,1,10,0.999174086,increase-stagnate,1448
75,335,Numbers appearing in academic citation reference codes within scholarly text.,1,10,0.999938967,increase-stagnate,335
76,1237,LaTeX mathematical notation and symbols used in scientific equations and expressions,1,10,0.998937744,increase-stagnate,1237
77,1467,"Technical phrase ""at least"" used in patent or scientific documentation to specify minimum quantities or requirements.",1,10,0.998665094,increase-stagnate,1467
78,1433,Closing curly braces marking the end of code blocks in various programming languages.,1,10,0.999540838,increase-stagnate,1433
79,1629,Variable names and function references in mixed mathematical and programming contexts,1,10,0.984296722,increase-stagnate,1629
80,2209,Closing braces followed by spaces that mark the end of code blocks in various programming languages.,1,10,0.99275787,increase-stagnate,2209
81,396,"All instances represent the abbreviation ""et"" (meaning ""and"") in academic citations following the ""Author et al."" format used in scholarly literature.",1,10,0.689468313,increase-stagnate,396
82,564,"LaTeX backslash command markers appearing in various document contexts including code snippets, mathematical expressions, and programming output",1,10,0.95755061,increase-stagnate,564
83,533,"Instances of the letter ""n"" appearing in various contexts including mathematical notation, programming code, and formatting markers",1,10,0.999595817,increase-stagnate,533
84,2766,Mathematical comparison questions asking which value is greater or smaller between two options.,1,10,0.999224668,increase-stagnate,2766
85,1532,Whitespace tokens or spacing elements that appear to be part of code formatting or structure in programming contexts.,1,10,0.9922555,increase-stagnate,1532
86,2308,Code formatting patterns representing closing braces followed by spaces that precede new code blocks or method declarations.,1,10,0.976930807,increase-stagnate,2308
87,2645,"Opening square brackets used in academic citations, code syntax, and reference formatting.",1,10,0.99771247,increase-stagnate,2645
88,2851,"Opening parentheses in function calls, method invocations, and parameter lists across various programming languages.",1,10,0.984707871,increase-stagnate,2851
89,1265,"Opening quotes or brackets that begin string literals, array access expressions, or other quoted/bracketed constructs in programming code.",1,10,0.980757126,increase-stagnate,1265
