feature_group_id,representative_feature_id,description,n_members,acq_checkpoint,final_prob,trend,all_feature_ids
1,853,Tab characters used as formatting delimiters in structured text or data tables.,1,8,0.67555031,increasing,853
2,2177,"Biochemical and molecular biology terms referring to proteins, receptors, enzymes, and other biological molecules.",1,11,0.30543836,increasing,2177
3,1915,Numbered list items or section references preceded by spaces in formatted text documents.,1,11,0.726453155,increasing,1915
4,773,Numbers that appear to be footnote or citation references in legal documents.,1,11,0.996124092,increasing,773
5,1074,"Words related to size, quantity, degree, and repetition/frequency",1,11,0.375428467,increasing,1074
6,1629,Variables used in mathematical expressions and equations.,1,11,0.739451711,increasing,1629
7,559,"Numbers appearing in academic citation references, typically indicating specific numbered sources in bibliographies or reference lists.",1,11,0.798671429,increasing,559
8,173,"Instances of the number ""3"" appearing in various contexts including lists, sequences, measurements, and references.",1,11,0.61885614,increasing,173
9,411,"Configuration parameter names in YAML documentation format, typically following indentation and colon syntax",1,11,0.927937532,increasing,411
10,1233,"References to the United States, either as ""United States"" or abbreviated as ""U.S."" in legal, governmental, and official contexts.",1,11,0.522909768,increasing,1233
11,2125,"Numbers and numerical references (primarily the number 5) used in citations, footnotes, legal documents, and mathematical contexts.",1,11,0.916112816,increasing,2125
12,2276,"Opening parentheses in function definitions, method calls, and conditional statements across various programming languages.",1,11,0.830869622,increasing,2276
13,903,"Forms of the verb ""to be"" (are/were) used as linking verbs or auxiliary verbs in various sentence structures.",1,11,0.630167906,increasing,903
14,2895,"All instances are the definite article ""the"" appearing at the beginning of phrases or clauses after punctuation or spacing.",1,11,0.704881047,increasing,2895
15,2550,"Plural nouns representing various categories, types, or instances of things across different domains and contexts.",1,11,0.544514388,increasing,2550
16,2090,Words used in mathematical comparison questions asking which value is closest or nearest to a given number.,1,11,0.617922951,increasing,2090
17,365,Method names for getter and setter functions in Java code documentation.,1,11,0.689861987,increasing,365
18,442,"Numbers appearing as section identifiers, page numbers, or reference markers in formatted text documents.",1,11,0.930904285,increasing,442
19,1320,"Numeric values (primarily the number 5) appearing in various document formatting contexts such as citations, references, timestamps, and organizational numbering.",1,11,0.819768615,increasing,1320
20,1690,"The number ""7"" appearing in various document formatting contexts, including numbered lists, citations, footnotes, and section markers.",1,11,0.832971187,increasing,1690
21,2263,Formatting markers indicating the beginning of quoted speech or dialogue in text.,1,11,0.570794782,increasing,2263
22,1523,"Method names and function calls in programming code, representing actions or operations that can be invoked on objects or classes.",1,11,0.756739987,increasing,1523
23,1568,"All instances show the preposition ""with"" used to introduce instrumental, associative, or descriptive phrases that specify accompanying conditions, characteristics, or methods.",1,11,0.751393032,increasing,1568
24,1928,Code comments preceded by whitespace and comment delimiters in programming contexts.,1,11,0.805152511,increasing,1928
25,1392,Words used in numerical rating expressions indicating fractions or proportions out of a total.,1,11,0.529280635,increasing,1392
26,1853,"Words related to email subscription and newsletter services, including delivery methods, content types, and subscription processes.",1,11,0.994791963,increasing,1853
27,217,Code formatting tokens representing spaces that appear before closing braces and return statements in various programming languages.,1,11,0.945127417,increasing,217
28,2887,"Words appearing at the end of comparative phrases expressing degree or extent (e.g., ""as much as possible"", ""as far as practicable"").",1,11,0.77276659,increasing,2887
29,2192,Past tense auxiliary and linking verbs used in various narrative and descriptive contexts.,1,11,0.648873997,increasing,2192
30,829,"Words used in idiomatic expressions and metaphorical contexts relating to alignment, opposition, or perspective",1,11,0.510752856,increasing,829
31,1958,Clinical and biological variables measured in medical research studies and technical specifications,1,11,0.424307828,increasing,1958
32,1808,Words functioning as pronouns or determiners that refer to previously mentioned entities or concepts in discourse.,1,12,0.443669942,increasing,1808
33,584,"Words referring to temporal duration, periods, or moments in various technical and scientific contexts.",1,12,0.466442024,increasing,584
34,2967,"Modal verbs expressing ability, possibility, or capacity to perform actions.",1,12,0.713723383,increasing,2967
35,1824,"Third-person singular present tense verbs in technical documentation, with ""Gets"" and ""Sets"" being JavaDoc accessor method documentation",1,13,0.494968288,increasing,1824
