feature_group_id,representative_feature_id,description,n_members,max_prob,final_prob,gap_to_threshold,all_feature_ids
1,600,"Auxiliary verbs ""have"" and ""has"" used in various grammatical constructions including perfect tenses, modal auxiliaries, and conditional statements.",1,0.493521683,0.463407278,0.006478317000000011,600
2,1358,Words that appear immediately after a space in technical and scientific writing contexts.,1,0.484706707,0.482892469,0.015293292999999986,1358
3,2291,"All instances are the word ""that"" used as a conjunction, pronoun, or determiner in various grammatical contexts.",1,0.483257866,0.388917025,0.01674213400000002,2291
4,1276,"All instances are the word ""need"" (or its plural ""needs"") used as a noun referring to a requirement or necessity in various contexts.",1,0.48009841,0.451339614,0.019901590000000025,1276
5,1892,"All instances of ""one"" used as a determiner or number word, typically in phrases like ""at least one"" or ""nearest one [unit]"".",1,0.474328156,0.474328156,0.025671844,1892
6,1513,Mathematical addition operators (+) appearing in algebraic expressions and equations.,1,0.459872049,0.332818754,0.040127950999999995,1513
7,1741,"All instances are the indefinite article ""a"" preceded by a space in various sentence contexts.",1,0.446891993,0.426659695,0.05310800700000001,1741
8,97,"Prepositions that introduce phrases indicating conformity, compliance, or relational positioning in formal or technical writing.",1,0.41103075,0.316978956,0.08896925,97
9,1407,Last names or surnames of people mentioned in various contexts.,1,0.392881954,0.342440198,0.10711804600000002,1407
10,930,"All instances show the preposition ""on"" preceded by a space, indicating its consistent grammatical function as a preposition in various contexts.",1,0.389506678,0.251911316,0.110493322,930
11,1221,"Nouns referring to methods, approaches, spatial locations, or procedural contexts in technical and formal discourse",1,0.388548569,0.364047057,0.11145143099999999,1221
12,2755,The digit zero appearing in negative decimal numbers within mathematical contexts,1,0.368837275,0.368837275,0.13116272499999998,2755
13,361,Exclamation marks appearing at the end of quoted dialogue or exclamatory statements.,1,0.35253112,0.322526413,0.14746888000000002,361
14,2417,Mathematical variables and expressions that appear immediately after a space and dollar sign in LaTeX mathematical notation.,1,0.340067975,0.340067975,0.15993202499999998,2417
15,65,"Legal terminology referring to parties in court proceedings, with some non-legal terms included",1,0.325404551,0.325404551,0.174595449,65
