feature_group_id,representative_feature_id,description,n_members,acq_checkpoint,final_prob,trend,all_feature_ids
1,1223,Tab characters used for text formatting and indentation across various types of content.,6,5,0.232852069,increase-decrease,"657,1463,5300,210,3305,1223"
2,2722,Tab characters used for text formatting and indentation across various document types.,1,5,0.232852069,increase-decrease,2722
3,3992,Tab characters used for text indentation or formatting in what appears to be a list or document structure.,1,5,0.232852069,increase-decrease,3992
4,1858,"Tab characters used for formatting and indentation in various document types including code, tables, and structured text layouts.",1,6,0.0166189473,increase-decrease,1858
5,5022,Tab characters used as formatting separators in structured text or data tables.,1,6,0.044910492,increase-decrease,5022
6,2826,Tab characters used for code indentation at the end of code blocks or statements.,1,6,0.376597829,increase-decrease,2826
7,451,Tab characters used for code indentation in programming contexts,1,6,0.267813427,increase-decrease,451
8,5415,Whitespace characters (tabs and spaces) used as formatting or delimiter elements in structured text and data.,1,7,0.0192632945,increase-decrease,5415
9,3145,Mathematical variables appearing in algebraic expressions and equations.,1,7,0.511462583,increase-decrease,3145
10,5215,Tab characters used for formatting and indentation in structured documents.,1,8,0.0119937736,increase-decrease,5215
11,3488,"Tab characters and whitespace used for formatting, indentation, and text alignment in documents and code",1,8,0.0779712612,increase-decrease,3488
12,5600,"Punctuation marks, symbols, and common words used as examples or variables in code and text",1,9,0.00942047673,increase-decrease,5600
13,5676,"Punctuation marks, operators, and whitespace characters used in programming syntax and text formatting",1,9,0.0159856618,increase-decrease,5676
14,4593,"Mixed collection of punctuation marks, operators, and programming symbols appearing in various contexts including code, text, and documentation",1,9,0.00838287888,increase-decrease,4593
15,621,Exclamation marks appearing in Ruby test failure messages for String#encode method specifications.,1,11,0.222138678,increase-decrease,621
16,2578,Exclamation marks appearing in test failure messages for String#encode method specifications.,1,11,0.277962542,increase-decrease,2578
