feature_group_id,representative_feature_id,description,n_members,acq_checkpoint,final_prob,trend,all_feature_ids
1,1177,All instances represent spaces that appear within dialogue or quoted speech in what appears to be screenplay or script format.,1,6,0.870564858,increase-stagnate,1177
2,5003,"Tab characters used for indentation in code formatting across CSS, HTML, and other programming contexts.",1,6,0.999785231,increase-stagnate,5003
3,5988,"Tab characters used as delimiters or separators in structured data formatting, likely between columns in a dataset of time-related math problems.",1,6,0.999592054,increase-stagnate,5988
4,5815,Spaces that occur immediately before opening quotation marks in dialogue formatting.,1,6,0.990969994,increase-stagnate,5815
5,120,"Spaces that occur immediately before quotation marks in dialogue formatting, representing consistent punctuation spacing in transcribed speech or screenplay text.",1,6,0.946631331,increase-stagnate,120
6,2352,Spaces that appear immediately after closing quotation marks in dialogue text.,1,6,0.993831567,increase-stagnate,2352
7,3463,"All instances are the string ""fig"" appearing as the value in HTML/XML reference attributes for figure citations in academic text.",1,7,0.999920077,increase-stagnate,3463
8,5982,Tab characters used as whitespace separators in XML/configuration file formatting.,1,7,0.999938967,increase-stagnate,5982
9,4209,"Citation reference markers in academic text, specifically the ""B"" component of bibliographic citations.",1,7,0.999865967,increase-stagnate,4209
10,3282,"XML/HTML attribute values specifying reference types in academic document markup, specifically for figures, tables, and supplementary media.",1,7,0.999938967,increase-stagnate,3282
11,4702,Android XML attribute namespace separators used in layout configuration files.,1,7,0.999888194,increase-stagnate,4702
12,5981,"All instances refer to ""United States"" as a proper noun denoting the country, appearing in contexts discussing biblical prophecy, politics, and international relations.",1,7,0.989109384,increase-stagnate,5981
13,6229,Category labels or taxonomic classifications used in what appears to be a wiki or database system for organizing content.,1,7,0.999938967,increase-stagnate,6229
14,2279,"All instances of ""ref"" appear within HTML-like markup as attribute values in reference links, specifically as part of ""ref-type"" attributes in academic document citations.",1,7,0.999938967,increase-stagnate,2279
15,4552,"All instances refer to ""United States"" as a proper noun denoting the country, appearing in various contexts including legal, political, and religious discussions.",1,7,0.992752295,increase-stagnate,4552
16,940,URL protocol separators appearing in web addresses and hyperlinks.,1,7,0.999938967,increase-stagnate,940
17,742,"Periods used as abbreviation markers in references to ""U.S."" (United States) and other abbreviated proper nouns or legal citations.",1,7,0.996860499,increase-stagnate,742
18,4069,Whitespace characters (tabs and special Unicode spacing characters) used for indentation and formatting in code and markup documents.,1,7,0.999580262,increase-stagnate,4069
19,2861,Decimal points appearing in statistical or numerical data output.,1,7,0.999403951,increase-stagnate,2861
20,5894,Geographic proper nouns referring to specific countries or regions (United States and New York).,1,7,0.960747117,increase-stagnate,5894
21,1941,HTML/XML attribute assignment operators in markup and code contexts.,1,7,0.99659701,increase-stagnate,1941
22,2323,"The phrase ""according to"" used to introduce citations or attribute information to sources.",1,7,0.99330945,increase-stagnate,2323
23,4834,"All instances show the preposition ""of"" used to express quantity or amount, typically following words like ""number,"" ""hundreds,"" ""thousands,"" ""lots,"" etc.",1,7,0.936231097,increase-stagnate,4834
24,875,"Contracted negative forms of auxiliary verbs (don't, aren't, wouldn't, couldn't) used in informal speech and writing.",1,7,0.99368026,increase-stagnate,875
25,1587,Forward slashes used as path separators in URLs and web addresses.,1,7,0.998029013,increase-stagnate,1587
26,1447,LaTeX label commands within mathematical expressions and equations,1,7,0.991883605,increase-stagnate,1447
27,857,Hyphens appearing within academic citation references in a scientific text.,1,7,0.999938967,increase-stagnate,857
28,1989,"All instances show the preposition ""with"" used to indicate association or connection between concepts, following the pattern ""associated with"" or ""consistent with"".",1,7,0.980763432,increase-stagnate,1989
29,873,URL protocol prefixes indicating the beginning of web addresses.,1,7,0.999937597,increase-stagnate,873
30,622,"Punctuation marks and symbols used as delimiters or separators in various markup, programming, and formatting contexts.",1,7,0.999688962,increase-stagnate,622
31,6070,"All instances show the preposition ""on"" used to introduce dependencies, foundations, or focuses in various contexts.",1,8,0.802786439,increase-stagnate,6070
32,4756,Tab characters used for formatting and text alignment in documents or web content.,1,8,0.998360527,increase-stagnate,4756
33,377,"References to various judicial courts in legal contexts, including Supreme Courts, District Courts, and other appellate courts.",1,8,0.99346055,increase-stagnate,377
34,897,XML/HTML opening angle brackets used in markup syntax within what appears to be Interface Builder or similar development framework code.,1,8,0.998581877,increase-stagnate,897
35,2029,"Possessive markers (""s"") indicating ownership or association, typically appearing after proper nouns or common nouns to form possessive constructions.",1,8,0.999430743,increase-stagnate,2029
36,2007,Mathematical expressions containing squared terms (variables raised to the power of 2) in algebraic equations and polynomial functions.,1,8,0.984994719,increase-stagnate,2007
37,6347,"Contracted forms of ""is"" and ""are"" used in informal speech and writing.",1,8,0.993353898,increase-stagnate,6347
38,5633,Asterisks appearing at the end of comment lines in source code documentation and license headers.,1,8,0.921842485,increase-stagnate,5633
39,1532,Tab characters used as column separators in tabular data formatting.,2,8,0.998602499,increase-stagnate,"282,1532"
