feature_group_id,representative_feature_id,description,n_members,acq_checkpoint,final_prob,trend,all_feature_ids
1,4251,Tab characters used for text formatting and indentation in digital documents.,1,3,0.988843399,increase-stagnate,4251
2,1115,Tab characters used for formatting and indentation in mathematical or scientific text documents.,1,3,0.971052432,increase-stagnate,1115
3,1213,"Tab characters used as formatting separators in structured data layouts such as menus, nutritional information, and service listings.",1,3,0.999841417,increase-stagnate,1213
4,2352,All instances represent spaces that appear immediately before opening quotation marks in dialogue.,1,6,0.995796914,increase-stagnate,2352
5,668,"HTML/XML attribute values for reference type specifications in academic document markup, specifically indicating figure and reference citations.",1,6,0.999938967,increase-stagnate,668
6,6201,Tab characters used as delimiters to separate different mathematical questions or data fields in a structured format.,1,6,0.999694203,increase-stagnate,6201
7,1633,"HTML/XML attribute values for reference type specifications in academic document markup, specifically indicating figure references.",1,6,0.999938967,increase-stagnate,1633
8,6364,"HTML/XML attribute values specifying reference types in academic document markup, specifically for figures and references.",1,6,0.999938967,increase-stagnate,6364
9,5811,"Colons that appear in Wikipedia category listings, typically separating category namespace prefixes or serving as formatting elements in category hierarchies.",1,6,0.999938967,increase-stagnate,5811
10,5620,"Colons that appear in Wikipedia category listings, typically separating or introducing category names.",1,6,0.999938967,increase-stagnate,5620
11,5872,"Academic reference markup syntax indicating cross-references to various document elements like figures, tables, and supplementary materials.",1,6,0.999938967,increase-stagnate,5872
12,4271,Code indentation markers or tab characters used for formatting in programming source code.,1,6,0.999938967,increase-stagnate,4271
13,5780,"All instances are the contraction ""don't"" appearing in expressions of uncertainty or lack of knowledge.",1,6,0.998884196,increase-stagnate,5780
14,4554,"Legal case citation separators, specifically the ""v."" abbreviation used between plaintiff and defendant names in court case citations.",1,6,0.999912985,increase-stagnate,4554
15,6375,Contracted negative forms of auxiliary verbs in English,1,6,0.998880806,increase-stagnate,6375
16,2188,Periods used as separators in legal case citations between party names and court reporters or between volume and page numbers.,1,6,0.999649528,increase-stagnate,2188
17,6070,Academic citation reference markers appearing within bibliographic citation brackets in scholarly text.,1,7,0.999938967,increase-stagnate,6070
18,4988,URL protocol indicators appearing in web addresses and hyperlinks.,1,7,0.999938967,increase-stagnate,4988
19,956,"Periods appearing as part of website URLs in the format ""www.domain.com""",1,7,0.998385895,increase-stagnate,956
20,718,Forward slashes used as URL path separators in web addresses and file paths.,1,7,0.999907979,increase-stagnate,718
21,3282,XML/markup opening angle brackets used in structured data formatting.,2,7,0.999938967,increase-stagnate,"3282,247"
22,4523,"Academic citation abbreviation ""al"" (from ""et al."") used in bibliographic references to indicate additional authors.",1,7,0.995311354,increase-stagnate,4523
23,622,"Colons used as separators in reference labels, equation labels, and XML/code attribute syntax.",1,7,0.999938967,increase-stagnate,622
24,1576,"Academic citation abbreviation ""al"" (from ""et al."") used in scholarly references to indicate multiple authors.",1,7,0.994558048,increase-stagnate,1576
25,949,Tab characters used as formatting separators between quoted text and continuation of news articles or statements.,1,7,0.935262644,increase-stagnate,949
26,3394,"Contracted forms of ""is not,"" ""was not,"" ""would not,"" and ""do not"" in tag questions and rhetorical questions.",1,7,0.998933262,increase-stagnate,3394
27,6229,Tab characters used for formatting in academic document section headers and structural elements.,1,7,0.999938967,increase-stagnate,6229
28,1941,Mathematical notation elements appearing in LaTeX mathematical expressions and formulas.,1,7,0.997722194,increase-stagnate,1941
29,4628,Whitespace tokens (spaces and tabs) used for code formatting and indentation in programming contexts.,1,7,0.981579245,increase-stagnate,4628
30,1447,LaTeX \label commands used to create reference points for equations and document elements,1,7,0.998988406,increase-stagnate,1447
31,904,Whitespace characters consistently positioned between hexadecimal values in formatted data dumps.,1,7,0.999938967,increase-stagnate,904
32,75,Temperature measurements in degrees Celsius used in scientific experimental conditions.,1,7,0.998808201,increase-stagnate,75
33,4906,XML opening angle brackets marking the start of XML tags in structured markup code.,1,7,0.999929849,increase-stagnate,4906
34,30,Opening angle brackets that begin XML/HTML tags in what appears to be Interface Builder or similar XML configuration files.,1,7,0.999938967,increase-stagnate,30
35,5875,HTML/XML closing tags and elements that appear at the end of code blocks or markup structures.,1,7,0.999348291,increase-stagnate,5875
36,3918,Polynomial coefficients and exponents extracted from mathematical expressions and word problems,1,7,0.997926354,increase-stagnate,3918
37,5412,"Polynomial coefficients and exponents from algebraic computation problems involving expansion, differentiation, and simplification",1,7,0.996777617,increase-stagnate,5412
38,1871,"All instances refer to the word ""replacement"" in the context of probability problems involving drawing letters without replacement from a set or string.",6,8,0.998480904,increase-stagnate,"1871,3605,5280,3293,2822,5400"
39,4316,"The word ""without"" appears consistently in probability problems describing sampling without replacement from a set of letters.",1,8,0.998969842,increase-stagnate,4316
40,5588,Mathematical terms related to probability calculations in combinatorics problems.,1,8,0.999361863,increase-stagnate,5588
41,3490,"The word ""factors"" appearing in mathematical contexts asking for prime factorization of numbers or algebraic expressions.",1,8,0.998895555,increase-stagnate,3490
42,3022,Mathematical terms referring to derivatives in calculus problems and equations.,1,8,0.998597268,increase-stagnate,3022
43,2124,"Encoding artifact ""Âł"" appearing as corrupted character sequence in author name listings, likely representing a space or formatting separator that was incorrectly encoded during text processing.",2,8,0.994687269,increase-stagnate,"2833,2124"
44,1085,"All instances refer to the mathematical term ""derivative"" in calculus problems asking to find first or second derivatives of functions.",1,8,0.998342168,increase-stagnate,1085
45,2601,"All instances are the preposition ""of"" used to indicate relationships such as possession, association, or specification between nouns and other elements.",1,8,0.993510461,increase-stagnate,2601
46,3465,Mathematical derivative expressions and calculations,1,8,0.998499027,increase-stagnate,3465
47,6172,Mathematical expressions or equations where a negative sign or minus symbol appears before a space in computational contexts.,1,8,0.48261081,increase-stagnate,6172
48,5865,"HTML/XML attribute values specifying reference types in academic document markup, primarily for figures and supplementary materials.",1,8,0.999938967,increase-stagnate,5865
49,1296,Citation references in academic text using the PONE journal format.,1,8,0.999938967,increase-stagnate,1296
