feature_group_id,representative_feature_id,description,n_members,max_prob,final_prob,gap_to_threshold,all_feature_ids
1,3501,"Words related to decrease, reduction, constraints, and differences/variations in various contexts",1,0.494657936,0.494657936,0.00534206399999998,3501
2,4598,"All instances are the relative pronoun ""which"" used to introduce relative clauses that provide additional information about a preceding noun or clause.",1,0.489568358,0.436076363,0.010431642000000019,4598
3,6347,"All instances are the negation word ""not"" preceded by a space, functioning as a negative particle in various sentence constructions.",1,0.481053245,0.379730155,0.018946754999999982,6347
4,3192,"Years or dates appearing in academic citations, biographical information, and legal documents.",1,0.479006258,0.479006258,0.020993741999999982,3192
5,6095,"Common nouns referring to abstract concepts of location, method, or temporal duration that are frequently used in descriptive or instructional contexts.",1,0.475911594,0.475911594,0.024088406000000007,6095
6,6342,"Forms of the verb ""know"" expressing understanding, awareness, or familiarity with information.",1,0.468764519,0.468764519,0.03123548100000001,6342
7,3568,"Words related to user interface actions involving mouse clicks or taps on digital elements like links, buttons, and menu items.",1,0.449447453,0.317804233,0.050552547,3568
8,1659,Apostrophe-s contractions and possessive forms in English text.,1,0.442561911,0.43071343,0.057438089000000025,1659
9,3626,Citation reference markers in academic text that appear at the end of sentences before periods.,1,0.442339538,0.419395967,0.05766046200000002,3626
10,5102,"French definite article ""l"" appearing in contracted forms with apostrophes in French text.",1,0.432899188,0.432899188,0.06710081200000001,5102
11,4624,Past participles used in perfect tense constructions (have/had + past participle).,1,0.429132142,0.429132142,0.070867858,4624
12,348,"Transitional phrases and conjunctive adverbs used to introduce additional information, examples, contrasts, or specific details in formal writing.",1,0.421399042,0.382575749,0.078600958,348
13,5182,"Adjectives describing positive qualities, suitability, or correctness of things",1,0.411631383,0.411631383,0.08836861699999998,5182
14,5929,"All instances are the preposition ""at"" indicating location, time, or specific points/conditions in various contexts.",1,0.403326742,0.388008125,0.09667325799999998,5929
15,674,Month names and temporal references used in dates and time expressions.,1,0.403222792,0.403222792,0.096777208,674
16,4373,"Words introducing conditional clauses or questions about uncertainty, possibility, alternatives, or problems requiring resolution.",1,0.395191286,0.395191286,0.10480871400000003,4373
17,2627,"Words that appear in ""be going to"" future constructions, with ""going"" being the primary pattern and occasional other words in similar grammatical positions.",1,0.389783256,0.374947206,0.11021674399999998,2627
18,2051,"Words expressing positive evaluation, preference, or desire in conversational contexts",1,0.386635763,0.370687051,0.11336423699999998,2051
19,3004,"Instances of the word ""if"" (both lowercase and capitalized) preceded by a space, functioning as conditional conjunctions in various contexts.",1,0.384605662,0.351898826,0.11539433799999999,3004
20,4339,"All instances are possessive pronouns ""his"" showing ownership or belonging relationships.",1,0.360051057,0.360051057,0.139948943,4339
21,5804,"Job titles and organizational leadership positions, excluding personal pronouns and unrelated technical terms",1,0.353338791,0.353338791,0.14666120900000001,5804
22,4071,"Nouns referring to difficulties, issues, or challenges that need to be solved or addressed.",1,0.317438681,0.286521518,0.182561319,4071
23,2575,"Nouns referring to boundaries, borders, or perimeter parts of objects and surfaces.",1,0.263234515,0.248236687,0.236765485,2575
24,4340,References to the United States and U.S. in governmental and political contexts.,1,0.262860534,0.226012784,0.23713946600000002,4340
25,4282,"Sentence-initial function words that introduce conditional statements, prepositional phrases, and definite noun phrases.",1,0.261888254,0.228015127,0.238111746,4282
26,626,"Instances of the pronoun ""it"" preceded by a space in various sentence contexts.",1,0.260090745,0.255609412,0.239909255,626
27,4639,"All instances show the adverb ""also"" used to add information or indicate an additional point in various contexts.",1,0.248637614,0.248637614,0.251362386,4639
28,6154,"All instances show the phrase ""in order"" used to express purpose or intention, introducing clauses that explain the reason for an action.",1,0.201042532,0.201042532,0.298957468,6154
29,42,"Quantifier words (""some"" and ""few"") used to indicate partial quantities or subsets within larger groups.",1,0.174018636,0.158630437,0.325981364,42
30,1905,"Scientific terms referring to measurable quantities or amounts of substances, proteins, or biological markers in research contexts.",1,0.172101506,0.172101506,0.32789849400000004,1905
31,6048,"Nouns referring to categories, varieties, or classifications of things.",1,0.168136472,0.151026875,0.33186352799999996,6048
32,3585,"Verbs and nouns related to the establishment or beginning of organizations, companies, projects, and institutions.",1,0.159159616,0.159159616,0.340840384,3585
33,5366,"Contracted auxiliary verbs in negative constructions (aren't, don't, haven't, wasn't).",1,0.128346798,0.128346798,0.37165320199999996,5366
34,3811,Personal pronouns and determiners appearing at the beginning of sentences after periods or other sentence boundaries.,1,0.124649299,0.102871826,0.375350701,3811
35,2703,"Instances of the word ""then"" (with occasional capitalization as ""Then"") appearing after spaces in conditional statements and sequential narrative contexts.",1,0.105239039,0.0998057102,0.394760961,2703
36,4695,"All instances are the modal verb ""may"" expressing possibility, uncertainty, or permission in various contexts.",1,0.097705873,0.097705873,0.402294127,4695
37,133,"Numbers appearing in academic citations, mathematical expressions, timestamps, and reference contexts.",1,0.0972274868,0.0932276708,0.4027725132,133
38,5750,"All instances are the existential or locative adverb ""there"" appearing at the beginning of clauses or sentences, often in interrogative or declarative constructions about existence or presence.",1,0.0966038312,0.0966038312,0.4033961688,5750
