160m_feature_id,160m_description,160m_trend,160m_acquired,160m_acq_checkpoint,160m_max_prob,160m_final_prob,6.9b_feature_id,6.9b_description,6.9b_trend,6.9b_acquired,6.9b_acq_checkpoint,6.9b_max_prob,6.9b_final_prob,sample_overlap,n_shared_samples,160m_n_samples,6.9b_n_samples,match_category
796,"The word ""or"" functioning as a conjunction in mathematical comparison questions asking which value is greater, smaller, or bigger.",increase-stagnate,True,10,0.998955629,0.998623065,2766,Mathematical comparison questions asking which value is greater or smaller between two options.,increase-stagnate,True,10,0.999322695,0.999224668,0.8518518518518519,46,50,50,Both Acquired
2288,"Mathematical problem statements that begin with variable definitions using ""Let"" followed by mathematical expressions or equations.",increase-stagnate,True,9,0.934452472,0.895640918,445,"Mathematical problem statements that begin with ""Let"" followed by variable definitions or function declarations.",increase-stagnate,True,8,0.940073176,0.935331972,0.8181818181818182,45,50,50,Both Acquired
1212,"Colons that appear after ""Category"" in what appears to be Wikipedia category markup syntax.",increase-stagnate,True,7,0.999938967,0.999938014,1206,"Colons that appear in Wikipedia category markup, serving as separators in the categorization system.",increase-stagnate,True,6,0.999938967,0.999938967,0.7857142857142857,44,50,50,Both Acquired
1909,HTML attribute values for reference type specifications in academic document markup.,increase-stagnate,True,7,0.999938967,0.999932592,1077,"HTML/XML attribute values in academic document markup, specifically the ""ref-type"" attribute used for cross-referencing figures, tables, and supplementary materials.",increase-stagnate,True,6,1.0,0.999938967,0.7543859649122807,43,50,50,Both Acquired
1113,"All instances of ""than"" used as a comparative conjunction to introduce the second element in comparisons.",increase-stagnate,True,10,0.986854662,0.986854662,1909,"All instances of the word ""than"" used as a comparative conjunction to express relationships of degree, quantity, or preference between two elements.",increase-stagnate,True,10,0.998513353,0.998513353,0.7543859649122807,43,50,50,Both Acquired
2853,"The letter ""B"" or ""b"" used as labels, identifiers, or reference markers in academic and technical contexts.",increase-stagnate,True,9,0.999938967,0.999788627,535,Single letters (B/b) used as reference markers or labels in academic and scientific texts.,increase-stagnate,True,8,0.999938967,0.999938967,0.6666666666666666,40,50,50,Both Acquired
293,C preprocessor directive symbols (#define and #include statements) used in source code.,increase-stagnate,True,9,0.896981972,0.763816016,88,C preprocessor #define statements in header files defining hardware register constants and macros.,increase-stagnate,True,8,0.968713676,0.968713676,0.639344262295082,39,50,50,Both Acquired
1909,HTML attribute values for reference type specifications in academic document markup.,increase-stagnate,True,7,0.999938967,0.999932592,846,HTML attribute values for reference links in academic figure citations.,increase-stagnate,True,6,1.0,0.999938967,0.639344262295082,39,50,50,Both Acquired
2400,Question marks appearing at the end of mathematical comparison questions or problems.,increase-stagnate,True,9,0.999690271,0.999690271,361,Question marks appearing at the end of mathematical comparison questions in what appears to be a math problem dataset.,increase-stagnate,True,10,0.999852799,0.999771111,0.639344262295082,39,50,50,Both Acquired
2972,XML/HTML closing tags appearing in structured markup code.,increase-stagnate,True,10,0.986349431,0.97972604,2497,"XML/HTML closing tag syntax patterns, specifically the ""</"" token that begins closing tags in markup languages.",increase-stagnate,True,11,0.998115702,0.99769944,0.639344262295082,39,50,50,Both Acquired
1430,"Wikipedia category labels that classify and organize articles by topic, profession, location, or other descriptive attributes.",increase-stagnate,True,8,0.997560274,0.997560274,1752,"Wikipedia category labels that classify articles by topic, profession, location, or other descriptive attributes.",increase-stagnate,True,8,0.999004343,0.999004343,0.5873015873015873,37,50,50,Both Acquired
2161,HTML closing div tags appearing in web markup and code contexts.,increase-stagnate,True,9,0.999843801,0.99957532,2876,HTML closing div tags appearing in code or markup contexts.,increase-stagnate,True,10,0.999938967,0.999916322,0.5873015873015873,37,50,50,Both Acquired
2090,Words used in mathematical comparison questions asking which value is closest or nearest to a given number.,increase-stagnate,True,11,0.69081106,0.617922951,1693,Words used in mathematical comparison questions asking which value is closest or nearest to a target number.,increase-stagnate,True,10,0.559736894,0.503190355,0.5873015873015873,37,50,50,Both Acquired
1944,Percentage symbols used to denote numerical proportions or concentrations in scientific and technical contexts.,increase-stagnate,True,10,0.886754893,0.886754893,619,"Percentage symbols used in statistical, scientific, and financial contexts to denote proportions, rates, and measurements.",increase-stagnate,True,11,0.927394161,0.923064715,0.5625,36,50,50,Both Acquired
312,"Words referring to numerical quantities, data assignments, or measurable amounts in programming and mathematical contexts.",increase-stagnate,True,8,0.999400034,0.993842134,1850,"The word ""value"" or ""values"" appearing in mathematical comparison problems that ask to rank or identify specific numerical quantities",increase-stagnate,True,8,0.999667338,0.999112024,0.5384615384615384,35,50,50,Both Acquired
1850,Space characters appearing before @ symbols in citation lists and code comments.,increase-stagnate,True,8,0.999631246,0.999348945,923,Spaces that appear before the @ symbol in academic citation lists and code documentation comments.,increase-stagnate,True,9,0.999938967,0.999938967,0.5384615384615384,35,50,50,Both Acquired
