task,n_pos,n_neg,mean_loss_pos,mean_loss_neg,median_loss_pos,median_loss_neg,mean_absr_pos,mean_absr_neg,count_rel_diff,loss_rel_diff,absr_rel_diff,passes
arc_challenge,770,35106,2.1160876750946045,2.1696507930755615,1.1285510063171387,0.9891384840011597,0.9281311631202698,0.8933299779891968,0.9780664273913291,0.024687437329501905,0.037495977415600866,False
bbh,9263,2159,2.1079137325286865,2.108952760696411,0.9074616432189941,1.0565698146820068,0.8485265970230103,0.8588594198226929,0.7669221634459679,0.0004926749366266056,0.012030866240968488,False
blimp,35840,35,2.16841459274292,3.2702841758728027,0.9904283285140991,2.0641255378723145,0.8911376595497131,0.8612543344497681,nan,nan,nan,False
coqa,2333,3093,2.2656166553497314,2.2821788787841797,1.175243616104126,1.1851948499679565,0.8103094696998596,0.8268417119979858,0.24571613320400906,0.0072571977544861384,0.019994446407617245,True
csqa,1841,2722,2.131563663482666,2.302666664123535,1.103184700012207,1.2422012090682983,0.7925918698310852,0.8162374496459961,0.3236590742101396,0.0743064566429532,0.028968996491359256,True
gsm8k,4015,7471,2.1276674270629883,2.2207658290863037,0.9715480208396912,1.1433825492858887,0.865379810333252,0.841282308101654,0.46258867621469685,0.04192175546109658,0.027846157194628927,True
hellaswag,12903,1956,2.1656148433685303,2.142683744430542,1.0013043880462646,1.1371917724609375,0.8535953164100647,0.8929893374443054,0.8484073471285748,0.010588724494665839,0.04411477201618622,False
lambada,7752,2736,2.225269079208374,2.208242654800415,1.1365711688995361,1.0406605005264282,0.8714739680290222,0.8659700155258179,0.6470588235294118,0.007651400258532344,0.006315682057207532,False
medmcqa,169,35704,2.2360048294067383,2.167858362197876,0.8593723177909851,0.9904283285140991,0.940566897392273,0.9331097602844238,nan,nan,nan,False
minerva_math,2132,114,2.204648494720459,1.6591383218765259,1.0563514232635498,0.14605793356895447,0.8349316120147705,0.7943001389503479,nan,nan,nan,False
mmlu_other,2018,1046,2.0165610313415527,2.3115711212158203,0.863078773021698,1.1750417947769165,0.8082258105278015,0.8097162246704102,0.48166501486620417,0.1276231940980041,0.0018406623174869767,True
mmlu_social_sciences,2327,510,2.201016902923584,1.8890149593353271,1.0454505681991577,0.4058471918106079,0.8120633363723755,0.8294525146484375,0.7808336914482166,0.14175354272555946,0.020964645918799096,False
mmlu_stem,5880,2148,2.099277973175049,2.2156624794006348,0.9351069927215576,1.1878044605255127,0.8014410734176636,0.8064584732055664,0.6346938775510204,0.05252808462824601,0.006221522811905401,False
naturalqs,3129,32710,2.0983664989471436,2.1750967502593994,1.0251779556274414,0.9873921871185303,0.8766809701919556,0.8147159814834595,0.9043411800672577,0.03527670725594395,0.07068134340241058,False
piqa,35652,264,2.1710596084594727,1.899192214012146,0.9904283285140991,0.8685755729675293,0.9339848756790161,0.9625250101089478,0.992595085829687,0.12522336714662416,0.0296513172439033,False
winogrande,1402,1250,2.219902515411377,2.4660913944244385,1.1641515493392944,1.396844506263733,0.8112220764160156,0.7676487565040588,0.10841654778887304,0.09982958440618524,0.05371318308355709,True
