task,n_pos,n_neg,mean_loss_pos,mean_loss_neg,median_loss_pos,median_loss_neg,mean_absr_pos,mean_absr_neg,count_rel_diff,loss_rel_diff,absr_rel_diff,passes
arc_challenge,45921,1556,1.9981321096420288,2.1442832946777344,0.9403653740882874,1.047966480255127,0.7892783284187317,0.9084546566009521,0.9661157204764704,0.06815852429502359,0.13118577500403508,False
bbh,47668,508,1.9995688199996948,1.904026746749878,0.9400759935379028,0.9055396318435669,0.9492602348327637,0.774897038936615,0.9893429554418058,0.0477813378035328,0.18368324037809,False
blimp,35707,2469,1.8851393461227417,1.900516390800476,0.803589940071106,0.8437129855155945,0.9336202144622803,0.9390470385551453,0.9308538941944157,0.008090982404659892,0.005779075882306083,False
coqa,34726,2866,1.8749104738235474,1.9805091619491577,0.7943225502967834,0.8898478746414185,0.8521643280982971,0.9246068000793457,0.9174681794620745,0.05331895966675725,0.07834949080499072,False
csqa,3337,31044,2.0187699794769287,1.86322021484375,0.9748620390892029,0.7570785880088806,0.8425016403198242,0.7896867990493774,0.8925074088390671,0.07705175241088252,0.06268811684496851,False
gsm8k,3313,5860,2.0266270637512207,2.008613348007202,1.0547540187835693,1.0103018283843994,0.8698275685310364,0.8507894277572632,0.434641638225256,0.00888852027401418,0.02188725842056809,True
hellaswag,47497,2243,1.9962208271026611,1.964349627494812,0.9400759935379028,0.8312872648239136,0.8332475423812866,0.9259040355682373,0.9527759647977767,0.015965768503731805,0.1000713784880378,False
lambada,32611,2059,1.873509407043457,1.9343743324279785,0.7785497307777405,0.8280664086341858,0.9218423962593079,0.9754515290260315,0.9368617950998129,0.031464915742613966,0.05495827436987183,False
medmcqa,4918,6140,1.9867881536483765,2.007175922393799,0.9723115563392639,0.9832931160926819,0.8324477076530457,0.8408451080322266,0.1990228013029316,0.010157439872588495,0.009986857625696106,True
medqa,5178,6107,1.9999455213546753,2.0129804611206055,0.9935625791549683,0.9750385284423828,0.8477506637573242,0.819516658782959,0.15212051743900443,0.006475442766430907,0.03330460969411574,True
mmlu_humanities,4383,30315,2.011960744857788,1.8609294891357422,0.9511845111846924,0.7592733502388,0.8428969979286194,0.782379686832428,0.8554181098466106,0.07506670103184408,0.0717968046450633,False
mmlu_other,4143,9699,2.007603406906128,1.972922682762146,0.9529533982276917,0.8918982148170471,0.8597167134284973,0.8291588425636292,0.5728425610887721,0.017274688827823625,0.035544116320602,False
mmlu_pro,44293,3745,2.004120349884033,1.9841479063034058,0.9477994441986084,0.9511028528213501,0.7664033770561218,0.8571605682373047,0.9154493938094056,0.00996569072400424,0.10588120189408522,False
mmlu_social_sciences,3557,30429,2.027838945388794,1.8570432662963867,0.9786893129348755,0.7463054060935974,0.851864755153656,0.7967032194137573,0.8831049327943737,0.08422546547929173,0.06475386545361753,False
mmlu_stem,6603,12770,1.988996148109436,2.0183186531066895,0.9460674524307251,0.9743374586105347,0.8630852699279785,0.8642016649246216,0.48292873923257634,0.014528184116080412,0.0012918223164270829,True
naturalqs,45927,2097,1.998726725578308,2.1004321575164795,0.9426277875900269,1.0137525796890259,0.849729597568512,0.9116281867027283,0.9543405839702136,0.04842119350259159,0.06789894173643048,False
piqa,34768,2257,1.8625891208648682,2.0600130558013916,0.7792490124702454,0.9967762231826782,0.893926203250885,0.837166965007782,0.935083985273815,0.09583625423175829,0.06349432205554585,False
sciq,34470,1181,1.8815443515777588,2.0417375564575195,0.781163215637207,0.9640888571739197,0.9784522652626038,0.8731054067611694,0.9657383231795764,0.07845925367494395,0.1076668348998718,False
squad,3495,6394,2.0230464935302734,2.037015199661255,1.0502649545669556,1.0148067474365234,0.8910133838653564,0.8397777676582336,0.45339380669377544,0.006857438340815704,0.057502633669602836,True
winogrande,3546,2134,1.9765418767929077,2.062164306640625,0.9265272617340088,1.002908706665039,0.869450032711029,0.8372452855110168,0.398195149464185,0.04152066330117059,0.03704036573510119,True
