feature,word_id,valid,context_string
1458,c539683725cc7a0944ebbdaea2f32088f324b5bb_126,YES,": 84]			THE BRENTONS		BY *	* ANNA CHAPIN RAY		Author of ""A Woman"
1458,6d7e1028ccb09324dd1248cb58e700a5d81c6a99_22354,YES,"	: very bad for you!""			CHAPTER VIII *	* LIES AND LIARS			Sidney Prale waited in an"
1458,fd86beb91edfcad88afb39ed2c105f5e099dc00b_87670,YES,	: they halted for the night.			II *	* ARMS AND THE MANNIKIN			The hubbub of the
1458,4a210087ba1d4498efbf94edc7aa339c18d1fc12_84971,YES,: . 373-384.			CHAPTER IV *	* ANTHROPOLOGICAL CONDITIONS			In dealing with the folklore of
1458,35567213fb74e88073d7379ff31df2d8539bd97a_105868,YES,"	: come fer 'em.""			CHAPTER XXVIII *	* ACROSS THE DESERT TO THE END		Never in"
1458,06abdbe52aedf559f3bf9edd39500690b79ede26_12838,YES,	: he actually took up.			CHAPTER II *	* EARLY DAYS AT THE WAR OFFICE		     Plan of issuing
1458,1c51a66c760dd849caa2a690dcf09006d19ed167_27777,YES,"	: , seeking to enter!			CHAPTER XI *	* AN UNINVITED GUEST		Phil knew that Tony must"
1458,63a27cacc5c40bddb733ec738c459422736b0295_114214,YES,	: less constant or less intense.			XXII *	* AN INSULT TO THE BLOOD			It could not
1458,9c9bcba3b102ad2fb94668493c7b84f219a68a07_72261,YES,"	: you can.""		CHAPTER TWENTY FOUR. *	* ANXIOUS TIMES.		An hour glided by and"
1458,284a94653cf13551ed81f29b8c40290f_376,NO, diriving: places see our detailed map here.	The following * diriving* direction guides you to reach Hogenakkal Falls from Dharmapuri Bus
1458,35567213fb74e88073d7379ff31df2d8539bd97a_91038,YES,	: alone among the shadows.			CHAPTER XXIV *	* AN AVOWAL OF LOVE		Winston sat gazing at
1458,65948cbc87819f5fb77cb40afefb26330c4740ce_98496,YES,"	: I will.""		CHAPTER TWENTY NINE. *	* AN ACT OF FOLLY.		Bedtime at last"
1458,66bc86df95b1c5df6ad6aef347f2e34b7c397715_43093,YES,	: with the empty tray.			CHAPTER XII *	* AN ODD DINNER PARTY		A few nights later
1458,66bc86df95b1c5df6ad6aef347f2e34b7c397715_46837,YES,"	: and I'm going!""			CHAPTER XIII *	* ELISE AND PATTY		""I think you're"
1458,e4bdc835a81edc413e6031794b4bf27f_43,NO," specialized: .	William Bonzie Hudson,DDS is listed as * specialized* in General Dentist under General Dentistry in Atlanta, Georgia"
1458,331b4e6358eeaefbc6b7b555cd1041d5ee471187_12270,NO,7: 0T0GsGzOi0GezOAKalzPiDyxrWBin2O/JRnCfs *7* zj2\	+aTjhWSVsJ9sFlGwZJUX+T
1458,331b4e6358eeaefbc6b7b555cd1041d5ee471187_12293,NO,09: 1mfxOFcemWuxiKR365bcJcUS6y5RogU6Sa *09* f4ipTqwLkDf\	zs5//g==
1458,a4fe7b675074107ccf53441225d1274f69d041df_128161,YES,	: stagger to their pallets.			CHAPTER IV *	* LEGENDS			The character of a place is often
1458,1aef896810f6c095d482f5b014499f5fd99b9ed1_100501,YES,"	: best o' them.""			CHAPTER XXXII *	* ORDEAL BY FIRE			The Bothy on the Wild"
1458,849c8bc06c19503adc3017d8fb3ed76e24a348df_12593,YES,"	: I again fell asleep.""			CHAPTER IV *	* LYLDA			""I was awakened by the feel"
1458,be75dedbdbba1deebc8f4c0106b314c742c4fe42_53264,YES,"	: is not at home.""			CHAPTER XIII *	* AND CONVERTS A GOAL		Phil Kendrick sipped his"
1458,c28146b2a2741aae65ab170345fba0ed_1743,NO, Byron: team and this organization.âĢĿ.	New York Giants trainer * Byron* Hansen told The Professional Football Athletic Trainers Society that he
1458,2309a32f894a5f52afda0469644b7a42713f5909_93111,YES,	: of their barracks!		CHAPTER EIGHTEEN. *	* ESCAPED!		This was indeed a sorry trick
1458,12938ca12078c84d6c823e1d19a190c7_132,NO,"rush: / Testing & Calibration.	âĢ¢ 72-hour * rush* ZAHORANSKY Repair service available, we can rush repair an"
1458,8c1b729ae805278829bfce439e6b583acfee3fd2_62847,YES,	: her best to help.			CHAPTER XVI *	* AN ARROW OUT OF THE NIGHT			The short
1458,c6b7f6e461e35b8091641902dc6ddbf7fd9f9327_65006,YES,"	: you, mister!""		CHAPTER SIXTEEN. *	* AN INVITATION.		""Yes, I'm"
1458,34a83696610d57c25e4373dc83494d04c76ce86d_97846,YES,	: in the	technical school.			XXVI *	* AS WITH A MANTLE			The month of March
1458,1866c195ce2ed4fd24e4f4736d0980c1be0bc1f5_95330,YES,	: heart of the battle.			CHAPTER XIX *	* NIGHT IN THE WILDERNESS			The two women clasped
1458,1866c195ce2ed4fd24e4f4736d0980c1be0bc1f5_21185,YES,	: the bland	Secretary.			CHAPTER V *	* AN ELUSIVE FACE			Walking abroad at noontime next
1458,db053301b1938429ddcac4ec5c8138f01f7dc220_109074,YES,	: going on.		CHAPTER THIRTY ONE. *	* AN EXPEDITION AND A DISAPPOINTMENT.		A few
1458,410184a38923aa50c943f1cb33fed5db4ebf7cde_122456,YES,"	: the lurch.""		CHAPTER THIRTY THREE. *	* AN EXCHANGE.		""Now then,"" said"
1458,333a08fd051f0284354a32416124b5ea27196f46_1,NO,	: č *	* ecard.testcase.legacyActivation=trueč	č	ecard
1458,629a7c17aebd22e9038de8c7a9bd4156edfc22ab_75984,YES,	: when Weston drove away.			CHAPTER XIX *	* ILLUMINATION			It was three or four months later
1458,34a83696610d57c25e4373dc83494d04c76ce86d_65484,YES,"	: throes of the panic earthquake.			XIX *	* ISSACHAR			In accordance with Tom's telegram,"
1458,cfb6e7b0693455ca177f0e49d09f6f07_118,NO,such: from an MPEG-2 file on your PC with * such* as an affordable MPEG-2 to AAC tool.
1458,1b441faa46383c68bbfd7d7ca127808dc2cbd47c_177,YES, |: |[HW:] denotes a handwritten note. * |* |	+-----------------------------------------------------------------+			       *       *       *
1458,629a7c17aebd22e9038de8c7a9bd4156edfc22ab_18083,YES,"	: lost in the vapor.			CHAPTER V *	* IDA'S CONFIDENCE			An hour passed,"
1458,3f1cb87aaf8cacbccc65cb620e36314a6ca38ab0_50201,YES,	: .		A Novel.		BY *	* ANTHONY TROLLOPE.		IN TWO VOLUMES.--VOL
1458,78aea777ba5489be885a0b2c9b3fec3b555cd922_60792,YES,"	: may call it sacrilege.""			CHAPTER XV *	* BREFAR CHURCH			""It was all my fault"
1458,https://oswglobal.com/index.php/popular-destinations/cape-town_57,NO,"prevalent: , they count 179 out of 1924, and their * prevalent* location is central district. According to our practice,"
1458,01d893b0537b12cf5f1fa28888d682de85bace7a_124312,YES,"	: 'm blest!""		CHAPTER THIRTY THREE. *	* IN HIDING.		Vane meant to slip in"
1458,78aea777ba5489be885a0b2c9b3fec3b555cd922_111866,YES,"	: the search to me.""			CHAPTER XXVII *	* ENTER THE COMMISSIONER			It was noon, and"
1458,c7ceb550fe3fee3dca70502e8164589d_190,NO, tracker: picks in CGC.	There are no Wall Street * tracker* picks for CGC.
1458,459b8df39c8b3bc2373e697f655f64e8_134,NO,resource: Best regards; comiconlinefree.com: #1 * resource* for Red Sonja (2019) Scans Online.
1458,http://www.serviziocivile.provincia.foggia.it/clothes/?804239-1.html_245,NO,Seo: out of clothes page lists articles associated with the title * Seo* .	If an 60s clothing led you here
1458,1aef896810f6c095d482f5b014499f5fd99b9ed1_43467,YES,"	: killed	my horses?""			CHAPTER XIII *	* PLOTS AND PRINCES			But the Duke of Lyonesse"
1458,6f568e83a4bf573d05a0ba016317368ace65c302_98609,YES,"	: the place.""		CHAPTER TWENTY FOUR. *	* AN ENEMY IN DISTRESS.		The rattling of"
1458,dd68882491aaea8e05dbe84c2b931ca2c89b2a51_49442,YES,"	: better than did I.			CHAPTER XI *	* CHOISSEZ LE ROI		    ""She moves a goddess and"
1458,fd86beb91edfcad88afb39ed2c105f5e099dc00b_99818,YES,"	: to	garner her rage.			VI *	* ENDS AND MEANS		     ""Amor che a null'"
1458,04139e3756662a5c66862aeba34b185b488d488c_59418,YES,	: of the box.			CHAPTER XII *	* ERUPTION			The following two months were a period
2166,333a3fdad62f1fc9f9b61985f04cb28cc26bc82b_11,YES,wrapper: distributionBase=GRADLE_USER_HOME	distributionPath= *wrapper* /dists	zipStoreBase=GRADLE_USER_HOME
2166,3336a19e24d6bb7b844b4e859a7950fab02b0b8a_11,YES,wrapper: distributionBase=GRADLE_USER_HOME	distributionPath= *wrapper* /dists	zipStoreBase=GRADLE_USER_HOME
2166,3327c954d9b5b74fa17fbca3a72105455ef40956_11,YES,wrapper: distributionBase=GRADLE_USER_HOME	distributionPath= *wrapper* /dists	zipStoreBase=GRADLE_USER_HOME
2166,333360a1c8fbd6efedfe0b63192d5c452f6725fb_11,YES,wrapper: distributionBase=GRADLE_USER_HOME	distributionPath= *wrapper* /dists	zipStoreBase=GRADLE_USER_HOME
2166,3338f76f7cf9747c6d2fbbed40252ceade6bece5_11,YES,wrapper: distributionBase=GRADLE_USER_HOME	distributionPath= *wrapper* /dists	zipStoreBase=GRADLE_USER_HOME
2166,33395327ecba8b7485a51023be4f31f53b94b250_11,YES,wrapper: distributionBase=GRADLE_USER_HOME	distributionPath= *wrapper* /dists	zipStoreBase=GRADLE_USER_HOME
2166,334051ef6b8a4d7fffd718efd74ad3636fcc3faa_11,YES,wrapper: distributionBase=GRADLE_USER_HOME	distributionPath= *wrapper* /dists	zipStoreBase=GRADLE_USER_HOME
2166,3339859b411a9706ba4be66e69a25fca8594d220_11,YES,wrapper: distributionBase=GRADLE_USER_HOME	distributionPath= *wrapper* /dists	zipStoreBase=GRADLE_USER_HOME
2166,333d48e8b894fbaf5fcd5422d6e014404d687887_11,YES,wrapper: distributionBase=GRADLE_USER_HOME	distributionPath= *wrapper* /dists	zipStoreBase=GRADLE_USER_HOME
2166,333d9d10e0b363369d9e3c62ea3c49f94f0b42be_11,YES,wrapper: distributionBase=GRADLE_USER_HOME	distributionPath= *wrapper* /dists	zipStoreBase=GRADLE_USER_HOME
2166,332979a2fc073f2ed36508c4569e7132b4e5b766_11,YES,wrapper: distributionBase=GRADLE_USER_HOME	distributionPath= *wrapper* /dists	zipStoreBase=GRADLE_USER_HOME
2166,331b4d68828827987d03177e1cc93199dd1f08c4_11,YES,wrapper: distributionBase=GRADLE_USER_HOME	distributionPath= *wrapper* /dists	zipStoreBase=GRADLE_USER_HOME
2166,332a5752a2d6d30cc88ae075f33ea484794b01ad_11,YES,wrapper: distributionBase=GRADLE_USER_HOME	distributionPath= *wrapper* /dists	zipStoreBase=GRADLE_USER_HOME
2166,33236f58c7d12173d62a8cd8bbeb6855319e2546_11,YES,wrapper: distributionBase=GRADLE_USER_HOME	distributionPath= *wrapper* /dists	zipStoreBase=GRADLE_USER_HOME
2166,3319712feddf65283c5cab9c05b9d2cc3c29a110_11,YES,wrapper: distributionBase=GRADLE_USER_HOME	distributionPath= *wrapper* /dists	zipStoreBase=GRADLE_USER_HOME
2166,333b5c122fa4dc1a4548f75e915a13e6990fafb7_11,YES,wrapper: distributionBase=GRADLE_USER_HOME	distributionPath= *wrapper* /dists	zipStoreBase=GRADLE_USER_HOME
2166,331b075a81a24e81f00fe11558ff153522e245c1_11,YES,wrapper: distributionBase=GRADLE_USER_HOME	distributionPath= *wrapper* /dists	zipStoreBase=GRADLE_USER_HOME
2166,331828fd1864532ab381fab38cc0f8ab6ea7363e_11,YES,wrapper: distributionBase=GRADLE_USER_HOME	distributionPath= *wrapper* /dists	zipStoreBase=GRADLE_USER_HOME
2166,33211ecba107df58e721f3d62b26bba55a65b6e7_11,YES,wrapper: distributionBase=GRADLE_USER_HOME	distributionPath= *wrapper* /dists	zipStoreBase=GRADLE_USER_HOME
