feature,word_id,valid,context_string
2922,47dd657913bf64f803335a507f4cdb0b_121,NO," Internet: , you can own a site that concentrates on Austrian * Internet* users and your site is more likely to rank higher"
2922,d7fce4a42687fc4ee9a57f7754c18a5d82fd88ba_27,YES, public: (This book was	produced from scanned images of * public* domain material	from the Google Print project.)
2922,784d6deaf9e9ed7f2be10490875aa4d604e30769_110,NO,reference: 1. Our copyright notice and the source * reference* must be attached to the	Content;
2922,12fdf478a47929ac6aed9b5f5476324c3d36ae42_6,YES, public: file was produced from scans of * public* domain material	produced by Microsoft for their Live Search
2922,d6bc0b69c84d3f7bacf8a057e18368256ca72cd1_5,YES, public: file made using scans of * public* domain works at the	University of Georgia.)
2922,0ae40dff71af02c5baa26a3390563e9a4e082f30_20,YES, public: (This book was	produced from scanned images of * public* domain material	from the Google Print project.)
2922,e2a6030a74ae6d24f19d55a6f01ab6e7_19,NO, Human: the required information.	Explain the reason for your * Human* Rating to John Yangescu.
2922,30230efa61bc2c8b56cb0622d418aab1d9f07a75_41514,NO,: as authentic and worthy of reverence as the stones of *	* el Miguelete.[1]		[Note 1
2922,7beff569c28428da9b238d2671386a6e_1135,NO, conservative: against police brutality and threaten the ridiculous fragility of the * conservative* white male fan base.. Greece is well known for
2922,889a9c9f90e9ae3d00293feb99143c16_36,NO,"U: an AT&T Internet, Home Phone, and * U* -verse TV bundled plans from only $94."
2922,22d894281d8598835a5a3067a40f94258bbee103_90148,NO, open: a fair chance to save their	lives in their * open* boats. The precautions taken were meager and	haphazard
2922,01a2719d09b8df83078f434b6741363733cf1601_181909,NO, buried: do_ hate me! for a sin dead and * buried* ?	Good God! could one have believed it
2922,d93d07d50bdf1dc979d1b02a7624b088d63e52d8_1170,NO," into: with one soul that you have	   brought unto me * into* the kingdom of my Father, how great will be"
2922,aa8419b2f3fbb265f0fcde0a5d55bd97_23,NO, delivery: Call us! We may be able to accomodate your * delivery* .
2922,703683b2b56c792d8f03bd8da2e26fd802359c69_6,YES, public: file was produced from scans of * public* domain material	produced by Microsoft for their Live Search
2922,295e2d7c87ec128c95c370857e41d4e4c234b674_6,YES, public: file was produced from scans of * public* domain works at the	University of Michigan's Making
2922,42cdc1df950d9f8d385afd301b985b1e6b926e8f_5,YES, public: file made using scans of * public* domain works at the	University of Georgia.)
2922,d0f0a60484bf6c8529c47ad1a49ff36cd0e0d73b_76733,NO," fantastic: my saying so, just a little too theoretical and * fantastic* ,	but he has the makings of a detective"
2922,55ba0e54c23505853c7eed300bc9fbe30d1b06b2_10781,NO,ard: in jumps-like. Lashed to the wind' *ard* buoy I was by a	length of roding line
2922,6654bb885b5453bef98349f15eefb67ffcf091b5_4372,NO," back: There's ae thing ye maun ne'er gang * back* on.	Freely he'll talk on politics,"
2922,8eb8c2adb15934f5350f9dee58794672cfa65c41_6,YES, public: file was made using scans of * public* domain works in the	International Children's Digital Library
2922,0a05937a5ede02874301c56afebcc202_60,NO," short: homes, repo homes, REO, foreclosed properties, * short* sales and sheriff sales.	Click on a Wyoming"
2922,47b856e68a611ae1ed5371e7a5cdeff943a8547f_6,YES, public: file was produced from scans of * public* domain material	produced by Microsoft for their Live Search
2922,ae9c2f36f1610a040ebe8b9e36d8fd1c_169,NO, over: to the implants. The replacement teeth are then made * over* the posts or attachments. The entire procedure usually takes
2922,eedd807a88aeb1b93f7b7a20642ece1817079e81_83919,NO," due: it	has come round--apart from the veneration * due* to its sacred name and	origin, if anything"
2922,3a81f0e587ffabdab0201a8f14a9849a48eead42_22,YES, public: (This book was produced from scanned images of * public* domain material from the Google Print project.)
2922,1777a8e68536d16e9b91ed0ee89f9c61e54f643d_14326,NO,U: Ropin' at the horns of a 2- *U* cow.		  We hit Caldwell and we hit her
2922,fdd0b693aa2bc91d05677329f92558c2859cd88a_30012,NO," tender: without knowing it, have hit me on a * tender* spot.  It is time that we	came"
2922,aa0119bbb1d90e6857d06561f5b0e74ba263ca95_26884,NO,: opes] opem _I_ || 21 aut] *	* at _H1_ || ubi erunt] ubi
2922,eedd807a88aeb1b93f7b7a20642ece1817079e81_100991,NO," exchanging: another from the parapets, and now	and then * exchanging* a facetious snowball--better-natured missile far"
2922,b17ea7146f0f12a9e809d66560b430754e28af3e_829,NO," care: so high above our heads:	  I have more * care* to stay than will to go:	  Come,"
2922,4bd61bb29cfc59a6d0483e9a374ccf22400f5dca_64004,NO,"	: I have, you'll know that whether you're *	* able seaman, or luff, cap, or admiral"
2922,c0b82b0b7e0a5751149d8175e667218fdaa664b9_84933,NO,"interit: . . . . .	    Omnia mutantur, nihil * interit* ...		]		[Footnote 226:"
2922,dab6d2ca1d073ca46aa192987d7504e0e1df7499_42218,NO," Tasso: of Homer, and those other two of Virgil and * Tasso* are a diffuse, and	the book of Job"
2922,7c1a9f5af0dd6d8342c4753be4c4c7c489e42e92_12054,NO," tied: off in his hand, and that it was only * tied* on to scare	away timid adventurers."""
2922,3422e9152879cc923e2d84a95ae22e3f3528d441_5,YES, public: file made using scans of * public* domain works at the	University of Georgia.)
2922,aa0119bbb1d90e6857d06561f5b0e74ba263ca95_110722,NO,: if it was preceded by another monosyllable closely linked to *	* it in sense: see Platnauer 13. For true
2922,bf8c963706eef5433455de6b4d58602a_39,NO, reference: . Please consult an essential oil book or other professional * reference* source for suggested dilution ratios.	Warning: Natural
2922,629a7c17aebd22e9038de8c7a9bd4156edfc22ab_138060,NO,	: you must read the story to know how she that *	* hesitates may be lost and yet saved.
2922,c3fd481dcaa8fa1002b5f8b3e768c67bac1f2293_71,NO," way: not agree to its tenets, is getting	under * way* .		An Archbishop calls at the house of"
2922,040cf59e65b0207f2a5d342efb29c7dfb3041b96_29411,NO," going: bells, across the snow;	    The year is * going* , let him go;	  Ring out the false"
2922,ccd95e10a0e8ba6e90b4d457422dda570faf8e85_46646,NO,"	: won't be thinking about the tricks we have played *	* him.""		""I was just after thinking"
2922,d1f9e4db49430fab6ffb8af9e45cc26212878b90_56737,NO," under: three hundred yards	start, and then pass her * under* way; but always at the fag end of the"
2922,285c1b9d54ff05af6d62fdc64d7e231d28e46cc1_17335,NO,"	: feeding--the fields fenced round by a shrub called *	* el lechero, or milk-tree, which derives"
