feature,word_id,valid,context_string
352,32f3c9a2ecf934cb4359daee1f23fc3ab2c166c5_215,NO, Upon: have some light by which to see.	Added * Upon* is an effort to give in brief an outline of
352,aa0119bbb1d90e6857d06561f5b0e74ba263ca95_128944,NO," itself: Nec_, printed by some editors,	cannot by * itself* be correct, for there is no negative with the"
352,e94c05afdd03e349a3bc30f41ca53859cb5d439b_67384,NO," on: ""Yes,"" said Tom Long, who had * on* a supercilious fit that day, ""I suppose"
352,27bb469970db1d2f5231243ed41a183551540e62_175299,NO,"Sullivan: . Copyright,	1918, by Vincent O' * Sullivan* .]		BY VINCENT O'SULLIVAN"
352,c3db551027b6d76090dc97894b1fdd22d6f732c3_16,YES,original: an HTML version of this	      file which includes the * original* illustration (map).	      See 20812-h.
352,fa1ce94c710bf4b2a1fd74c0a018d1cc72b5fc4f_83842,NO," to: where they were supping	after committing a robbery, * to* the place. The captain was radiant, and"
352,4fe48cf485a57f43ab73b7bc6fce263a1ba5d797_100785,NO," which: There seemed to be	nothing to grasp or of * which* to get a good grip, while to have hauled"
352,bdfaa185d46fc09c2942c5461a856e31943999b3_16,YES,original: an HTML version of this	      file which includes the * original* illustrations.	      See 20938-h.htm or
352,d0f0a60484bf6c8529c47ad1a49ff36cd0e0d73b_16,YES,original: an HTML version of this	      file which includes the * original* illustrations.	      See 20831-h.htm or
352,6d61b6d2a932e9d63f4d2e7087b5d81a8254ff4f_16,YES,original: an HTML version of this	      file which includes the * original* illustrations.	      See 17442-h.htm or
352,b7da44cc93c448a8c420c92bf20e60113bb326af_16,YES,original: an HTML version of this	      file which includes the * original* illustrations.	      See 17478-h.htm or
352,eedd807a88aeb1b93f7b7a20642ece1817079e81_114526,NO,"Spirit: Scrooge did not dare to think.		"" *Spirit* !"" he said, ""this is a fearful place"
352,77fb08ab809b7e95cde07159f83b3df27acd4607_16,YES,original: an HTML version of this	      file which includes the * original* illustrations.	      See 21818-h.htm or
352,b75602a43e247f332bb35db09714bfe5a7662e13_16,YES,original: an HTML version of this	      file which includes the * original* illustrations.	      See 17495-h.htm or
352,7f4ee6441ff72d163fbeaff11e81584561d430f3_16,YES,original: an HTML version of this	      file which includes the * original* illustrations.	      See 17390-h.htm or
352,680cdf587c19e7679f5ee39538dc9df308fd0b45_16,YES,original: an HTML version of this	      file which includes the * original* illustrations.	      See 20952-h.htm or
