feature,word_id,valid,context_string
2627,25878646_16,YES," genus: is a species of ray-finned fish in the * genus* ""Enteromius"" which is known from only a single"
2627,25878622_16,YES," genus: is a species of ray-finned fish in the * genus* ""Enteromius"" which is only known from one location"
2627,25878634_16,YES," genus: is a species of ray-finned fish in the * genus* ""Enteromius"" from Togo, Benin, Nigeria,"
2627,25878672_16,YES," genus: is a species of ray-finned fish in the * genus* ""Enteromius"" found in the upper Gambia River,"
2627,25878677_16,YES," genus: is a species of ray-finned fish in the * genus* ""Enteromius"" which occurs in rivers in the Congo"
2627,25878515_16,YES," genus: is a species of ray-finned fish in the * genus* ""Enteromius"". It has only been recorded from the"
2627,25878631_16,YES," genus: is a species of ray-finned fish in the * genus* ""Enteromius"" from the Kasai in the Democratic Republic"
2627,25878607_16,YES," genus: is a species of ray-finned fish in the * genus* ""Enteromius"".It is only found at one location"
2627,25878557_16,YES," genus: is a species of ray-finned fish in the * genus* ""Enteromius"" which is endemic to the River Farmington"
2627,25878659_16,YES," genus: is a species of ray-finned fish in the * genus* ""Enteromius"" which has been recorded from a single"
2627,25878512_16,YES," genus: is a species of ray-finned fish in the * genus* ""Enteromius"".	It is widespread in Africa,"
2627,25878522_16,YES," genus: is a species of ray-finned fish in the * genus* ""Enteromius"". It is endemic to Ethiopia."
2627,25878611_16,YES," genus: is a species of ray-finned fish in the * genus* ""Enteromius"" which is found in the lower Congo"
2627,25878574_16,YES," genus: is a species of ray-finned fish in the * genus* ""Enteromius"" from the upper Kwanza in Angola.."
2627,25878548_16,YES," genus: is a species of ray-finned fish in the * genus* ""Enteromius"". It is only known from the White"
2627,25878570_16,YES," genus: is a species of ray-finned fish in the * genus* ""Enteromius"" which occurs in the central Congo Basin"
2627,25878644_16,YES," genus: is a species of ray-finned fish in the * genus* ""Enteromius"" which occurs only on the central Congo"
2627,25878454_16,YES," genus: is a species of ray-finned fish in the * genus* ""Enteromius"". It was described from the Amboina River"
2627,25878689_16,YES," genus: is a species of ray-finned fish in the * genus* ""Enteromius"", which is found in the upper basin"
